Team,W,L,W/L%,GB,PS/G,PA/G,SRS
Miami Heat,33,17,.660,—,89.0,84.0,5.11
Orlando Magic,33,17,.660,—,89.5,86.9,3.11
Philadelphia 76ers,28,22,.560,5.0,89.7,87.6,2.56
New York Knicks,27,23,.540,6.0,86.4,85.4,1.45
Boston Celtics,19,31,.380,14.0,93.0,94.9,-1.75
Washington Wizards,18,32,.360,15.0,91.2,93.4,-1.75
New Jersey Nets,16,34,.320,17.0,91.4,95.2,-3.20
Indiana Pacers,33,17,.660,—,94.7,90.9,3.86
Atlanta Hawks,31,19,.620,2.0,86.3,83.4,2.82
Detroit Pistons,29,21,.580,4.0,90.4,86.9,3.97
Milwaukee Bucks,28,22,.560,5.0,91.7,90.0,1.66
Charlotte Hornets,26,24,.520,7.0,92.9,93.0,0.63
Toronto Raptors,23,27,.460,10.0,91.1,92.8,-1.32
Cleveland Cavaliers,22,28,.440,11.0,86.4,88.2,-0.94
Chicago Bulls,13,37,.260,20.0,81.9,91.4,-8.58
San Antonio Spurs,37,13,.740,—,92.8,84.7,7.12
Utah Jazz,37,13,.740,—,93.3,86.8,5.54
Houston Rockets,31,19,.620,6.0,94.2,91.9,1.39
Minnesota Timberwolves,25,25,.500,12.0,92.9,92.6,-0.17
Dallas Mavericks,19,31,.380,18.0,91.6,94.0,-2.50
Denver Nuggets,14,36,.280,23.0,93.5,100.1,-6.67
Vancouver Grizzlies,8,42,.160,29.0,88.9,97.5,-8.94
Portland Trail Blazers,35,15,.700,—,94.8,88.5,5.67
Los Angeles Lakers,31,19,.620,4.0,99.0,96.0,2.68
Phoenix Suns,27,23,.540,8.0,95.6,93.3,2.15
Sacramento Kings,27,23,.540,8.0,100.2,100.6,-0.89
Seattle SuperSonics,25,25,.500,10.0,94.9,95.9,-1.43
Golden State Warriors,21,29,.420,14.0,88.3,90.8,-2.63
Los Angeles Clippers,9,41,.180,26.0,90.4,99.2,-8.94
