Team,Games,Minutes Played,Field Goals,Field Goal Attempts,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,2-Point Field Goals,2-point Field Goal Attempts,2-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points
Denver Nuggets,82,240.6,48.2,97.5,.494,0.3,1.5,.190,47.9,96.0,.499,26.6,32.9,.808,14.8,30.8,45.6,28.5,9.6,4.3,18.2,25.5,123.2
Los Angeles Lakers,82,240.6,48.3,91.6,.528,0.1,1.2,.104,48.2,90.4,.533,18.2,24.8,.736,15.1,29.7,44.7,30.7,10.3,5.8,19.3,23.5,115.0
San Antonio Spurs,82,241.2,45.1,89.5,.504,1.1,3.8,.305,43.9,85.8,.512,23.0,30.1,.765,15.0,31.7,46.7,27.6,8.2,5.7,18.3,25.5,114.3
Kansas City Kings,82,241.2,45.4,91.3,.497,0.6,2.6,.237,44.7,88.7,.505,22.4,30.9,.727,15.3,29.4,44.7,26.3,9.3,5.0,20.6,29.7,113.8
Dallas Mavericks,82,240.6,44.8,92.1,.487,0.5,2.3,.232,44.3,89.8,.493,22.6,30.0,.752,15.8,29.0,44.8,27.2,6.7,4.2,16.4,25.2,112.7
Detroit Pistons,82,242.4,44.2,92.7,.477,0.9,3.3,.265,43.3,89.4,.484,23.4,31.6,.742,16.0,30.2,46.2,25.7,8.3,7.0,19.0,25.9,112.7
Boston Celtics,82,241.8,45.3,92.0,.492,0.5,2.3,.210,44.8,89.8,.499,21.1,28.6,.737,15.5,30.9,46.4,27.0,9.6,6.4,18.8,25.1,112.1
Philadelphia 76ers,82,241.8,43.9,88.0,.499,0.3,1.3,.229,43.6,86.6,.503,24.0,32.3,.742,16.3,31.7,47.9,24.6,9.9,7.0,19.8,24.9,112.1
Chicago Bulls,82,242.7,43.1,89.9,.480,0.5,2.5,.215,42.6,87.4,.487,24.2,32.8,.737,15.5,30.8,46.3,25.4,8.1,4.9,21.3,26.7,111.0
Seattle SuperSonics,82,241.5,43.9,88.7,.494,0.4,1.7,.210,43.5,87.1,.500,21.9,30.0,.730,14.0,31.3,45.4,27.8,8.3,5.3,18.7,24.0,110.0
Utah Jazz,82,240.9,43.0,89.5,.480,0.5,2.2,.240,42.5,87.3,.486,22.5,29.8,.756,13.3,31.1,44.4,26.5,9.2,7.3,20.5,24.6,109.0
Indiana Pacers,82,241.8,45.2,94.2,.480,0.6,2.9,.212,44.6,91.3,.488,17.6,23.3,.758,15.8,28.0,43.8,26.2,9.2,5.0,18.7,25.4,108.7
Golden State Warriors,82,241.2,44.2,91.6,.483,0.4,1.8,.227,43.8,89.7,.488,19.8,26.8,.737,15.6,27.9,43.5,24.0,10.4,5.2,19.6,26.1,108.6
San Diego Clippers,82,241.8,44.2,93.1,.475,0.8,3.2,.244,43.4,89.9,.483,19.4,26.8,.724,17.0,25.7,42.7,25.5,10.0,5.0,19.5,27.9,108.6
Portland Trail Blazers,82,240.9,42.2,86.9,.486,0.4,1.8,.233,41.8,85.0,.491,22.6,30.6,.738,14.4,29.0,43.4,24.8,9.1,4.7,18.2,23.9,107.4
Phoenix Suns,82,240.6,43.4,87.3,.497,0.5,1.9,.253,42.9,85.4,.502,19.8,26.7,.743,13.3,30.7,44.0,28.0,9.1,6.0,18.8,25.1,107.0
Milwaukee Bucks,82,241.8,42.5,87.0,.489,0.5,2.1,.219,42.1,84.9,.495,21.1,28.0,.753,13.4,30.2,43.6,25.8,8.1,6.5,17.6,26.0,106.6
New Jersey Nets,82,240.3,42.8,87.1,.492,0.4,1.8,.201,42.4,85.3,.498,19.8,28.1,.705,15.4,29.6,45.0,26.1,11.1,7.2,22.8,26.4,105.8
Atlanta Hawks,82,241.2,40.9,87.1,.469,0.5,2.3,.239,40.3,84.9,.475,19.3,25.7,.751,13.9,29.7,43.6,23.7,7.0,8.1,17.4,24.7,101.6
New York Knicks,82,241.5,39.9,82.8,.482,0.4,1.6,.252,39.5,81.2,.486,19.8,27.8,.710,13.2,27.6,40.8,24.8,8.5,4.6,18.4,26.6,100.0
Houston Rockets,82,240.6,40.7,90.8,.448,0.8,3.3,.247,39.9,87.5,.456,17.1,23.6,.725,14.7,27.6,42.3,23.5,7.9,5.1,19.2,26.0,99.3
Washington Bullets,82,241.5,40.3,86.1,.468,0.9,2.9,.295,39.5,83.2,.474,17.7,25.1,.705,13.4,29.6,43.0,25.0,8.9,4.9,19.4,23.9,99.2
Cleveland Cavaliers,82,240.9,39.7,85.3,.465,0.4,1.5,.250,39.3,83.8,.469,17.4,24.2,.721,14.3,29.4,43.7,21.2,7.5,3.5,18.8,27.3,97.1
