Team,Games,Minutes Played,Opponent Field Goals,Opponent Field Goal Attempts,Opponent Field Goal Percentage,Opponent 3-Point Field Goals,Opponent 3-Point Field Goal Attempts,Opponent 3-Point Field Goal Percentage,Opponent 2-Point Field Goals,Opponent 2-Point Field Goal Attempts,Opponent 2-Point Field Goal Percentage,Opponent Free Throws,Opponent Free Throw Attempts,Opponent Free Throw Percentage,Opponent Offensive Rebounds,Opponent Defensive Rebounds,Opponent Total Rebounds,Opponent Assists,Opponent Steals,Opponent Blocks,Opponent Turnovers,Opponent Personal Fouls,Opponent Points
Detroit Pistons,82,241.2,38.5,85.0,.453,2.6,7.6,.338,35.9,77.4,.464,17.3,22.8,.762,13.6,27.5,41.1,23.1,7.8,4.5,13.6,23.4,96.9
New York Knicks,82,242.1,37.6,82.0,.458,2.2,7.4,.295,35.4,74.6,.474,20.3,26.5,.767,12.4,27.3,39.7,21.7,8.2,4.8,15.2,22.0,97.7
Chicago Bulls,82,241.8,39.1,85.0,.460,2.7,8.0,.332,36.4,77.0,.473,18.6,24.2,.768,13.2,26.5,39.7,22.5,7.7,4.3,15.7,22.0,99.5
San Antonio Spurs,82,241.2,39.2,86.6,.452,3.0,8.5,.347,36.2,78.0,.464,19.4,25.1,.770,13.5,28.8,42.3,23.0,9.2,5.6,15.3,22.1,100.6
Los Angeles Lakers,82,241.8,41.6,86.5,.480,2.1,7.3,.292,39.4,79.3,.498,16.2,21.3,.762,15.0,29.1,44.1,26.5,7.2,4.7,15.3,22.3,101.5
Los Angeles Clippers,82,241.8,39.2,85.3,.459,2.7,7.9,.346,36.4,77.4,.470,20.8,27.4,.759,14.0,29.8,43.9,21.8,8.6,5.3,17.0,22.8,101.9
Utah Jazz,82,242.4,40.1,87.5,.459,2.9,8.5,.337,37.3,79.1,.472,18.7,25.1,.747,14.0,27.5,41.5,23.5,7.9,5.6,14.7,23.9,101.9
Boston Celtics,82,241.2,40.5,88.9,.456,2.5,8.0,.308,38.1,81.0,.470,19.5,25.4,.768,14.4,28.5,42.8,23.5,8.3,5.0,13.6,19.9,103.0
Philadelphia 76ers,82,240.9,42.1,87.1,.483,2.3,7.5,.307,39.8,79.6,.499,16.8,21.6,.776,14.3,28.8,43.1,27.1,8.4,5.5,14.4,21.5,103.2
Cleveland Cavaliers,82,241.5,42.6,90.7,.470,2.4,7.1,.332,40.3,83.6,.482,15.8,20.5,.769,15.1,29.0,44.0,26.3,7.9,5.1,14.0,22.9,103.4
Houston Rockets,82,242.4,41.4,89.2,.463,2.4,7.0,.341,39.0,82.2,.474,18.6,24.2,.770,15.0,29.3,44.4,26.0,9.1,4.7,14.3,20.4,103.7
Portland Trail Blazers,82,242.4,39.6,87.2,.454,3.0,9.8,.303,36.6,77.4,.474,21.9,28.9,.759,13.4,28.5,41.9,24.1,8.4,5.3,16.7,23.9,104.1
Seattle SuperSonics,82,242.1,39.8,83.7,.475,2.5,7.6,.337,37.2,76.1,.489,22.5,30.0,.751,13.7,27.2,40.9,22.3,8.5,5.8,16.1,22.6,104.7
Dallas Mavericks,82,240.9,40.4,86.0,.470,2.2,7.3,.306,38.2,78.7,.485,22.2,28.9,.770,14.1,32.1,46.2,23.6,8.8,5.6,12.9,21.2,105.3
Phoenix Suns,82,241.5,41.8,91.2,.459,2.2,7.1,.307,39.6,84.0,.471,20.4,26.9,.756,14.9,28.6,43.5,23.3,8.0,6.0,15.3,23.5,106.2
Milwaukee Bucks,82,242.4,42.0,84.3,.498,2.7,7.4,.367,39.3,76.9,.511,20.0,26.8,.746,14.3,28.3,42.5,25.8,8.9,5.8,17.3,21.7,106.7
Washington Bullets,82,242.1,41.8,87.5,.478,2.6,7.3,.353,39.3,80.2,.490,20.6,27.3,.753,14.6,32.1,46.7,23.2,8.7,5.5,16.2,20.6,106.8
New Jersey Nets,82,241.2,41.7,87.5,.477,2.0,6.2,.317,39.8,81.3,.489,21.6,28.3,.766,14.8,28.7,43.5,21.8,9.8,5.9,16.4,21.0,107.1
Minnesota Timberwolves,82,241.5,42.1,86.8,.485,2.1,5.9,.354,40.0,80.9,.495,21.2,28.5,.744,16.0,30.9,46.9,25.5,8.0,7.0,14.8,20.4,107.5
Denver Nuggets,82,241.2,40.8,85.0,.480,2.3,6.5,.350,38.5,78.5,.491,23.7,30.6,.773,13.5,30.9,44.4,22.1,9.5,7.2,17.0,21.8,107.6
Atlanta Hawks,82,242.7,43.0,89.5,.480,3.1,8.9,.343,39.9,80.6,.495,18.7,24.5,.766,14.1,31.0,45.2,26.4,8.7,4.8,15.3,21.1,107.7
Orlando Magic,82,240.3,41.8,85.9,.486,2.6,7.4,.353,39.2,78.5,.499,22.3,29.7,.751,13.5,29.8,43.3,25.5,9.6,6.5,15.5,23.1,108.5
Miami Heat,82,241.8,43.0,87.3,.493,2.6,7.4,.347,40.5,79.9,.507,20.5,27.3,.752,13.8,29.5,43.3,25.2,8.9,5.5,16.0,24.0,109.2
Indiana Pacers,82,243.4,41.8,89.2,.468,2.6,7.8,.338,39.1,81.4,.481,24.1,32.0,.752,15.1,28.4,43.5,26.4,10.0,4.7,15.2,24.2,110.3
Sacramento Kings,82,241.8,43.4,90.5,.479,2.5,7.5,.331,40.9,83.0,.493,21.1,28.0,.752,16.0,32.2,48.2,26.0,10.0,6.5,16.5,22.1,110.3
Charlotte Hornets,82,241.5,45.3,91.4,.496,2.5,7.7,.324,42.8,83.7,.512,20.3,27.3,.741,15.3,31.5,46.8,28.9,7.6,6.4,17.0,21.3,113.4
Golden State Warriors,82,242.4,44.1,91.5,.482,3.1,9.5,.331,41.0,82.1,.499,23.5,31.3,.750,16.1,29.7,45.9,25.9,9.7,5.3,18.4,24.6,114.8
