Team,Games,Minutes Played,Opponent Field Goals,Opponent Field Goal Attempts,Opponent Field Goal Percentage,Opponent 3-Point Field Goals,Opponent 3-Point Field Goal Attempts,Opponent 3-Point Field Goal Percentage,Opponent 2-Point Field Goals,Opponent 2-Point Field Goal Attempts,Opponent 2-Point Field Goal Percentage,Opponent Free Throws,Opponent Free Throw Attempts,Opponent Free Throw Percentage,Opponent Offensive Rebounds,Opponent Defensive Rebounds,Opponent Total Rebounds,Opponent Assists,Opponent Steals,Opponent Blocks,Opponent Turnovers,Opponent Personal Fouls,Opponent Points
Cleveland Cavaliers,82,241.8,32.6,70.6,.462,6.3,16.1,.388,26.4,54.5,.484,17.1,22.5,.759,10.7,26.4,37.1,22.2,6.1,4.1,15.6,20.3,88.5
Detroit Pistons,82,241.8,34.5,77.7,.443,6.2,16.8,.366,28.3,60.9,.465,17.8,24.9,.715,11.8,27.7,39.4,21.1,6.8,4.7,14.1,23.0,92.9
Chicago Bulls,82,240.6,35.1,78.4,.448,5.3,15.2,.350,29.8,63.2,.472,17.4,24.2,.717,12.0,26.0,38.0,19.4,7.3,3.8,17.1,22.6,92.9
New York Knicks,82,241.8,34.9,78.9,.442,5.4,16.0,.337,29.5,62.9,.468,19.8,26.7,.740,12.1,29.6,41.7,20.4,8.0,3.4,15.8,21.5,94.9
Miami Heat,82,241.2,33.3,76.9,.434,5.4,15.1,.361,27.9,61.8,.452,22.9,30.5,.752,12.0,28.2,40.2,20.1,8.1,4.9,15.7,24.8,95.0
Utah Jazz,82,241.2,33.5,75.3,.445,6.7,17.4,.385,26.8,57.9,.463,22.2,29.5,.751,11.4,26.2,37.6,20.0,7.1,5.0,15.7,24.2,95.9
Indiana Pacers,82,240.9,34.6,76.7,.452,6.0,16.7,.360,28.6,60.0,.477,20.8,28.1,.740,12.2,25.0,37.3,21.0,8.1,5.1,15.4,24.9,96.1
Seattle SuperSonics,82,242.4,35.0,79.9,.438,6.5,18.7,.348,28.5,61.2,.466,20.2,28.2,.716,13.1,27.5,40.6,21.7,9.2,4.8,18.5,24.5,96.7
Portland Trail Blazers,82,242.7,36.0,81.4,.442,5.8,16.5,.348,30.3,64.9,.466,19.2,25.9,.740,11.4,28.2,39.6,22.2,8.6,5.0,14.5,24.3,97.0
Atlanta Hawks,82,240.6,37.1,78.3,.474,5.8,16.2,.360,31.3,62.1,.504,17.0,22.7,.746,12.9,28.0,40.8,22.5,7.1,4.1,17.1,22.0,97.1
San Antonio Spurs,82,241.2,36.8,83.7,.439,5.4,16.3,.330,31.4,67.4,.466,18.1,24.8,.730,13.5,30.2,43.7,22.5,7.4,5.2,15.3,24.0,97.1
New Jersey Nets,82,242.7,36.7,80.8,.454,6.6,17.3,.384,30.0,63.5,.473,18.0,24.3,.740,12.5,28.7,41.3,22.9,8.1,6.3,15.5,23.5,97.9
