Team,Games,Minutes Played,Field Goals,Field Goal Attempts,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,2-Point Field Goals,2-point Field Goal Attempts,2-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points
Denver Nuggets,82,241.8,47.3,97.3,.486,0.9,2.9,.311,46.4,94.4,.491,24.6,31.3,.785,16.2,28.1,44.3,27.6,10.9,5.2,16.9,26.2,120.0
Los Angeles Lakers,82,240.9,48.2,88.5,.545,1.1,3.6,.305,47.1,84.9,.555,20.8,27.2,.763,13.0,31.1,44.1,31.4,8.5,5.9,18.7,23.5,118.2
Detroit Pistons,82,241.8,46.8,97.5,.480,0.5,2.4,.226,46.3,95.1,.487,21.7,27.6,.788,17.1,30.9,48.0,28.1,8.4,4.8,16.4,25.3,116.0
Portland Trail Blazers,82,242.4,45.2,89.9,.503,0.6,2.5,.252,44.6,87.5,.510,24.4,32.5,.751,14.7,28.0,42.7,27.1,10.0,6.3,18.1,23.9,115.5
Kansas City Kings,82,240.9,44.7,88.7,.504,0.8,2.9,.265,43.9,85.8,.512,24.7,31.6,.779,14.2,28.4,42.6,28.6,8.1,3.7,19.4,26.5,114.8
San Antonio Spurs,82,241.2,45.1,87.8,.513,0.7,2.5,.272,44.4,85.4,.520,23.9,31.4,.763,13.7,30.1,43.9,28.2,9.2,5.4,18.8,26.6,114.8
Boston Celtics,82,240.3,45.4,89.3,.508,1.3,3.8,.356,44.0,85.6,.515,22.7,28.1,.806,13.6,32.1,45.7,27.9,7.9,5.0,16.2,21.7,114.8
Philadelphia 76ers,82,241.5,42.0,85.3,.492,0.7,2.7,.263,41.3,82.5,.500,28.2,35.2,.803,15.9,28.8,44.7,24.4,10.0,6.5,19.2,24.0,112.9
Houston Rockets,82,241.8,45.7,90.7,.504,0.5,2.3,.220,45.2,88.5,.511,19.3,27.6,.699,16.2,29.2,45.4,27.3,8.3,7.3,19.6,24.8,111.2
Dallas Mavericks,82,242.1,43.4,88.8,.489,1.9,5.4,.343,41.6,83.4,.498,22.5,28.3,.793,13.4,28.6,42.0,26.2,7.0,4.1,14.4,21.9,111.2
Milwaukee Bucks,82,241.5,43.5,88.5,.491,1.1,3.6,.303,42.4,84.9,.499,22.8,30.2,.757,15.3,28.7,44.0,26.4,8.4,5.9,16.9,27.3,110.9
Golden State Warriors,82,242.1,42.7,92.1,.463,1.4,4.8,.282,41.3,87.3,.473,23.7,30.9,.768,16.2,26.1,42.3,21.5,9.8,3.5,17.8,26.0,110.4
New Jersey Nets,82,240.9,44.5,90.8,.490,0.6,2.7,.232,43.8,88.1,.498,19.9,27.3,.729,15.0,28.4,43.4,26.4,9.4,5.1,16.5,24.5,109.5
Utah Jazz,82,240.9,42.4,89.0,.476,1.3,3.7,.336,41.2,85.3,.482,22.9,29.7,.772,13.2,31.1,44.3,26.1,8.7,8.5,19.2,23.9,109.0
Chicago Bulls,82,241.5,42.1,84.3,.500,0.4,2.0,.180,41.8,82.3,.507,24.2,30.8,.784,13.1,28.9,42.0,24.3,7.6,5.7,17.8,25.3,108.7
Cleveland Cavaliers,82,241.2,42.3,89.8,.471,1.2,4.1,.287,41.1,85.7,.480,22.8,30.4,.749,14.7,29.8,44.5,25.6,7.6,5.8,16.9,26.5,108.6
Indiana Pacers,82,241.2,42.5,89.3,.476,0.4,1.9,.194,42.2,87.4,.482,22.8,30.7,.744,14.6,32.0,46.6,23.7,7.6,4.5,19.8,27.3,108.3
Phoenix Suns,82,241.5,42.8,87.1,.491,1.1,3.7,.283,41.7,83.4,.500,21.4,27.8,.771,12.5,29.6,42.1,28.5,8.9,4.3,19.3,24.8,108.0
Los Angeles Clippers,82,240.6,43.0,86.8,.495,0.7,2.3,.298,42.3,84.5,.501,20.4,26.9,.758,14.2,29.7,43.9,23.6,6.5,6.1,19.4,22.4,107.1
Atlanta Hawks,82,242.1,42.0,86.8,.484,0.9,2.9,.311,41.1,84.0,.490,21.7,28.9,.752,14.2,28.6,42.8,24.5,8.1,6.6,18.0,25.0,106.6
Washington Bullets,82,242.1,43.1,90.0,.479,1.3,4.9,.274,41.8,85.2,.490,18.0,24.3,.743,12.3,29.2,41.5,25.5,8.6,4.8,15.6,22.8,105.5
New York Knicks,82,241.8,41.9,86.6,.484,0.6,2.4,.258,41.3,84.2,.490,20.8,28.7,.726,13.6,25.6,39.2,24.4,9.2,3.3,17.8,29.2,105.2
Seattle SuperSonics,82,240.3,40.0,84.3,.474,0.5,2.3,.243,39.4,82.0,.481,21.7,28.1,.771,12.4,27.9,40.3,26.6,7.9,4.2,18.2,24.1,102.1
