Team,W,L,W/L%,GB,PS/G,PA/G,SRS
Boston Celtics,45,37,.549,—,101.3,100.4,0.35
Philadelphia 76ers,43,39,.524,2.0,99.1,99.9,-1.07
New Jersey Nets,42,40,.512,3.0,91.4,92.9,-1.82
Toronto Raptors,33,49,.402,12.0,99.7,101.4,-1.81
New York Knicks,33,49,.402,12.0,97.3,99.7,-2.72
Detroit Pistons,54,28,.659,—,93.3,89.5,3.31
Chicago Bulls,47,35,.573,7.0,94.5,93.4,0.65
Indiana Pacers,44,38,.537,10.0,93.0,92.2,0.49
Cleveland Cavaliers,42,40,.512,12.0,96.5,95.7,0.27
Milwaukee Bucks,30,52,.366,24.0,97.2,100.2,-3.09
Miami Heat,59,23,.720,—,101.5,95.0,5.77
Washington Wizards,45,37,.549,14.0,100.5,100.8,-0.71
Orlando Magic,36,46,.439,23.0,99.5,101.8,-2.52
Charlotte Bobcats,18,64,.220,41.0,94.3,100.2,-6.15
Atlanta Hawks,13,69,.159,46.0,92.7,102.5,-9.62
Seattle SuperSonics,52,30,.634,—,98.9,96.6,2.59
Denver Nuggets,49,33,.598,3.0,99.5,97.5,2.23
Minnesota Timberwolves,44,38,.537,8.0,96.8,95.3,1.73
Portland Trail Blazers,27,55,.329,25.0,92.9,96.9,-3.45
Utah Jazz,26,56,.317,26.0,93.0,97.3,-3.74
Phoenix Suns,62,20,.756,—,110.4,103.3,7.08
Sacramento Kings,50,32,.610,12.0,103.7,101.6,2.56
Los Angeles Clippers,37,45,.451,25.0,95.7,96.5,-0.47
Los Angeles Lakers,34,48,.415,28.0,98.7,101.7,-2.32
Golden State Warriors,34,48,.415,28.0,98.7,100.9,-1.74
San Antonio Spurs,59,23,.720,—,96.2,88.4,7.84
Dallas Mavericks,58,24,.707,1.0,102.5,96.8,5.86
Houston Rockets,51,31,.622,8.0,95.1,91.0,4.27
Memphis Grizzlies,45,37,.549,14.0,93.4,91.1,2.64
New Orleans Hornets,18,64,.220,41.0,88.4,95.5,-6.30
