Team,Games,Minutes Played,Opponent Field Goals,Opponent Field Goal Attempts,Opponent Field Goal Percentage,Opponent 3-Point Field Goals,Opponent 3-Point Field Goal Attempts,Opponent 3-Point Field Goal Percentage,Opponent 2-Point Field Goals,Opponent 2-Point Field Goal Attempts,Opponent 2-Point Field Goal Percentage,Opponent Free Throws,Opponent Free Throw Attempts,Opponent Free Throw Percentage,Opponent Offensive Rebounds,Opponent Defensive Rebounds,Opponent Total Rebounds,Opponent Assists,Opponent Steals,Opponent Blocks,Opponent Turnovers,Opponent Personal Fouls,Opponent Points
Atlanta Hawks,82,241.2,38.3,83.8,.458,0.6,2.2,.251,37.8,81.6,.463,24.4,31.9,.765,15.4,28.5,43.9,21.4,8.3,6.8,20.2,26.5,101.6
Portland Trail Blazers,82,241.2,40.8,85.5,.478,0.7,2.3,.296,40.2,83.2,.483,20.9,27.8,.752,13.9,28.8,42.6,24.5,9.2,4.8,17.7,22.9,103.3
Seattle SuperSonics,82,241.8,41.6,90.5,.459,0.7,2.9,.246,40.8,87.6,.466,20.0,26.2,.764,14.7,29.4,44.0,24.6,8.9,4.8,18.5,24.4,103.8
Philadelphia 76ers,82,242.1,42.0,92.2,.455,0.9,3.4,.271,41.1,88.8,.463,20.0,26.2,.765,16.1,28.7,44.8,25.5,10.7,4.7,19.0,25.6,104.9
Kansas City Kings,82,241.5,40.6,85.3,.476,0.5,2.1,.238,40.1,83.2,.482,23.2,30.5,.763,13.9,32.2,46.1,21.7,8.5,5.2,21.5,25.3,104.9
Boston Celtics,82,242.4,41.9,89.2,.470,0.9,3.2,.286,41.0,86.0,.477,20.9,27.1,.770,14.2,28.0,42.2,22.8,8.4,5.1,19.9,25.1,105.7
Milwaukee Bucks,82,241.5,42.1,91.3,.462,0.9,3.7,.249,41.2,87.6,.471,20.9,27.7,.753,16.6,28.0,44.5,26.3,8.7,4.4,20.0,23.3,106.1
Phoenix Suns,82,240.9,43.5,91.2,.476,1.2,3.6,.337,42.2,87.6,.482,19.4,25.8,.752,14.8,29.8,44.7,24.7,10.8,4.7,20.3,25.0,107.5
Golden State Warriors,82,242.4,41.9,85.1,.493,0.9,2.7,.329,41.0,82.4,.498,23.2,31.0,.749,12.9,31.3,44.1,25.5,8.8,4.4,18.1,21.8,108.0
Utah Jazz,82,241.5,43.4,87.6,.496,0.8,2.6,.318,42.6,85.0,.501,20.8,26.9,.772,14.1,27.9,42.0,24.4,8.7,4.9,15.5,21.7,108.4
Los Angeles Lakers,82,242.4,45.4,96.6,.470,1.0,3.3,.285,44.5,93.3,.477,17.4,23.0,.759,16.0,27.3,43.3,28.3,9.7,4.7,17.3,22.7,109.2
New Jersey Nets,82,241.5,42.4,90.6,.469,0.7,2.5,.279,41.7,88.0,.474,23.9,31.4,.761,15.7,31.7,47.3,26.7,10.4,6.3,20.6,24.9,109.5
Washington Bullets,82,242.4,44.1,94.8,.465,0.7,2.6,.262,43.4,92.2,.471,20.7,26.6,.777,14.6,32.6,47.2,25.9,9.0,6.3,14.9,23.2,109.5
Chicago Bulls,82,242.7,43.7,88.1,.496,0.7,2.4,.271,43.1,85.6,.503,22.1,28.8,.768,14.1,28.6,42.7,25.7,10.3,6.1,18.8,26.9,110.2
Houston Rockets,82,243.0,44.6,90.0,.496,0.7,2.6,.270,43.9,87.4,.502,20.7,26.3,.788,15.7,28.3,44.0,27.1,9.5,5.2,19.5,25.0,110.6
San Diego Clippers,82,240.9,45.8,91.6,.500,0.5,2.3,.230,45.2,89.3,.507,19.7,25.4,.773,14.9,30.3,45.2,24.5,9.3,5.0,17.0,23.0,111.7
Indiana Pacers,82,242.1,45.0,92.0,.489,0.7,2.8,.246,44.4,89.2,.497,21.1,28.0,.756,17.0,31.1,48.1,28.3,9.0,5.7,21.4,24.7,111.9
Denver Nuggets,82,241.8,45.6,92.6,.492,0.9,2.6,.327,44.7,90.0,.497,20.7,27.3,.760,14.6,31.5,46.1,27.9,9.9,5.5,17.5,24.8,112.7
Cleveland Cavaliers,82,243.0,46.5,92.8,.501,0.8,2.7,.291,45.7,90.1,.507,20.1,26.2,.765,15.0,32.2,47.2,26.9,8.6,6.0,20.3,24.8,113.8
New York Knicks,82,241.2,45.2,91.4,.495,0.7,2.4,.278,44.5,89.0,.501,24.0,31.2,.770,15.8,29.7,45.4,26.1,9.9,4.8,20.7,24.9,115.1
Detroit Pistons,82,241.2,46.9,94.6,.496,0.7,2.5,.277,46.2,92.1,.502,22.7,29.3,.773,16.1,31.4,47.5,28.1,10.7,5.7,19.3,22.8,117.2
San Antonio Spurs,82,240.9,48.8,97.5,.500,1.1,3.5,.306,47.7,94.0,.507,21.1,27.8,.758,15.2,30.1,45.4,30.9,10.1,5.6,18.5,26.7,119.7
