Team,Games,Minutes Played,Field Goal Percentage,Average distance (ft.) of FGA,% of FGAs that are 2-Pt FGAs.,% of FGAs that are 0-3 feet from the basket.,% of FGAs that are 3-10 feet from the basket.,% of FGAs that are 10-16 feet from the basket.,% of FGAs that are 2-Pt shotsand 16+ feet from the basket.,% of FGAs that are 3-Pt FGAs.,2-Point Field Goal Percentage,FG% on FGAs that are 0-3 feet from the basket.,FG% on FGAs that are 3-10 feet from the basket.,FG% on FGAs that are 10-16 feet from the basket.,FG% on 2-Pt FGAs that are 16+ feet from the basket.,3-Point Field Goal Percentage,% of 2-Pt FGs that are assisted.,% of all FGAs that are dunk attempts.,FGs that are dunks.,% of all team FGAs that are layup attempts.,Team FGs that are layups.,% of 3-Pt FGs that are assisted.,% of 3PAs from the corner.,3P% on 3PAs from the corner.,Heave attempts (beyond half-court),Heaves made (beyond half-court)
Atlanta Hawks,82,19705,.458,13.3,.747,.267,.160,.101,.219,.253,.490,.627,.461,.403,.384,.366,.483,.055,314,.211,790,.868,.285,.400,17,0
Boston Celtics,82,19880,.486,12.1,.786,.332,.123,.109,.223,.214,.510,.633,.402,.411,.434,.397,.541,.044,266,.281,1042,.911,.301,.446,5,0
Charlotte Bobcats,82,19930,.455,11.6,.787,.368,.119,.082,.219,.213,.479,.566,.384,.398,.415,.366,.539,.047,274,.307,1002,.939,.299,.385,18,1
Chicago Bulls,82,19930,.457,12.4,.811,.330,.084,.104,.293,.189,.474,.574,.386,.387,.418,.381,.505,.048,300,.265,951,.817,.246,.374,13,0
Cleveland Cavaliers,82,19780,.468,13.7,.741,.278,.101,.101,.262,.259,.495,.644,.385,.391,.418,.393,.484,.049,289,.210,801,.790,.351,.412,10,0
Dallas Mavericks,82,19805,.462,13.4,.759,.266,.089,.162,.242,.241,.498,.601,.402,.443,.456,.350,.506,.042,262,.211,774,.851,.282,.335,17,1
Denver Nuggets,82,19730,.470,11.8,.773,.376,.100,.081,.216,.227,.499,.616,.407,.327,.401,.371,.555,.088,523,.266,924,.777,.193,.389,18,1
Detroit Pistons,82,19905,.454,12.7,.835,.284,.091,.156,.304,.165,.475,.587,.477,.405,.406,.349,.510,.039,233,.229,812,.955,.380,.380,11,0
Golden State Warriors,82,19880,.458,12.6,.791,.308,.138,.092,.252,.209,.480,.632,.362,.366,.402,.373,.468,.044,290,.247,1036,.827,.224,.461,18,1
Houston Rockets,82,19805,.453,12.3,.746,.309,.160,.111,.166,.254,.480,.568,.450,.409,.393,.375,.492,.033,195,.265,922,.824,.194,.383,25,0
Indiana Pacers,82,19830,.455,12.9,.756,.295,.135,.103,.223,.244,.480,.592,.413,.410,.403,.378,.454,.026,167,.261,1051,.933,.174,.370,9,0
Los Angeles Clippers,82,19880,.441,12.2,.774,.336,.119,.102,.218,.226,.467,.582,.400,.347,.382,.354,.525,.045,260,.265,957,.847,.180,.426,30,3
Los Angeles Lakers,82,19780,.474,11.9,.783,.320,.148,.119,.196,.217,.505,.616,.440,.443,.410,.361,.522,.068,442,.231,872,.854,.274,.366,14,0
Memphis Grizzlies,82,19805,.454,11.4,.825,.332,.164,.102,.227,.175,.474,.573,.405,.398,.414,.360,.433,.070,406,.248,759,.892,.252,.394,13,0
Miami Heat,82,19955,.457,13.3,.755,.275,.119,.114,.247,.245,.489,.619,.423,.412,.411,.357,.485,.062,363,.199,722,.826,.288,.364,22,0
Milwaukee Bucks,82,19780,.445,12.4,.792,.305,.118,.125,.243,.208,.467,.568,.437,.384,.398,.363,.539,.043,257,.243,861,.892,.304,.400,8,1
Minnesota Timberwolves,82,19805,.441,11.9,.773,.332,.137,.107,.196,.227,.467,.571,.400,.365,.395,.353,.491,.031,186,.280,1017,.875,.292,.411,18,0
New Jersey Nets,82,19830,.448,12.8,.735,.330,.088,.102,.215,.265,.473,.578,.416,.375,.383,.376,.478,.051,304,.260,893,.842,.307,.451,9,0
New Orleans Hornets,82,19755,.457,12.8,.760,.276,.134,.137,.213,.240,.487,.613,.451,.387,.410,.364,.471,.056,325,.202,714,.899,.330,.414,9,0
New York Knicks,82,19805,.445,12.8,.678,.349,.091,.084,.154,.322,.486,.576,.412,.364,.391,.360,.447,.037,235,.299,1150,.843,.239,.382,19,0
Oklahoma City Thunder,82,19805,.447,11.0,.859,.338,.134,.138,.248,.141,.463,.606,.358,.388,.368,.346,.515,.071,429,.250,885,.878,.217,.345,12,0
Orlando Magic,82,19730,.457,13.6,.665,.282,.127,.101,.155,.335,.495,.623,.405,.424,.381,.381,.417,.054,327,.215,761,.871,.303,.395,11,0
Philadelphia 76ers,82,19755,.459,10.8,.836,.382,.112,.138,.204,.164,.486,.598,.385,.397,.394,.318,.516,.074,458,.293,984,.809,.285,.348,14,1
Phoenix Suns,82,19755,.504,10.9,.784,.363,.164,.100,.158,.216,.537,.665,.442,.387,.437,.383,.520,.078,471,.271,1105,.796,.297,.394,18,0
Portland Trail Blazers,82,19830,.465,12.8,.761,.294,.126,.109,.231,.239,.490,.621,.419,.382,.414,.383,.467,.075,437,.198,693,.901,.395,.402,29,1
Sacramento Kings,82,19905,.447,12.7,.762,.290,.141,.103,.229,.238,.472,.596,.378,.408,.402,.368,.481,.044,268,.227,840,.790,.269,.421,17,0
San Antonio Spurs,82,19905,.466,13.4,.752,.253,.140,.109,.250,.248,.492,.616,.456,.405,.424,.386,.489,.012,75,.234,914,.885,.376,.394,9,0
Toronto Raptors,82,19805,.458,13.1,.807,.264,.117,.132,.294,.193,.478,.601,.420,.375,.438,.372,.543,.054,318,.193,692,.910,.247,.421,16,0
Utah Jazz,82,19880,.475,11.2,.831,.379,.101,.091,.259,.169,.500,.614,.371,.422,.412,.349,.609,.068,412,.289,1057,.893,.205,.400,9,0
Washington Wizards,82,19705,.450,11.9,.820,.317,.154,.107,.242,.180,.476,.614,.386,.383,.395,.330,.506,.043,276,.261,969,.825,.192,.326,6,0
