Team,W,L,W/L%,GB,PS/G,PA/G,SRS
Boston Celtics,51,31,.622,—,106.6,103.0,3.41
New York Knicks,51,31,.622,—,101.6,97.7,3.67
New Jersey Nets,40,42,.488,11.0,105.4,107.1,-1.54
Miami Heat,38,44,.463,13.0,105.0,109.2,-3.94
Philadelphia 76ers,35,47,.427,16.0,101.9,103.2,-1.34
Washington Bullets,25,57,.305,26.0,102.4,106.8,-4.35
Orlando Magic,21,61,.256,30.0,101.6,108.5,-6.52
Chicago Bulls,67,15,.817,—,109.9,99.5,10.07
Cleveland Cavaliers,57,25,.695,10.0,108.9,103.4,5.34
Detroit Pistons,48,34,.585,19.0,98.9,96.9,2.06
Indiana Pacers,40,42,.488,27.0,112.2,110.3,1.85
Atlanta Hawks,38,44,.463,29.0,106.2,107.7,-1.15
Milwaukee Bucks,31,51,.378,36.0,105.0,106.7,-1.46
Charlotte Hornets,31,51,.378,36.0,109.5,113.4,-3.57
Utah Jazz,55,27,.671,—,108.3,101.9,5.70
San Antonio Spurs,47,35,.573,8.0,104.0,100.6,2.81
Houston Rockets,42,40,.512,13.0,102.0,103.7,-1.94
Denver Nuggets,24,58,.293,31.0,99.7,107.6,-7.59
Dallas Mavericks,22,60,.268,33.0,97.6,105.3,-7.47
Minnesota Timberwolves,15,67,.183,40.0,100.5,107.5,-6.85
Portland Trail Blazers,57,25,.695,—,111.4,104.1,6.94
Golden State Warriors,55,27,.671,2.0,118.7,114.8,3.77
Phoenix Suns,53,29,.646,4.0,112.1,106.2,5.68
Seattle SuperSonics,47,35,.573,10.0,106.5,104.7,1.86
Los Angeles Clippers,45,37,.549,12.0,102.9,101.9,1.10
Los Angeles Lakers,43,39,.524,14.0,100.4,101.5,-0.95
Sacramento Kings,29,53,.354,28.0,104.3,110.3,-5.63
