Team,Games,Minutes Played,Opponent Field Goals,Opponent Field Goal Attempts,Opponent Field Goal Percentage,Opponent 3-Point Field Goals,Opponent 3-Point Field Goal Attempts,Opponent 3-Point Field Goal Percentage,Opponent 2-Point Field Goals,Opponent 2-Point Field Goal Attempts,Opponent 2-Point Field Goal Percentage,Opponent Free Throws,Opponent Free Throw Attempts,Opponent Free Throw Percentage,Opponent Offensive Rebounds,Opponent Defensive Rebounds,Opponent Total Rebounds,Opponent Assists,Opponent Steals,Opponent Blocks,Opponent Turnovers,Opponent Personal Fouls,Opponent Points
New York Knicks,82,241.5,38.9,81.4,.478,0.8,3.3,.248,38.1,78.0,.488,25.6,33.5,.766,14.2,31.5,45.8,24.5,8.5,5.4,19.9,24.6,104.3
Seattle SuperSonics,82,243.0,40.3,82.6,.487,0.7,2.7,.254,39.6,79.9,.495,23.3,30.4,.768,12.5,28.1,40.7,24.9,8.0,5.0,17.9,24.5,104.5
Boston Celtics,82,242.1,42.0,91.2,.461,1.0,3.7,.270,41.0,87.5,.469,19.7,26.4,.748,13.3,28.3,41.5,23.5,8.8,4.2,15.3,24.0,104.7
Washington Bullets,82,242.1,41.9,89.8,.467,0.9,3.2,.274,41.0,86.6,.474,20.1,26.6,.756,15.2,31.6,46.8,24.6,8.7,5.5,16.7,23.3,104.8
Milwaukee Bucks,82,241.5,40.1,85.9,.467,1.2,4.0,.295,38.9,81.9,.475,24.1,32.6,.740,14.3,28.4,42.6,23.8,7.7,4.8,19.9,26.1,105.5
Atlanta Hawks,82,241.5,41.0,86.3,.475,1.1,3.5,.307,39.9,82.8,.482,23.2,30.6,.760,14.7,28.4,43.1,23.7,8.5,4.5,18.2,26.0,106.2
Indiana Pacers,82,240.9,41.1,86.9,.473,0.9,3.4,.265,40.2,83.5,.482,24.1,31.4,.768,12.8,30.2,43.0,25.1,9.1,5.4,16.0,23.3,107.2
Philadelphia 76ers,82,242.7,44.1,89.4,.493,1.0,3.4,.291,43.1,85.9,.501,18.9,24.9,.757,14.5,27.2,41.7,27.5,9.8,5.7,18.5,26.7,108.0
Utah Jazz,82,241.2,42.3,89.5,.473,0.8,3.1,.259,41.5,86.4,.480,23.1,30.3,.764,14.7,30.6,45.3,24.1,9.2,5.7,18.7,27.1,108.5
Los Angeles Lakers,82,241.8,43.6,90.9,.480,0.6,3.0,.206,43.0,87.8,.490,21.7,28.9,.751,13.5,27.1,40.6,27.3,9.7,4.4,16.2,24.3,109.5
Cleveland Cavaliers,82,241.2,41.9,88.3,.475,1.0,3.6,.290,40.8,84.7,.482,25.8,33.6,.767,13.8,30.4,44.2,25.9,8.7,4.4,16.2,23.7,110.6
New Jersey Nets,82,241.5,42.7,86.9,.492,1.2,3.9,.304,41.6,83.0,.501,24.5,32.0,.766,12.6,28.9,41.5,24.6,9.5,4.8,18.6,24.4,111.1
Houston Rockets,82,240.9,44.4,90.3,.491,1.1,3.3,.325,43.3,87.0,.498,22.0,29.3,.749,14.5,29.1,43.6,26.8,8.3,4.7,17.9,24.1,111.8
Sacramento Kings,82,241.2,43.5,88.1,.494,0.9,3.4,.260,42.6,84.7,.503,24.0,31.8,.755,13.9,28.5,42.5,25.8,9.2,5.8,17.2,25.4,111.9
Detroit Pistons,82,241.2,44.1,89.8,.492,0.9,3.1,.275,43.3,86.7,.499,23.9,31.6,.756,14.4,31.0,45.3,25.4,8.1,6.1,18.2,24.1,113.0
Phoenix Suns,82,241.5,43.5,89.1,.488,1.1,3.4,.319,42.4,85.7,.495,24.9,32.8,.758,13.9,27.6,41.5,26.2,10.3,5.7,18.5,27.0,113.0
San Antonio Spurs,82,241.5,44.3,89.8,.493,1.2,3.9,.304,43.1,85.9,.501,23.4,30.4,.769,14.1,28.1,42.2,27.7,9.8,5.5,18.5,25.7,113.1
Chicago Bulls,82,242.1,43.9,87.0,.504,0.9,2.8,.300,43.1,84.2,.511,24.4,32.0,.762,13.5,28.8,42.3,26.5,8.1,6.0,15.8,24.4,113.1
Denver Nuggets,82,240.9,44.4,90.3,.491,0.7,3.2,.229,43.6,87.1,.501,24.0,32.8,.730,15.8,33.3,49.1,25.7,7.8,5.9,21.2,25.8,113.5
Portland Trail Blazers,82,242.1,44.4,88.4,.502,1.0,3.0,.335,43.3,85.4,.508,24.3,32.2,.755,14.4,28.8,43.2,27.5,9.3,5.2,20.1,27.6,114.0
Dallas Mavericks,82,241.5,47.1,93.8,.503,1.1,3.8,.289,46.0,90.0,.512,18.8,25.0,.754,14.9,30.1,45.0,29.0,7.5,5.2,15.6,26.8,114.2
Los Angeles Clippers,82,240.9,46.9,92.5,.507,0.9,3.2,.280,46.0,89.4,.515,20.8,27.8,.747,15.5,30.0,45.4,30.1,9.3,5.6,17.0,25.8,115.5
Golden State Warriors,82,241.2,47.1,90.6,.520,0.8,2.8,.284,46.3,87.8,.527,21.8,29.3,.746,14.3,30.7,45.0,28.4,8.4,5.4,18.1,25.2,116.9
