Team,W,L,W/L%,GB,PS/G,PA/G,SRS
Philadelphia 76ers,55,27,.671,—,114.7,109.6,4.87
New York Knicks,43,39,.524,12.0,113.4,114.0,-0.53
Boston Celtics,32,50,.390,23.0,105.7,107.7,-1.86
Buffalo Braves,27,55,.329,28.0,105.3,109.0,-3.55
New Jersey Nets,24,58,.293,31.0,106.7,112.5,-5.61
San Antonio Spurs,52,30,.634,—,114.5,111.1,3.20
Washington Bullets,44,38,.537,8.0,110.3,109.4,0.82
Cleveland Cavaliers,43,39,.524,9.0,104.4,103.9,0.44
Atlanta Hawks,41,41,.500,11.0,103.7,103.9,-0.13
New Orleans Jazz,39,43,.476,13.0,107.6,109.5,-1.80
Houston Rockets,28,54,.341,24.0,103.8,107.8,-3.83
Denver Nuggets,48,34,.585,—,111.8,110.9,0.80
Milwaukee Bucks,44,38,.537,4.0,112.4,113.0,-0.59
Chicago Bulls,40,42,.488,8.0,103.9,104.8,-0.79
Detroit Pistons,38,44,.463,10.0,109.0,110.2,-1.22
Kansas City Kings,31,51,.378,17.0,109.5,111.4,-1.76
Indiana Pacers,31,51,.378,17.0,108.6,111.1,-2.37
Portland Trail Blazers,58,24,.707,—,107.7,101.5,5.92
Phoenix Suns,49,33,.598,9.0,112.3,108.6,3.50
Seattle SuperSonics,47,35,.573,11.0,104.5,102.9,1.48
Los Angeles Lakers,45,37,.549,13.0,110.3,107.6,2.59
Golden State Warriors,43,39,.524,15.0,106.1,105.7,0.41
