Team,W,L,W/L%,GB,PS/G,PA/G,SRS
Philadelphia 76ers,50,32,.610,—,110.2,106.2,3.78
Boston Celtics,44,38,.537,6.0,104.5,106.5,-1.90
New York Knicks,40,42,.488,10.0,108.6,108.6,0.01
Buffalo Braves,30,52,.366,20.0,105.0,109.5,-4.28
New York Nets,22,60,.268,28.0,95.9,102.7,-6.54
Houston Rockets,49,33,.598,—,106.4,104.8,1.44
Washington Bullets,48,34,.585,1.0,105.5,104.5,0.90
San Antonio Spurs,44,38,.537,5.0,115.0,114.4,0.53
Cleveland Cavaliers,43,39,.524,6.0,102.1,101.0,1.08
New Orleans Jazz,35,47,.427,14.0,104.6,107.4,-2.68
Atlanta Hawks,31,51,.378,18.0,102.4,106.4,-3.87
Denver Nuggets,50,32,.610,—,112.6,107.4,4.95
Detroit Pistons,44,38,.537,6.0,109.4,110.4,-1.00
Chicago Bulls,44,38,.537,6.0,98.9,98.0,0.92
Kansas City Kings,40,42,.488,10.0,107.7,106.8,0.93
Indiana Pacers,36,46,.439,14.0,106.8,108.6,-1.68
Milwaukee Bucks,30,52,.366,20.0,108.4,111.5,-2.99
Los Angeles Lakers,53,29,.646,—,106.9,104.1,2.64
Portland Trail Blazers,49,33,.598,4.0,111.7,106.2,5.39
Golden State Warriors,46,36,.561,7.0,110.9,107.7,3.10
Seattle SuperSonics,40,42,.488,13.0,104.0,105.5,-1.43
Phoenix Suns,34,48,.415,19.0,104.9,104.2,0.64
