Team,W,L,W/L%,GB,PS/G,PA/G,SRS
Boston Celtics,62,20,.756,—,112.1,105.6,6.42
Philadelphia 76ers,52,30,.634,10.0,107.8,105.6,2.39
New York Knicks,47,35,.573,15.0,106.9,103.0,3.79
New Jersey Nets,45,37,.549,17.0,110.0,108.9,1.27
Washington Bullets,35,47,.427,27.0,102.7,105.6,-2.36
Milwaukee Bucks,50,32,.610,—,105.7,101.5,4.04
Detroit Pistons,49,33,.598,1.0,117.1,113.5,3.52
Atlanta Hawks,40,42,.488,10.0,101.5,102.8,-1.08
Cleveland Cavaliers,28,54,.341,22.0,102.3,106.5,-3.71
Chicago Bulls,27,55,.329,23.0,103.7,108.9,-4.69
Indiana Pacers,26,56,.317,24.0,104.5,109.3,-4.25
Utah Jazz,45,37,.549,—,115.0,113.8,0.81
Dallas Mavericks,43,39,.524,2.0,110.4,110.0,0.15
Denver Nuggets,38,44,.463,7.0,123.7,124.8,-1.27
Kansas City Kings,38,44,.463,7.0,110.0,111.5,-1.62
San Antonio Spurs,37,45,.451,8.0,120.3,120.5,-0.50
Houston Rockets,29,53,.354,16.0,110.6,113.7,-3.12
Los Angeles Lakers,54,28,.659,—,115.6,111.8,3.32
Portland Trail Blazers,48,34,.585,6.0,113.1,109.6,3.13
Seattle SuperSonics,42,40,.512,12.0,108.1,108.3,-0.34
Phoenix Suns,41,41,.500,13.0,111.0,110.1,0.65
Golden State Warriors,37,45,.451,17.0,109.9,113.3,-3.35
San Diego Clippers,30,52,.366,24.0,110.7,114.0,-3.21
