Team,Games,Minutes Played,Field Goal Percentage,Average distance (ft.) of FGA,% of FGAs that are 2-Pt FGAs.,% of FGAs that are 0-3 feet from the basket.,% of FGAs that are 3-10 feet from the basket.,% of FGAs that are 10-16 feet from the basket.,% of FGAs that are 2-Pt shotsand 16+ feet from the basket.,% of FGAs that are 3-Pt FGAs.,2-Point Field Goal Percentage,FG% on FGAs that are 0-3 feet from the basket.,FG% on FGAs that are 3-10 feet from the basket.,FG% on FGAs that are 10-16 feet from the basket.,FG% on 2-Pt FGAs that are 16+ feet from the basket.,3-Point Field Goal Percentage,% of 2-Pt FGs that are assisted.,% of all FGAs that are dunk attempts.,FGs that are dunks.,% of all team FGAs that are layup attempts.,Team FGs that are layups.,% of 3-Pt FGs that are assisted.,% of 3PAs from the corner.,3P% on 3PAs from the corner.,Heave attempts (beyond half-court),Heaves made (beyond half-court)
Atlanta Hawks,82,19880,.454,11.3,.822,.342,.132,.118,.231,.178,.472,.583,.371,.377,.414,.367,.504,.047,290,.272,922,.837,.278,.383,11,0
Boston Celtics,82,19880,.467,12.0,.796,.341,.117,.111,.228,.204,.494,.602,.381,.411,.430,.362,.523,.042,247,.283,961,.895,.267,.390,14,2
Charlotte Bobcats,82,19905,.433,11.9,.816,.328,.120,.107,.261,.184,.454,.566,.407,.364,.371,.339,.527,.040,244,.265,939,.893,.315,.411,18,1
Chicago Bulls,82,19905,.446,13.0,.781,.292,.106,.114,.269,.219,.465,.551,.420,.410,.412,.379,.552,.025,158,.247,868,.813,.284,.389,12,0
Cleveland Cavaliers,82,19830,.454,11.9,.772,.351,.121,.103,.198,.228,.487,.616,.375,.348,.399,.339,.482,.054,317,.252,920,.803,.365,.360,15,0
Dallas Mavericks,82,19880,.462,11.8,.825,.287,.143,.178,.218,.175,.481,.571,.423,.425,.447,.374,.435,.035,195,.227,754,.894,.232,.422,19,0
Denver Nuggets,82,19930,.461,11.4,.839,.367,.088,.103,.280,.161,.487,.613,.368,.377,.401,.325,.591,.075,466,.269,963,.886,.303,.319,20,1
Detroit Pistons,82,19830,.455,13.2,.779,.269,.086,.174,.249,.221,.475,.608,.405,.415,.398,.384,.629,.059,347,.188,647,.797,.293,.400,4,0
Golden State Warriors,82,19830,.433,13.1,.730,.283,.152,.083,.211,.270,.467,.633,.348,.357,.374,.341,.519,.051,315,.224,851,.789,.267,.380,13,0
Houston Rockets,82,19830,.433,12.6,.774,.281,.151,.118,.225,.226,.463,.577,.426,.367,.395,.332,.531,.035,193,.229,772,.832,.260,.391,9,0
Indiana Pacers,82,19730,.444,12.9,.755,.283,.141,.133,.198,.245,.475,.603,.431,.363,.398,.349,.531,.042,249,.231,778,.815,.239,.376,12,0
Los Angeles Clippers,82,19805,.465,11.9,.869,.248,.174,.206,.242,.131,.483,.593,.467,.469,.392,.344,.537,.032,186,.200,713,.886,.217,.393,14,0
Los Angeles Lakers,82,19855,.453,12.8,.760,.304,.121,.106,.229,.240,.486,.600,.439,.396,.400,.349,.515,.053,322,.230,811,.864,.186,.380,13,0
Memphis Grizzlies,82,19855,.448,12.0,.742,.328,.145,.092,.178,.258,.474,.603,.372,.335,.392,.374,.494,.051,275,.254,869,.885,.304,.386,8,0
Miami Heat,82,19755,.478,11.4,.773,.340,.162,.094,.177,.227,.517,.669,.406,.360,.411,.345,.485,.084,499,.235,861,.924,.284,.401,16,1
Milwaukee Bucks,82,19855,.453,11.4,.797,.339,.134,.132,.192,.203,.472,.575,.390,.395,.400,.380,.536,.043,266,.267,928,.878,.295,.401,2,0
Minnesota Timberwolves,82,19855,.456,12.5,.851,.285,.118,.145,.304,.149,.478,.601,.441,.406,.410,.329,.570,.048,289,.215,712,.797,.197,.414,19,0
New Jersey Nets,82,19780,.440,12.9,.771,.299,.114,.102,.257,.229,.472,.569,.393,.360,.440,.330,.634,.052,292,.216,677,.893,.269,.373,16,1
New Orleans/Oklahoma City Hornets,82,19805,.440,11.2,.862,.324,.133,.139,.267,.138,.457,.572,.364,.363,.411,.339,.497,.050,284,.254,823,.873,.234,.386,8,0
New York Knicks,82,19930,.455,10.0,.858,.383,.161,.108,.205,.142,.470,.573,.391,.361,.397,.362,.479,.063,353,.300,938,.844,.381,.395,15,0
Orlando Magic,82,19905,.472,10.9,.871,.358,.125,.130,.258,.129,.486,.599,.385,.398,.424,.376,.474,.075,419,.257,825,.863,.198,.449,12,0
Philadelphia 76ers,82,19905,.458,11.1,.842,.328,.150,.145,.220,.158,.476,.590,.416,.395,.401,.364,.502,.069,421,.234,746,.891,.263,.399,6,0
Phoenix Suns,82,19955,.479,14.4,.707,.254,.089,.104,.260,.293,.511,.662,.413,.415,.437,.399,.569,.041,275,.199,874,.840,.286,.420,10,0
