Team,W,L,W/L%,GB,PS/G,PA/G,SRS
Boston Celtics,56,26,.683,—,111.5,105.7,5.22
Philadelphia 76ers,44,38,.537,12.0,105.4,105.6,-0.39
New York Knicks,39,43,.476,17.0,103.1,103.3,-0.43
Washington Bullets,30,52,.366,26.0,101.4,106.4,-4.84
New Jersey Nets,26,56,.317,30.0,102.9,107.5,-4.53
Miami Heat,24,58,.293,32.0,101.8,107.8,-5.91
Chicago Bulls,61,21,.744,—,110.0,101.0,8.57
Detroit Pistons,50,32,.610,11.0,100.1,96.8,3.08
Milwaukee Bucks,48,34,.585,13.0,106.4,104.0,2.33
Atlanta Hawks,43,39,.524,18.0,109.8,109.0,0.72
Indiana Pacers,41,41,.500,20.0,111.7,112.1,-0.37
Cleveland Cavaliers,33,49,.402,28.0,101.7,104.2,-2.33
Charlotte Hornets,26,56,.317,35.0,102.8,108.0,-4.95
San Antonio Spurs,55,27,.671,—,107.1,102.6,4.30
Utah Jazz,54,28,.659,1.0,104.0,100.7,3.18
Houston Rockets,52,30,.634,3.0,106.7,103.2,3.27
Orlando Magic,31,51,.378,24.0,105.9,109.9,-3.79
Minnesota Timberwolves,29,53,.354,26.0,99.6,103.5,-3.75
Dallas Mavericks,28,54,.341,27.0,99.9,104.5,-4.27
Denver Nuggets,20,62,.244,35.0,119.9,130.8,-10.31
Portland Trail Blazers,63,19,.768,—,114.7,106.0,8.47
Los Angeles Lakers,58,24,.707,5.0,106.3,99.6,6.73
Phoenix Suns,55,27,.671,8.0,114.0,107.5,6.49
Golden State Warriors,44,38,.537,19.0,116.6,115.0,1.72
Seattle SuperSonics,41,41,.500,22.0,106.6,105.4,1.31
Los Angeles Clippers,31,51,.378,32.0,103.5,107.0,-3.16
Sacramento Kings,25,57,.305,38.0,96.7,103.5,-6.27
