Name,Height w/o Shoes,Height w/shoes,Weight,Wingspan,Reach,Body Fat,Hand Length,Hand Width,No Step Vert,No Step Vert Reach,Max Vert,Max Vert Reach,Bench,Agility,Sprint,Rank,Drafted
DeSagana Diop - 2001,"6' 10""","6' 11.25""",314,"7' 6.5""","9' 5""",NA,0,0,21.5,"11' 2.5""",25.5,"11' 6.5""",15,12.37,3.56,72,8
Loren Woods - 2001,"7' 0.75""","7' 1.75""",246,"7' 5.5""","9' 5""",NA,0,0,24.5,"11' 5.5""",28,"11' 9""",10,11.83,3.48,70,45
Hasheem Thabeet - 2009,"7' 1.25""","7' 2.5""",267,"7' 6.25""","9' 5""",6.7,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2
DeMarcus Cousins - 2010,"6' 9.5""","6' 10.75""",292,"7' 5.75""","9' 5""",16.4,9.25,10,23.5,"11' 4.5""",27.5,"11' 8.5""",NA,11.4,3.55,NA,5
Jerome Jordan - 2010,"6' 11.5""","7' 0.75""",244,"7' 5.25""","9' 5""",6.9,9,10.25,NA,NA,NA,NA,NA,NA,NA,NA,44
Solomon Alabi - 2010,"6' 11.5""","7' 0.75""",237,"7' 5""","9' 5""",5,9.25,9.25,22.5,"11' 3.5""",26,"11' 7""",10,13.2,3.68,NA,50
Hassan Whiteside - 2010,"6' 10.5""","6' 11.5""",227,"7' 7""","9' 5""",5.5,8.25,10.25,27,"11' 8""",31.5,"12' 0.5""",12,11.83,3.54,NA,33
Artem Pustovyi - 2012,"7' 1.25""","7' 2.25""",213,"7' 5""","9' 5""",NA,0,0,23.5,"11' 4.5""",29.5,"11' 10.5""",NA,12.39,3.7,NA,No
Aziz N’Diaye - 2013,"6' 10.75""",NA,259,"7' 6.5""","9' 5""",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Mindaugas Kupsas - 2013,"7' 1""","7' 1.5""",276,"7' 3""","9' 5""",NA,0,0,22,"11' 3""",21,"11' 2""",NA,12.3,3.7,NA,No
Karl Towns - 2014,NA,"7' 0""",248,"7' 3.5""","9' 5""",NA,9.63,10.75,NA,NA,NA,NA,NA,NA,NA,NA,1
Robert Upshaw - 2015,"6' 10.75""","7' 0""",258,"7' 5.5""","9' 5""",12.5,10,11,NA,NA,NA,NA,NA,NA,NA,NA,No
Bangaly Fofana - 2010,"6' 11.86""","7' 1.04""",219,"7' 5.76""","9' 4.99""",NA,0,0,27.2,"11' 8.19""",30.7,"11' 11.69""",NA,NA,NA,NA,No
Uros Lukovic - 2010,"6' 10.68""","7' 0.25""",261,"7' 3.40""","9' 4.60""",NA,0,0,22,"11' 2.60""",28.3,"11' 8.90""",NA,NA,NA,NA,No
Martynas Andriuskevicius - 2005,"7' 1.25""","7' 3""",228,"6' 11.25""","9' 4.5""",NA,0,0,24,"11' 4.5""",27.5,"11' 8""",,11.94,3.42,73,44
Ndongo N'diaye - 2000,"6' 11.5""","7' 0.25""",208,"7' 3.5""","9' 4.5""",NA,0,0,24.5,"11' 5""",27.5,"11' 8""",4,13.16,3.69,60,26
Nikola Vucevic - 2011,"6' 10.25""","6' 11.75""",260,"7' 4.5""","9' 4.5""",6.1,9.25,10.25,23.5,"11' 4""",25,"11' 5.5""",8,12.02,3.27,NA,16
Dusan Cantekin - 2012,"7' 2.25""","7' 3.75""",257,"6' 11.25""","9' 4.5""",NA,0,0,22.5,"11' 3""",24.5,"11' 5""",NA,13.29,3.7,NA,No
Isaiah Austin - 2014,"6' 11.5""","7' 0.5""",220,"7' 4.5""","9' 4.5""",7.5,8.75,8.75,26.5,"11' 7""",29.5,"11' 10""",NA,11,3.55,NA,No
Victor Arteaga - 2014,"6' 10.75""","6' 11.75""",241,"7' 4.75""","9' 4.5""",NA,0,0,23.5,"11' 4""",26,"11' 6.5""",NA,12.81,3.64,NA,No
DeAndre Ayton - 2015,"6' 11""",NA,234,"7' 4.5""","9' 4.5""",NA,0,0,28.5,"11' 9""",34.5,"12' 3""",NA,14.04,3.67,NA,No
Marques Bolden - 2016,NA,"6' 11""",250,"7' 6""","9' 4.5""",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Prince Ibeh - 2016,"6' 10""","6' 11""",261,"7' 5.5""","9' 4.5""",NA,0,0,32.5,"12' 1""",NA,NA,NA,11.71,3.3,NA,No
Zhou Qi - 2016,"7' 1.25""","7' 2.25""",218,"7' 7.75""","9' 4.5""",4.9,9.25,9.5,31.5,"12' 0""",32,"12' 0.5""",NA,11.27,3.46,NA,No
Dusan Cantekin - 2011,"7' 2.22""","7' 3.40""",245,"6' 10.68""","9' 4.20""",9.4,0,0,13.5,"10' 5.70""",21.1,"11' 1.30""",NA,NA,3.45,NA,No
Greg Oden - 2007,"6' 11""","7' 0""",257,"7' 4.25""","9' 4""",7.8,0,0,32,"12' 0""",34,"12' 2""",NA,11.67,3.27,62,1
Curtis Borchardt - 2002,"6' 10.75""","7' 0.25""",238,"7' 2.5""","9' 4""",NA,0,0,24,"11' 4""",27,"11' 7""",7,12.56,3.63,74,18
Lonnie Jones - 2002,"6' 10.25""","6' 11.25""",230,"7' 2.25""","9' 4""",NA,0,0,30.5,"11' 10.5""",31.5,"11' 11.5""",15,11.8,3.33,36,No
Uche Okafor - 2002,"6' 9""","6' 10""",229,"7' 5.5""","9' 4""",NA,0,0,24.5,"11' 4.5""",25,"11' 5""",10,14.45,3.34,72,No
