Name,Height w/o Shoes,Height w/shoes,Weight,Wingspan,Reach,Body Fat,Hand Length,Hand Width,No Step Vert,No Step Vert Reach,Max Vert,Max Vert Reach,Bench,Agility,Sprint,Rank,Drafted
Gavin Ware - 2016,"6' 8""","6' 9""",267,"7' 1""","8' 11.5""",NA,0,0,28.5,"11' 4""",NA,NA,NA,12.82,3.43,NA,No
Jameel Warney - 2016,"6' 7""","6' 8""",259,"7' 1""","8' 11.5""",NA,0,0,25.5,"11' 1""",NA,NA,NA,11.43,3.34,NA,No
Charles Jackson - 2016,"6' 9.5""","6' 10.5""",254,"7' 3""","8' 11.5""",NA,0,0,28,"11' 3.5""",31,"11' 6.5""",NA,12.32,3.5,NA,No
Chris Walker - 2016,"6' 9""","6' 10""",208,"7' 0.5""","8' 11.5""",NA,0,0,31,"11' 6.5""",35,"11' 10.5""",NA,12.82,3.61,NA,No
Cheick Diallo - 2016,"6' 7.5""","6' 9""",219,"7' 4.5""","8' 11.5""",5.6,8.5,9.75,31,"11' 6.5""",35,"11' 10.5""",NA,11.24,3.26,NA,No
Nigel Hayes - 2016,"6' 6.25""","6' 7.25""",245,"7' 3""","8' 11.5""",10.9,8.5,9.5,25.5,"11' 1""",28.5,"11' 4""",NA,12.11,3.2,NA,No
Marcus Lee - 2016,"6' 9""","6' 10.25""",211,"7' 3""","8' 11.5""",5.4,9,9,28.5,"11' 4""",35.5,"11' 11""",NA,11.68,3.25,NA,No
Pascal Siakam - 2016,"6' 8.25""","6' 9.5""",227,"7' 3.25""","8' 11.5""",5.2,9.25,10,30.5,"11' 6""",36.5,"12' 0""",NA,11.25,3.41,NA,No
Kenan Karahodzic - 2016,"6' 9.5""","6' 10.75""",230,"7' 1""","8' 11.5""",NA,0,0,26,"11' 1.5""",29.5,"11' 5""",NA,12.93,3.55,NA,No
Jordan Brown - 2016,NA,"6' 11""",196,"7' 0""","8' 11.5""",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Nazreon Reid - 2016,NA,"6' 9""",240,"7' 2""","8' 11.5""",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Semen Shashkov - 2010,"6' 8.31""","6' 9.89""",215,"6' 11.07""","8' 11.48""",NA,0,0,24,"10' 11.48""",33.9,"11' 9.38""",NA,NA,NA,NA,No
Mindaugas Kuzminskas - 2010,"6' 7.92""","6' 9.10""",218,"6' 11.07""","8' 11.48""",NA,0,0,27.2,"11' 2.68""",33.9,"11' 9.38""",NA,NA,NA,NA,No
Deon Thompson - 2010,"6' 7""",NA,250,"7' 2.5""","8' 11.25""",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Derrick Caracter - 2010,"6' 8.25""","6' 9.5""",280,"7' 0.25""","8' 11.25""",12.8,9,10.25,25,"11' 0.25""",30.5,"11' 5.75""",22,12.78,3.61,NA,58
Papa Dia - 2011,"6' 7.5""",NA,230,"7' 2.5""","8' 11.25""",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Gary McGhee - 2011,"6' 8.75""",NA,263,"7' 2""","8' 11.25""",NA,0,0,29.5,"11' 4.75""",NA,NA,NA,11.96,3.5,NA,No
Rudy Gay - 2006,"6' 7""","6' 8""",222,"7' 3""","8' 11.20""",5.7,0,0,33,"11' 8.20""",40.5,"12' 3.70""",9,11.03,3.32,26,8
Robin Benzing - 2011,"6' 9.5""","6' 10.68""",220,"6' 11.07""","8' 11.09""",9.1,0,0,12.3,"9' 11.39""",24.6,"10' 11.69""",NA,NA,3.58,NA,No
Sarra Camara - 2011,"6' 8.31""","6' 9.5""",227,"7' 1.04""","8' 11.09""",5.1,0,0,22.2,"10' 9.29""",28.3,"11' 3.39""",NA,NA,3.35,NA,No
Stephane Lasme - 2007,"6' 5.5""","6' 7""",213,"7' 2""","8' 11""",4.9,0,0,29.5,"11' 4.5""",36,"11' 11""",17,11.73,3.22,13,46
Al Horford - 2007,"6' 8.75""","6' 9.75""",246,"7' 0.75""","8' 11""",9.1,0,0,31,"11' 6""",35.5,"11' 10.5""",20,12.15,3.37,21,3
Avis Wyatt - 2007,"6' 8.75""","6' 9.5""",212,"7' 1""","8' 11""",3.3,0,0,27.5,"11' 2.5""",32,"11' 7""",12,11.46,3.23,36,No
Coleman Collins - 2007,"6' 8""","6' 9.75""",236,"7' 2""","8' 11""",6.2,0,0,30,"11' 5""",35,"11' 10""",21,11.47,NA,51,No
Mario Boggan - 2007,"6' 5.5""","6' 7""",240,"7' 2""","8' 11""",9.2,0,0,24,"10' 11""",26.5,"11' 1.5""",12,12.18,3.45,69,No
Yemi Nicholson - 2006,"6' 7.75""","6' 9.5""",258,"7' 4.25""","8' 11""",17.2,0,0,26.5,"11' 1.5""",26,"11' 1""",8,12.57,3.65,80,No
Tedric Hill - 2006,"6' 7.75""","6' 9""",236,"7' 1""","8' 11""",7.3,0,0,30,"11' 5""",36.5,"11' 11.5""",1,12.23,3.24,65,No
Taj Gray - 2006,"6' 7.25""","6' 8.5""",231,"7' 0.75""","8' 11""",6.8,0,0,28.5,"11' 3.5""",33,"11' 8""",10,11.02,3.45,52,No
Michael Beasley - 2008,"6' 7""","6' 8.25""",239,"7' 0.25""","8' 11""",7.7,0,0,30,"11' 5""",35,"11' 10""",19,11.06,3.24,NA,2
Joseph Jones - 2008,"6' 7.5""","6' 8.5""",240,"7' 0.25""","8' 11""",12.2,0,0,25.5,"11' 0.5""",31,"11' 6""",16,11.61,3.33,NA,No
Joey Dorsey - 2008,"6' 6.25""","6' 7.25""",265,"7' 1.75""","8' 11""",9,0,0,27.5,"11' 2.5""",33,"11' 8""",19,11.84,3.2,NA,33
Darrell Arthur - 2008,"6' 7.5""","6' 8.5""",216,"6' 10.75""","8' 11""",7.3,0,0,28.5,"11' 3.5""",30,"11' 5""",12,12.18,3.14,NA,27
Jason Maxiell - 2005,"6' 5""","6' 6.25""",258,"7' 3.25""","8' 11""",NA,0,0,NA,NA,NA,NA,NA,NA,NA,85,26
Wayne Simien - 2005,"6' 7.25""","6' 9""",256,"7' 0""","8' 11""",NA,0,0,27,"11' 2""",27.5,"11' 2.5""",11,11.05,3.35,49,29
Andre Brown - 2004,"6' 8""","6' 9.5""",236,"6' 11""","8' 11""",NA,0,0,32,"11' 7""",35.5,"11' 10.5""",18,11.7,3.22,11,No
Rolando Howell - 2004,"6' 7.5""","6' 8.5""",229,"7' 0.5""","8' 11""",NA,0,0,28.5,"11' 3.5""",34.5,"11' 9.5""",NA,11.91,3.28,62,No
Herve Lamizana - 2004,"6' 7.5""","6' 8.5""",210,"7' 1.5""","8' 11""",NA,0,0,NA,NA,NA,NA,NA,NA,NA,81,No
Jaime Lloreda - 2004,"6' 6.75""","6' 8.5""",247,"6' 9.5""","8' 11""",NA,0,0,25.5,"11' 0.5""",29.5,"11' 4.5""",6,12.93,3.23,65,No
Rich Melzer - 2004,"6' 7.5""","6' 8.75""",229,"7' 2""","8' 11""",NA,0,0,24.5,"10' 11.5""",28.5,"11' 3.5""",8,11.74,3.39,61,No
James Moore - 2004,"6' 6.5""","6' 8""",198,"7' 0.5""","8' 11""",NA,0,0,28.5,"11' 3.5""",32.5,"11' 7.5""",NA,11.01,3.21,48,No
Blagota Sekulic - 2004,"6' 9.25""","6' 10.5""",234,"6' 11""","8' 11""",NA,0,0,23.5,"10' 10.5""",31.5,"11' 6.5""",8,10.93,3.39,46,No
Jerome Beasley - 2003,"6' 9""","6' 10.25""",237,"7' 0.5""","8' 11""",9.9,0,0,27,"11' 2""",32,"11' 7""",10,11.36,3.25,42,33
Michael Ignerski - 2003,"6' 9.5""","6' 11""",232,"6' 10.75""","8' 11""",10.5,0,0,26.5,"11' 1.5""",33,"11' 8""",10,11.21,3.13,29,No
Donald Little - 2003,"6' 9.5""","6' 10.5""",229,"7' 3""","8' 11""",7.3,0,0,33,"11' 8""",37,"12' 0""",18,11.18,3.2,9,No
Stephane Pelle - 2003,"6' 7""","6' 8.5""",246,"7' 2""","8' 11""",12.4,0,0,28.5,"11' 3.5""",33,"11' 8""",17,11.37,3.27,21,No
Lubos Barton - 2002,"6' 6.5""","6' 7.75""",221,"7' 0""","8' 11""",NA,0,0,25.5,"11' 0.5""",31.5,"11' 6.5""",14,11.2,3.31,33,No
Lenny Cooke - 2002,"6' 5.5""","6' 6.5""",214,"7' 1""","8' 11""",NA,0,0,NA,NA,NA,NA,,NA,NA,81,No
Rod Grizzard - 2002,"6' 6""","6' 7.75""",193,"7' 0""","8' 11""",NA,0,0,NA,NA,NA,NA,6,NA,NA,80,38
Marcus Haislip - 2002,"6' 8.5""","6' 9.75""",221,"7' 0""","8' 11""",NA,0,0,33.5,"11' 8.5""",36.5,"11' 11.5""",8,11.35,3.21,17,13
Udonis Haslem - 2002,"6' 7.75""","6' 7.75""",250,"6' 11""","8' 11""",NA,0,0,28.5,"11' 3.5""",33.5,"11' 8.5""",22,11.8,3.31,28,No
Kei Madison - 2002,"6' 7.75""","6' 9""",216,"7' 0.5""","8' 11""",NA,0,0,27.5,"11' 2.5""",34.5,"11' 9.5""",6,11.74,3.22,42,No
Chris Massie - 2002,"6' 6.25""","6' 7.25""",248,"7' 0""","8' 11""",NA,0,0,NA,NA,NA,NA,NA,NA,NA,83,No
Adam Allenspach - 2001,"6' 11.5""","7' 1.25""",259,"7' 0.5""","8' 11""",NA,0,0,28.5,"11' 3.5""",31,"11' 6""",16,11.9,3.4,46,No
Michael Bradley - 2001,"6' 9.5""","6' 11""",227,"7' 1.5""","8' 11""",NA,0,0,27,"11' 2""",30,"11' 5""",13,11.11,3.35,38,17
Sam Clancy - 2001,"6' 6.25""","6' 7.5""",242,"7' 2.75""","8' 11""",NA,0,0,31,"11' 6""",34,"11' 9""",15,11.47,3.13,18,44
Tate Decker - 2001,"6' 9.25""","6' 10.25""",218,"6' 11.75""","8' 11""",NA,0,0,25.5,"11' 0.5""",28.5,"11' 3.5""",13,12.19,3.47,69,No
Dan McClintock - 2000,"6' 11""","7' 0.5""",250,"7' 1.5""","8' 11""",NA,0,0,33,"11' 8""",35,"11' 10""",20,11.52,3.33,16,53
Jeff Pendergraph - 2009,"6' 8.75""","6' 10""",240,"7' 1""","8' 11""",5.5,0,0,31,"11' 6""",35,"11' 10""",15,11.98,3.14,NA,31
Chas Mcfarland - 2010,"6' 11.5""",NA,235,"7' 1""","8' 11""",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Damion James - 2010,"6' 6.25""","6' 7.75""",227,"7' 0.75""","8' 11""",9.6,9.25,8.5,29,"11' 4""",33,"11' 8""",13,10.89,3.2,NA,24
Paul George - 2010,"6' 7.75""","6' 8.75""",214,"6' 11.25""","8' 11""",5,8.5,9,NA,NA,NA,NA,4,NA,NA,NA,10
Patrick Patterson - 2010,"6' 8""","6' 9.25""",240,"7' 1.25""","8' 11""",5.3,9.25,10.25,28.5,"11' 3.5""",33.5,"11' 8.5""",17,11.14,3.25,NA,14
Delvon Johnson - 2011,"6' 7""",NA,232,"7' 3""","8' 11""",NA,0,0,28,"11' 3""",NA,NA,NA,12.12,3.32,NA,No
Troy Gillenwater - 2011,"6' 6.5""","6' 8.5""",241,"7' 2""","8' 11""",13.7,9.75,0,30,"11' 5""",35,"11' 10""",NA,NA,4.16,NA,No
Jeff Allen - 2011,"6' 6""","6' 7""",235,"7' 2""","8' 11""",8.4,10.25,0,28,"11' 3""",34,"11' 9""",NA,NA,4.09,NA,56
Kenyatta Smith - 2010,"6' 8""",NA,270,"7' 3""","8' 11""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Joseph Uchebo - 2010,"6' 9""",NA,238,"7' 0.5""","8' 11""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Perry Jones - 2012,"6' 10.25""","6' 11.25""",234,"7' 1.75""","8' 11""",4.6,9.25,9.5,33,"11' 8""",38.5,"12' 1.5""",11,11.31,3.19,NA,28
Terrence Jones - 2012,"6' 8.25""","6' 9.5""",252,"7' 2.25""","8' 11""",7.7,9,10,29.5,"11' 4.5""",34.5,"11' 9.5""",12,11.57,3.4,NA,18
Andrew Nicholson - 2012,"6' 8.5""","6' 9.5""",234,"7' 4""","8' 11""",7.6,10,10.75,28.5,"11' 3.5""",30.5,"11' 5.5""",10,11.89,3.67,NA,19
Maxi Kleber - 2012,"6' 8.75""","6' 10""",211,"6' 10.75""","8' 11""",NA,0,0,28.5,"11' 3.5""",33.5,"11' 8.5""",NA,11.92,3.38,NA,No
Tomislav Zubcic - 2012,"6' 10.5""","6' 11.25""",229,"7' 0""","8' 11""",NA,0,0,27.5,"11' 2.5""",27,"11' 2""",NA,11.75,3.6,NA,56
Louis Labeyrie - 2012,"6' 9""","6' 9.75""",191,"6' 10.75""","8' 11""",NA,0,0,28.5,"11' 3.5""",32,"11' 7""",NA,11.32,3.49,NA,57
Fernando Raposo - 2009,"6' 8.25""","6' 7.5""",225,"6' 10.25""","8' 11""",NA,0,0,28,"11' 3""",33,"11' 8""",NA,NA,3.68,NA,No
Vladimir Dasic - 2009,"6' 8.25""","6' 10.25""",226,"6' 11.75""","8' 11""",NA,0,0,0,NA,31,"11' 6""",NA,NA,3.63,NA,No
Andrei Vorontsevich - 2009,"6' 8.5""","6' 9""",235,"6' 9""","8' 11""",NA,0,0,27,"11' 2""",30,"11' 5""",NA,NA,3.77,NA,No
Anton Ponomarev - 2009,"6' 9.5""","6' 10.75""",228,"6' 10.75""","8' 11""",NA,0,0,0,NA,0,NA,NA,NA,3.72,NA,No
Nemanja Aleksandrov - 2009,"6' 10.25""","6' 11.5""",223,"6' 10.75""","8' 11""",NA,0,0,24,"10' 11""",29,"11' 4""",NA,NA,3.75,NA,No
Uros Nikolic - 2009,"6' 8.75""","6' 9.75""",239,"7' 1""","8' 11""",NA,0,0,25,"11' 0""",32,"11' 7""",NA,NA,3.86,NA,No
Mindaugas Kuzminskas - 2009,"6' 9""","6' 8.75""",214,"6' 11""","8' 11""",NA,0,0,26,"11' 1""",32,"11' 7""",NA,NA,3.5,NA,No
Mouphtaou Yarou - 2013,"6' 8.25""",NA,260,"7' 0.5""","8' 11""",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Bobby Portis - 2013,NA,"6' 9""",231,"7' 1.5""","8' 11""",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,22
Jackie Carmichael - 2013,"6' 7.5""","6' 9""",241,"7' 1.5""","8' 11""",5.8,9,10.25,30,"11' 5""",32,"11' 7""",13,11.83,3.35,NA,No
Jake Cohen - 2013,"6' 9.5""","6' 11""",234,"6' 11""","8' 11""",12.2,8.5,10.25,22.5,"10' 9.5""",0,NA,,12.27,3.68,NA,No
Jack Cooley - 2013,"6' 9.5""","6' 10""",249,"7' 2""","8' 11""",7,8.5,9.25,27,"11' 2""",32.5,"11' 7.5""",18,11.5,3.58,NA,No
Mouphtaou Yarou - 2013,"6' 8.75""","6' 10.5""",267,"7' 0.5""","8' 11""",8.4,8.5,9.5,26,"11' 1""",32,"11' 7""",20,11.76,3.41,NA,No
Harry Giles - 2012,"6' 7.5""","6' 8.5""",203,"7' 1.75""","8' 11""",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Horace Spencer - 2012,"6' 5""","6' 6.5""",191,"7' 1""","8' 11""",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Linos Chrysikopoulos - 2013,"6' 8.5""","6' 10""",218,"7' 1""","8' 11""",NA,0,0,21,"10' 8""",30.5,"11' 5.5""",NA,12.37,3.4,NA,No
Nicolo Melli - 2013,"6' 8""","6' 9""",235,"6' 11""","8' 11""",NA,0,0,25,"11' 0""",33,"11' 8""",NA,11.85,3.43,NA,No
Montrezl Harrell - 2013,"6' 5.75""","6' 6.5""",242,"7' 3""","8' 11""",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,32
Horace Spencer - 2013,NA,"6' 7.5""",211,"7' 1""","8' 11""",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
T.J. Leaf - 2013,NA,"6' 9""",210,"6' 11""","8' 11""",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Kadeem Batts - 2014,"6' 8""",NA,256,"7' 2""","8' 11""",NA,0,0,23.5,"10' 10.5""",NA,NA,NA,11.99,3.5,NA,No
Juvonte Reddic - 2014,"6' 7.5""",NA,247,"7' 0.5""","8' 11""",NA,0,0,27.5,"11' 2.5""",NA,NA,NA,11.72,3.38,NA,No
Cameron Bairstow - 2014,"6' 8.75""","6' 9.75""",252,"7' 0.75""","8' 11""",8.7,8.75,9,31,"11' 6""",33.5,"11' 8.5""",NA,11.39,3.37,NA,49
Khem Birch - 2014,"6' 7.5""","6' 9.25""",209,"7' 1""","8' 11""",6,9,8.5,30.5,"11' 5.5""",35.5,"11' 10.5""",NA,11.6,3.26,NA,No
Jerami Grant - 2014,"6' 6.5""","6' 7.75""",214,"7' 2.75""","8' 11""",3.8,9.25,9.25,NA,NA,NA,NA,NA,NA,NA,NA,39
Devon Collier - 2014,"6' 7""","6' 7.5""",233,"7' 0.25""","8' 11""",11.3,9,9.25,25.5,"11' 0.5""",28.5,"11' 3.5""",8,11.82,3.28,NA,No
Javon McCrea - 2014,"6' 7""","6' 8""",250,"7' 3""","8' 11""",7.7,9.5,10,28,"11' 3""",32,"11' 7""",12,11.87,3.39,NA,No
Mike Moser - 2014,"6' 6.75""","6' 8""",204,"7' 0.25""","8' 11""",5.9,8.75,9,27,"11' 2""",30.5,"11' 5.5""",5,11.26,3.46,NA,No
Tarik Black - 2014,"6' 7.5""","6' 8.5""",253,"7' 2.75""","8' 11""",10.2,10.5,11,NA,NA,NA,NA,NA,NA,NA,NA,No
Berkay Candan - 2014,"6' 7""","6' 8.25""",211,"6' 10""","8' 11""",NA,0,0,21.5,"10' 8.5""",24.5,"10' 11.5""",NA,11.93,3.52,NA,No
Ojars Silins - 2014,"6' 7.5""","6' 8.5""",209,"7' 0.75""","8' 11""",NA,0,0,25,"11' 0""",28,"11' 3""",NA,11.98,3.47,NA,No
Marcus Lee - 2014,"6' 8""","6' 9""",220,"7' 3""","8' 11""",4.1,9.25,9.5,30.5,"11' 5.5""",38.5,"12' 1.5""",8,10.54,3.31,NA,No
Daniel Giddens - 2012,"6' 8""",NA,206,"7' 1.5""","8' 11""",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Peter Miller - 2012,"6' 8.5""",NA,207,"6' 10.75""","8' 11""",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Quadri Moore - 2012,"6' 6.25""",NA,230,"7' 0.5""","8' 11""",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Tyler Roberson - 2012,"6' 7""",NA,200,"7' 2""","8' 11""",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Timothy Rowe - 2012,"6' 8.25""",NA,213,"6' 11""","8' 11""",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Amir Williams - 2015,"6' 10""",NA,257,"7' 3""","8' 11""",NA,0,0,30.5,"11' 5.5""",NA,NA,NA,12.29,3.56,NA,No
Jordan Brown - 2015,"6' 9""","6' 10""",190,"6' 11.5""","8' 11""",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Mamadou Diarra - 2015,"6' 5.5""",NA,218,"7' 2.5""","8' 11""",NA,0,0,27,"11' 2""",34,"11' 9""",NA,12.08,3.51,NA,No
Joey St. Pierre - 2015,"6' 6.5""",NA,296,"7' 1""","8' 11""",NA,0,0,24,"10' 11""",28.5,"11' 3.5""",NA,13.32,3.53,NA,No
Cameron Krutwig - 2015,"6' 7""",NA,265,"6' 10.5""","8' 11""",NA,0,0,19.5,"10' 6.5""",24,"10' 11""",NA,13.71,3.79,NA,No
Marcus Lee - 2015,"6' 8""","6' 9""",224,"7' 3""","8' 11""",4.9,9.25,9.5,31,"11' 6""",39.5,"12' 2.5""",10,10.39,3.23,NA,No
Isaac Humphries - 2015,"6' 11.25""","7' 0.25""",260,"7' 0""","8' 11""",12.2,9,9.25,24.5,"10' 11.5""",30.5,"11' 5.5""",6,11.18,3.49,NA,No
Aaron Epps - 2015,"6' 8""","6' 9.5""",220,"7' 0""","8' 11""",8.6,8.5,8.75,32,"11' 7""",41,"12' 4""",10,11.88,3.13,NA,No
Kadeem Jack - 2016,"6' 8""","6' 9""",214,"7' 0""","8' 11""",NA,0,0,28.5,"11' 3.5""",33.5,"11' 8.5""",NA,11.79,3.4,NA,No
Talib Zanna - 2016,"6' 8.5""","6' 9.5""",233,"7' 0""","8' 11""",NA,0,0,27,"11' 2""",27.5,"11' 2.5""",NA,12.2,3.58,NA,No
Damian Jones - 2016,"6' 10.25""","6' 11.5""",244,"7' 3.75""","8' 11""",6.6,8.75,10.5,36,"11' 11""",37,"12' 0""",NA,11.35,3.2,NA,No
Caleb Swanigan - 2016,"6' 7.5""","6' 8.5""",247,"7' 3.5""","8' 11""",12.6,9,10.25,26,"11' 1""",29,"11' 4""",NA,12.8,NA,NA,No
Rolands Smits - 2016,"6' 8.5""","6' 9.5""",235,"7' 1""","8' 11""",NA,0,0,28,"11' 3""",31.5,"11' 6.5""",NA,12.55,3.48,NA,No
Amar Mehic - 2016,"6' 8.75""","6' 10""",226,"6' 11""","8' 11""",NA,0,0,21.5,"10' 8.5""",26,"11' 1""",NA,13.84,3.7,NA,No
Jalen Smith - 2016,NA,"6' 9""",190,"7' 0.5""","8' 11""",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Jarred Vanderbilt - 2016,NA,"6' 8.5""",203,"6' 11.5""","8' 11""",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Isaac Humphries - 2016,"6' 11.25""","7' 0.25""",260,"7' 0""","8' 11""",NA,9,9.25,24.5,"10' 11.5""",30.5,"11' 5.5""",8,10.6,NA,NA,No
Wenyen Gabriel - 2016,"6' 8""","6' 9""",210,"6' 11""","8' 11""",NA,8.25,9,31.5,"11' 6.5""",36.5,"11' 11.5""",4,11.24,NA,NA,No
Will Coleman - 2011,"6' 7""",NA,241,"7' 1.5""","8' 10.75""",NA,0,0,31.5,"11' 6.25""",NA,NA,NA,11.7,3.16,NA,No
Giorgi Shermadini - 2007,NA,"6' 11.5""",250,"7' 1.75""","8' 10.75""",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Dwayne Morgan - 2015,"6' 7""","6' 8""",206,"7' 1""","8' 10.75""",3.4,9,10,26,"11' 0.75""",32.3,"11' 7.05""",11,11.16,3.3,NA,No
Lynos Chrisikopoulos - 2010,"6' 7.92""","6' 9.5""",210,"7' 0.65""","8' 10.69""",NA,0,0,22.4,"10' 9.09""",33.5,"11' 8.19""",NA,NA,NA,NA,No
Miralem Halilovic - 2010,"6' 8.31""","6' 9.89""",210,"6' 11.86""","8' 10.69""",NA,0,0,25.2,"10' 11.89""",33.5,"11' 8.19""",NA,NA,NA,NA,No
Rasmus Larsen - 2011,"6' 10.28""","6' 11.46""",210,"7' 2.22""","8' 10.69""",5.6,0,0,19.3,"10' 5.99""",28.3,"11' 2.99""",NA,NA,3.54,NA,No
Tomislav Zubcic - 2011,"6' 10.28""","6' 11.46""",229,"6' 10.68""","8' 10.69""",8.3,0,0,19.3,"10' 5.99""",24.2,"10' 10.89""",NA,NA,3.48,NA,56
Joseph Jones - 2007,"6' 6.75""","6' 8.75""",241,"6' 11.75""","8' 10.5""",11.9,0,0,27,"11' 1.5""",31.5,"11' 6""",18,11.4,3.34,28,No
Antanas Kavaliauskas - 2007,"6' 9""","6' 10.5""",237,"6' 10.5""","8' 10.5""",7.7,0,0,25.5,"11' 0""",30,"11' 4.5""",19,11.19,3.42,33,No
Joakim Noah - 2007,"6' 10.5""","7' 0""",223,"7' 1.25""","8' 10.5""",4.8,0,0,32.5,"11' 7""",37.5,"12' 0""",12,11.79,3.47,43,9
Josh McRoberts - 2007,"6' 8.75""","6' 10""",240,"7' 1""","8' 10.5""",13.7,0,0,27.5,"11' 2""",31.5,"11' 6""",12,11.7,3.47,58,37
Craig Bradshaw - 2007,"6' 8""","6' 9.75""",240,"7' 1.5""","8' 10.5""",12.1,0,0,26,"11' 0.5""",28,"11' 2.5""",12,11.88,3.54,67,No
Eric Williams - 2006,"6' 7.25""","6' 8.75""",285,"7' 4.25""","8' 10.5""",13,0,0,28.5,"11' 3""",29,"11' 3.5""",17,11.71,3.56,58,14
Darnell Jackson - 2008,"6' 7""","6' 7.75""",241,"6' 11.25""","8' 10.5""",12.5,0,0,27,"11' 1.5""",31,"11' 5.5""",11,11.75,3.26,NA,52
Taylor Coppenrath - 2005,"6' 7.75""","6' 9.25""",252,"6' 11.5""","8' 10.5""",NA,0,0,24.5,"10' 11""",27,"11' 1.5""",5,11.51,3.44,69,No
David Lee - 2005,"6' 7.75""","6' 9""",230,"7' 0""","8' 10.5""",NA,0,0,30.5,"11' 5""",32.5,"11' 7""",14,10.8,3.19,11,30
Juan Mendez - 2005,"6' 5.25""","6' 6.75""",231,"7' 0""","8' 10.5""",NA,0,0,29,"11' 3.5""",33,"11' 7.5""",14,11.7,3.24,29,No
Ronny Turiaf - 2005,"6' 8""","6' 9.25""",238,"7' 1.5""","8' 10.5""",NA,0,0,30.5,"11' 5""",33,"11' 7.5""",15,11.5,3.23,21,37
Jawad Williams - 2005,"6' 7""","6' 8""",218,"7' 1.25""","8' 10.5""",NA,0,0,28,"11' 2.5""",34,"11' 8.5""",15,11.39,3.23,22,No
Brandon Bass - 2004,"6' 6.25""","6' 7.25""",246,"7' 2.5""","8' 10.5""",NA,0,0,31.5,"11' 6""",33,"11' 7.5""",18,11.61,3.24,16,33
TJ Cummings - 2004,"6' 7.5""","6' 8.75""",215,"6' 9.5""","8' 10.5""",NA,0,0,27,"11' 1.5""",31,"11' 5.5""",6,11.58,3.12,40,No
Ryan Gomes - 2004,"6' 6.5""","6' 7.75""",248,"7' 2""","8' 10.5""",NA,0,0,26.5,"11' 1""",30.5,"11' 5""",9,12.49,3.24,54,50
Kris Humphries - 2004,"6' 8.25""","6' 9.5""",238,"7' 0.5""","8' 10.5""",NA,0,0,29.5,"11' 4""",36,"11' 10.5""",22,11.33,3.2,4,14
Lawrence Roberts - 2004,"6' 7.5""","6' 9""",233,"6' 9.5""","8' 10.5""",NA,0,0,27.5,"11' 2""",33,"11' 7.5""",18,12.52,3.3,37,55
Josh Smith - 2004,"6' 7""","6' 8.25""",221,"7' 0""","8' 10.5""",NA,0,0,32.5,"11' 7""",39.5,"12' 2""",12,11.43,3.24,19,17
Rick Anderson - 2003,"6' 8.25""","6' 9.25""",216,"6' 11""","8' 10.5""",9.9,0,0,26,"11' 0.5""",30.5,"11' 5""",6,11.23,3.4,64,No
Jason Keep - 2003,"6' 9.75""","6' 11""",270,"7' 0.5""","8' 10.5""",8.6,0,0,29.5,"11' 4""",34,"11' 8.5""",27,11.18,3.3,6,No
Chris Massie - 2003,"6' 6.5""","6' 7.75""",259,"7' 1""","8' 10.5""",14.8,0,0,26.5,"11' 1""",33,"11' 7.5""",13,12.48,3.22,49,No
Uche Nsonwu-Amadi - 2003,"6' 7.75""","6' 9.25""",246,"7' 3.75""","8' 10.5""",6,0,0,27.5,"11' 2""",29,"11' 3.5""",21,11.83,3.25,25,No
Corsley Edwards - 2002,"6' 7.25""","6' 8.75""",285,"6' 10.75""","8' 10.5""",NA,0,0,28.5,"11' 3""",33,"11' 7.5""",12,12.18,3.31,50,57
Drew Gooden - 2002,"6' 8.75""","6' 10""",227,"7' 0.5""","8' 10.5""",NA,0,0,29,"11' 3.5""",33,"11' 7.5""",13,11.81,3.19,22,4
