,,,,,,,,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
71,71,1990-03-29,,ATL,W,112,106,41,87,.471,1,6,.167,29,37,.784,12,36,26,9,2,15,19,,43,79,.544,2,9,.222,18,25,.720,11,38,19,8,4,23,27
72,72,1990-03-30,@,LAL,L,106,135,37,98,.378,4,11,.364,28,37,.757,16,46,18,7,3,14,26,,52,94,.553,6,14,.429,25,33,.758,11,55,36,6,6,16,30
73,73,1990-04-03,@,SEA,L,134,136,46,92,.500,9,18,.500,33,40,.825,15,43,19,13,4,16,36,,47,94,.500,9,17,.529,33,47,.702,15,40,17,10,4,19,31
74,74,1990-04-06,,LAC,W,106,99,35,85,.412,4,8,.500,32,43,.744,13,47,20,10,6,20,31,,33,86,.384,0,4,.000,33,38,.868,18,49,20,13,2,27,29
75,75,1990-04-08,,SAS,W,112,105,43,84,.512,5,13,.385,21,32,.656,8,41,23,13,4,20,23,,43,91,.473,0,5,.000,19,24,.792,8,41,22,11,3,17,26
76,76,1990-04-10,@,MIN,W,106,94,41,85,.482,1,8,.125,23,30,.767,17,52,26,7,5,15,24,,36,89,.404,1,3,.333,21,29,.724,17,42,18,8,6,10,22
77,77,1990-04-13,,DAL,W,124,92,47,85,.553,4,11,.364,26,34,.765,19,49,34,9,5,18,21,,40,102,.392,1,6,.167,11,17,.647,23,39,24,9,4,14,23
78,78,1990-04-14,,DEN,L,127,136,44,99,.444,6,13,.462,33,39,.846,15,51,28,7,6,19,32,,48,98,.490,3,6,.500,37,46,.804,13,47,28,9,6,15,29
79,79,1990-04-16,@,LAC,W,93,85,34,95,.358,1,8,.125,24,36,.667,24,59,22,11,2,16,20,,34,84,.405,0,4,.000,17,25,.680,13,49,17,10,5,20,23
80,80,1990-04-18,@,PHO,W,128,120,51,114,.447,5,9,.556,21,29,.724,18,56,31,11,3,15,26,,46,104,.442,3,11,.273,25,29,.862,16,60,33,8,6,23,26
81,81,1990-04-21,@,SAC,W,118,110,49,109,.450,1,6,.167,19,30,.633,23,54,23,11,5,12,32,,40,83,.482,2,7,.286,28,37,.757,11,41,25,3,9,19,25
82,82,1990-04-22,,LAL,W,130,88,53,95,.558,1,8,.125,23,34,.676,14,56,37,8,8,12,26,,35,106,.330,0,11,.000,18,23,.783,20,45,20,6,4,18,28
