,,,,,,,,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
71,71,1990-04-01,,UTA,W,119,103,47,77,.610,3,9,.333,22,26,.846,15,36,30,7,6,15,22,,40,81,.494,2,9,.222,21,28,.750,14,24,26,7,4,12,20
72,72,1990-04-05,,SAC,W,110,103,40,71,.563,6,13,.462,24,30,.800,7,39,33,6,5,19,23,,41,82,.500,0,2,.000,21,26,.808,10,31,28,8,4,12,23
73,73,1990-04-06,@,PHO,W,103,99,37,86,.430,7,14,.500,22,36,.611,19,45,24,9,3,10,33,,31,64,.484,2,6,.333,35,45,.778,4,35,25,8,3,14,30
74,74,1990-04-08,@,DEN,W,116,109,41,86,.477,5,14,.357,29,33,.879,12,46,30,7,3,15,18,,43,96,.448,7,14,.500,16,19,.842,11,42,20,8,4,15,28
75,75,1990-04-09,,DAL,W,113,106,36,78,.462,5,13,.385,36,43,.837,16,49,22,6,5,17,18,,45,91,.495,1,6,.167,15,22,.682,10,38,24,10,6,7,25
76,76,1990-04-12,@,UTA,L,104,107,39,89,.438,4,13,.308,22,25,.880,15,41,20,9,3,8,19,,43,83,.518,5,11,.455,16,21,.762,9,36,27,5,8,16,20
77,77,1990-04-13,,GSW,W,131,119,49,97,.505,6,11,.545,27,37,.730,21,56,35,4,6,15,28,,45,104,.433,1,3,.333,28,35,.800,21,52,14,8,7,8,29
78,78,1990-04-15,,HOU,W,113,102,40,82,.488,5,15,.333,28,36,.778,13,50,25,10,5,20,27,,42,91,.462,0,3,.000,18,30,.600,8,39,21,13,8,16,27
79,79,1990-04-17,@,SEA,W,102,101,38,79,.481,8,15,.533,18,23,.783,12,40,21,5,2,13,16,,44,87,.506,4,5,.800,9,15,.600,10,36,25,6,4,8,22
80,80,1990-04-19,,MIN,W,113,89,45,76,.592,5,11,.455,18,21,.857,14,46,36,3,6,20,20,,37,85,.435,0,1,.000,15,23,.652,16,29,26,12,4,8,18
81,81,1990-04-21,@,LAC,W,125,115,49,92,.533,9,20,.450,18,19,.947,11,34,30,7,3,9,24,,45,80,.563,2,4,.500,23,28,.821,11,39,27,4,5,14,20
82,82,1990-04-22,@,POR,L,88,130,35,106,.330,0,11,.000,18,23,.783,20,45,20,6,4,18,28,,53,95,.558,1,8,.125,23,34,.676,14,56,37,8,8,12,26
