,,,,,,,,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
70,70,1990-03-29,@,CHH,W,105,92,39,77,.506,4,10,.400,23,28,.821,10,43,20,8,3,21,17,,37,88,.420,1,6,.167,17,23,.739,15,38,21,13,1,16,26
71,71,1990-03-30,@,NJN,W,126,119,36,76,.474,4,8,.500,50,58,.862,13,44,22,4,8,14,23,,46,97,.474,5,11,.455,22,31,.710,17,45,19,8,6,9,37
72,72,1990-04-01,@,PHI,L,112,141,42,89,.472,1,6,.167,27,38,.711,16,37,20,11,3,15,21,,57,91,.626,8,11,.727,19,23,.826,13,41,28,10,7,17,25
73,73,1990-04-03,,DAL,W,117,111,44,77,.571,2,6,.333,27,33,.818,6,32,34,6,3,14,19,,46,87,.529,1,4,.250,18,19,.947,6,32,30,10,2,12,26
74,74,1990-04-06,,LAL,L,99,103,31,64,.484,2,6,.333,35,45,.778,4,35,25,8,3,14,30,,37,86,.430,7,14,.500,22,36,.611,19,45,24,9,3,10,33
75,75,1990-04-07,@,LAC,W,115,108,42,81,.519,3,10,.300,28,31,.903,14,47,25,6,6,14,31,,42,92,.457,0,3,.000,24,36,.667,19,41,21,9,5,11,26
76,76,1990-04-09,,UTA,W,119,115,28,64,.438,2,11,.182,61,80,.763,13,45,18,10,8,21,32,,41,91,.451,4,16,.250,29,41,.707,20,46,28,11,5,20,52
77,77,1990-04-12,@,SAC,W,116,114,39,76,.513,4,13,.308,34,40,.850,12,42,20,6,6,18,20,,48,96,.500,2,4,.500,16,20,.800,9,29,33,9,5,8,32
78,78,1990-04-14,@,SEA,L,89,96,31,73,.425,2,9,.222,25,34,.735,9,34,20,4,5,10,22,,40,87,.460,3,8,.375,13,22,.591,20,48,22,5,6,10,29
79,79,1990-04-16,@,GSW,W,141,129,56,96,.583,1,4,.250,28,35,.800,13,47,36,11,4,18,28,,49,92,.533,6,13,.462,25,35,.714,11,35,25,10,5,17,29
80,80,1990-04-18,,POR,L,120,128,46,104,.442,3,11,.273,25,29,.862,16,60,33,8,6,23,26,,51,114,.447,5,9,.556,21,29,.724,18,56,31,11,3,15,26
81,81,1990-04-20,,GSW,W,123,106,47,92,.511,3,11,.273,26,39,.667,14,52,32,11,9,18,26,,39,95,.411,3,11,.273,25,31,.806,13,48,22,12,4,23,33
82,82,1990-04-22,@,SAS,L,93,108,38,90,.422,1,5,.200,16,19,.842,12,44,19,7,4,14,23,,43,93,.462,0,1,.000,22,34,.647,18,55,27,7,8,12,21
