,,,,,,,,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
70,70,1990-03-29,@,POR,L,106,112,43,79,.544,2,9,.222,18,25,.720,11,38,19,8,4,23,27,,41,87,.471,1,6,.167,29,37,.784,12,36,26,9,2,15,19
71,71,1990-03-30,@,LAC,W,122,118,46,84,.548,5,5,1.000,25,37,.676,8,35,33,9,7,11,26,,44,79,.557,1,2,.500,29,34,.853,5,34,34,8,7,12,27
72,72,1990-04-01,@,GSW,W,142,116,62,117,.530,3,12,.250,15,21,.714,21,61,45,11,6,11,24,,43,96,.448,4,8,.500,26,35,.743,12,40,25,7,8,15,20
73,73,1990-04-04,@,CLE,L,95,101,40,89,.449,3,7,.429,12,15,.800,20,46,23,6,7,13,26,,40,79,.506,1,6,.167,20,25,.800,12,40,31,5,9,11,15
74,74,1990-04-05,,DET,L,99,104,39,87,.448,2,6,.333,19,31,.613,17,46,16,9,1,14,25,,39,84,.464,1,5,.200,25,31,.806,15,46,24,8,6,12,25
75,75,1990-04-07,,PHI,L,108,112,41,87,.471,2,6,.333,24,36,.667,24,44,19,12,2,10,23,,42,75,.560,5,10,.500,23,30,.767,13,39,20,7,6,15,25
76,76,1990-04-10,@,PHI,W,123,111,50,89,.562,6,10,.600,17,23,.739,18,49,27,8,5,12,25,,39,83,.470,5,11,.455,28,34,.824,17,39,27,9,5,13,18
77,77,1990-04-11,,MIL,W,106,94,38,78,.487,1,3,.333,29,35,.829,13,38,20,11,6,11,21,,36,77,.468,4,8,.500,18,24,.750,17,43,18,5,3,17,26
78,78,1990-04-13,@,DET,W,115,111,43,77,.558,4,7,.571,25,34,.735,9,32,18,6,6,10,26,,42,82,.512,5,11,.455,22,28,.786,14,38,29,3,2,13,27
79,79,1990-04-14,@,MIL,L,93,109,35,82,.427,1,8,.125,22,29,.759,11,38,17,5,2,16,31,,37,70,.529,4,9,.444,31,37,.838,4,38,25,9,2,14,27
80,80,1990-04-17,,NJN,W,118,95,45,92,.489,0,3,.000,28,34,.824,22,48,22,13,4,15,23,,38,78,.487,1,5,.200,18,25,.720,13,37,23,6,6,26,25
81,81,1990-04-20,@,NYK,W,126,112,49,86,.570,2,4,.500,26,33,.788,10,42,27,8,9,14,23,,42,96,.438,3,8,.375,25,28,.893,20,45,24,8,5,15,25
82,82,1990-04-21,,MIA,W,130,109,52,94,.553,5,9,.556,21,28,.750,11,40,30,17,6,14,11,,48,103,.466,6,13,.462,7,7,1.000,20,53,27,7,3,24,19
