,,,,,,,,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
69,69,1990-03-27,@,SAS,L,103,115,39,76,.513,1,4,.250,24,29,.828,11,27,27,11,4,14,22,,47,86,.547,0,1,.000,21,23,.913,19,46,29,4,8,13,20
70,70,1990-03-30,,GSW,W,139,108,54,91,.593,2,8,.250,29,39,.744,15,46,27,10,4,16,31,,38,82,.463,1,9,.111,31,43,.721,10,30,16,10,6,18,26
71,71,1990-04-01,@,LAC,L,103,104,44,86,.512,1,3,.333,14,17,.824,19,45,26,8,4,15,25,,39,69,.565,2,3,.667,24,32,.750,5,24,31,4,8,14,20
72,72,1990-04-03,,POR,W,136,134,47,94,.500,9,17,.529,33,47,.702,15,40,17,10,4,19,31,,46,92,.500,9,18,.500,33,40,.825,15,43,19,13,4,16,36
73,73,1990-04-05,,UTA,W,101,91,38,80,.475,5,10,.500,20,30,.667,15,50,19,10,7,17,24,,32,80,.400,4,16,.250,23,31,.742,13,40,19,8,4,16,23
74,74,1990-04-06,@,DEN,L,103,119,43,90,.478,3,7,.429,14,17,.824,10,42,25,9,8,20,30,,51,106,.481,2,4,.500,15,20,.750,22,55,30,8,5,12,21
75,75,1990-04-09,,SAC,L,105,106,39,91,.429,8,13,.615,19,30,.633,22,49,24,3,3,5,26,,40,73,.548,1,3,.333,25,34,.735,10,37,28,1,3,9,21
76,76,1990-04-10,@,UTA,L,102,114,38,79,.481,3,8,.375,23,30,.767,8,27,22,7,1,10,28,,38,64,.594,3,4,.750,35,40,.875,8,38,28,6,3,16,23
77,77,1990-04-12,,DEN,W,113,103,45,94,.479,1,6,.167,22,41,.537,19,50,27,12,4,14,33,,36,79,.456,1,6,.167,30,37,.811,11,38,19,5,4,17,27
78,78,1990-04-14,,PHO,W,96,89,40,87,.460,3,8,.375,13,22,.591,20,48,22,5,6,10,29,,31,73,.425,2,9,.222,25,34,.735,9,34,20,4,5,10,22
79,79,1990-04-17,,LAL,L,101,102,44,87,.506,4,5,.800,9,15,.600,10,36,25,6,4,8,22,,38,79,.481,8,15,.533,18,23,.783,12,40,21,5,2,13,16
80,80,1990-04-19,@,SAC,W,130,118,48,89,.539,8,15,.533,26,33,.788,18,48,30,5,1,14,29,,44,89,.494,2,10,.200,28,36,.778,12,36,30,5,6,8,24
81,81,1990-04-20,,LAC,W,121,99,48,81,.593,12,22,.545,13,17,.765,7,40,31,11,3,19,21,,39,96,.406,4,12,.333,17,27,.630,22,45,14,12,1,14,14
82,82,1990-04-22,@,GSW,L,122,124,45,96,.469,4,14,.286,28,37,.757,26,56,29,7,2,22,31,,44,81,.543,3,8,.375,33,39,.846,9,33,26,12,7,18,25
