,,,,,,,,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
32,32,1990-01-04,@,GSW,L,117,119,46,94,.489,5,6,.833,20,31,.645,17,48,26,10,6,23,29,,40,83,.482,4,7,.571,35,47,.745,13,44,24,17,8,19,26
33,33,1990-01-05,@,SEA,L,110,140,44,79,.557,1,3,.333,21,28,.750,11,29,26,5,5,21,31,,53,85,.624,4,7,.571,30,42,.714,13,35,33,14,7,17,24
34,34,1990-01-07,@,LAL,L,93,132,37,86,.430,0,3,.000,19,31,.613,13,44,24,3,6,19,32,,46,90,.511,2,5,.400,38,47,.809,14,46,35,11,4,9,23
35,35,1990-01-09,,SAS,L,102,107,46,104,.442,0,3,.000,10,11,.909,19,47,29,7,8,15,20,,47,98,.480,0,5,.000,13,21,.619,17,48,17,11,10,16,14
36,36,1990-01-11,,WSB,L,89,100,37,90,.411,0,3,.000,15,21,.714,14,48,23,5,3,13,24,,40,92,.435,0,2,.000,20,29,.690,20,56,22,7,6,11,17
37,37,1990-01-13,,BOS,L,96,105,40,91,.440,1,3,.333,15,20,.750,17,42,24,8,11,12,27,,36,91,.396,2,5,.400,31,39,.795,29,58,16,8,3,18,14
38,38,1990-01-15,@,WSB,W,111,105,46,79,.582,0,0,,19,28,.679,10,38,31,7,9,20,23,,42,96,.438,0,3,.000,21,26,.808,20,42,32,8,3,18,25
39,39,1990-01-17,,IND,W,121,111,48,83,.578,0,1,.000,25,37,.676,17,40,26,11,2,13,21,,43,86,.500,5,14,.357,20,26,.769,16,37,26,8,3,14,25
40,40,1990-01-19,,PHI,L,95,102,42,99,.424,3,6,.500,8,12,.667,21,50,26,3,6,15,26,,34,80,.425,1,5,.200,33,40,.825,13,44,18,13,3,11,14
41,41,1990-01-21,@,MIL,L,101,127,40,92,.435,0,2,.000,21,30,.700,14,42,22,15,3,25,16,,57,98,.582,4,10,.400,9,17,.529,14,51,38,15,6,21,23
42,42,1990-01-23,,PHO,L,99,118,43,95,.453,0,3,.000,13,23,.565,12,39,19,9,3,18,27,,45,97,.464,0,4,.000,28,33,.848,19,57,21,11,6,16,23
43,43,1990-01-24,@,BOS,L,95,116,39,91,.429,0,2,.000,17,23,.739,13,35,21,14,6,12,17,,51,98,.520,0,2,.000,14,19,.737,23,63,33,6,6,21,17
44,44,1990-01-26,@,IND,L,105,115,38,78,.487,1,3,.333,28,36,.778,11,37,24,8,4,19,29,,39,76,.513,7,12,.583,30,33,.909,9,31,26,10,3,19,28
45,45,1990-01-30,,CLE,L,94,106,39,84,.464,2,4,.500,14,23,.609,13,40,24,11,2,19,25,,41,84,.488,3,13,.231,21,32,.656,15,45,25,12,10,16,18
46,46,1990-02-02,,LAC,W,126,91,52,98,.531,0,3,.000,22,30,.733,17,62,27,10,5,20,34,,29,82,.354,1,3,.333,32,49,.653,10,37,15,9,5,19,29
