,,,,,,,,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
73,73,1990-04-04,,ATL,W,101,95,40,79,.506,1,6,.167,20,25,.800,12,40,31,5,9,11,15,,40,89,.449,3,7,.429,12,15,.800,20,46,23,6,7,13,26
74,74,1990-04-06,,BOS,L,104,109,37,86,.430,3,8,.375,27,34,.794,9,38,28,8,8,8,19,,45,87,.517,0,3,.000,19,23,.826,14,52,30,3,6,14,24
75,75,1990-04-08,,DET,W,100,97,37,71,.521,3,8,.375,23,37,.622,11,43,30,7,3,13,21,,38,86,.442,6,13,.462,15,19,.789,12,36,26,5,4,14,29
76,76,1990-04-11,@,CHI,L,86,107,31,71,.437,2,7,.286,22,33,.667,9,30,22,11,3,17,15,,47,80,.588,3,8,.375,10,11,.909,12,41,29,11,9,20,26
77,77,1990-04-12,@,WSB,W,102,100,43,93,.462,6,12,.500,10,17,.588,10,41,24,12,10,10,13,,47,94,.500,0,1,.000,6,12,.500,10,47,35,5,7,15,18
78,78,1990-04-14,,MIA,W,93,85,31,71,.437,3,7,.429,28,33,.848,10,38,27,6,10,22,19,,37,87,.425,2,6,.333,9,16,.563,18,46,22,11,4,23,32
79,79,1990-04-17,@,MIL,W,96,88,37,79,.468,2,13,.154,20,27,.741,14,49,25,10,7,19,14,,39,90,.433,1,8,.125,9,12,.750,15,47,25,14,4,15,21
80,80,1990-04-18,@,NJN,W,100,93,40,79,.506,3,5,.600,17,21,.810,8,32,19,10,7,16,22,,37,88,.420,2,7,.286,17,25,.680,21,53,17,8,4,23,25
81,81,1990-04-20,@,ORL,W,118,104,45,85,.529,5,9,.556,23,32,.719,11,46,30,6,8,18,19,,39,89,.438,1,8,.125,25,33,.758,12,40,27,8,0,13,26
82,82,1990-04-22,,NYK,W,115,99,51,96,.531,3,7,.429,10,14,.714,21,47,37,10,7,15,16,,43,81,.531,0,7,.000,13,19,.684,9,35,31,9,4,17,18
