,,,,,,,,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
72,72,1990-03-31,,CHH,L,103,115,42,76,.553,2,9,.222,17,19,.895,11,34,25,5,5,17,22,,44,82,.537,0,2,.000,27,32,.844,15,35,27,13,2,12,19
73,73,1990-04-03,,LAC,L,105,114,45,95,.474,4,13,.308,11,14,.786,9,29,29,10,7,9,22,,45,84,.536,0,1,.000,24,27,.889,14,48,27,7,11,15,20
74,74,1990-04-05,@,LAL,L,103,110,41,82,.500,0,2,.000,21,26,.808,10,31,28,8,4,12,23,,40,71,.563,6,13,.462,24,30,.800,7,39,33,6,5,19,23
75,75,1990-04-07,,SAS,L,93,111,32,78,.410,1,2,.500,28,34,.824,15,52,17,4,6,27,30,,43,94,.457,0,2,.000,25,36,.694,14,41,20,16,4,10,28
76,76,1990-04-09,@,SEA,W,106,105,40,73,.548,1,3,.333,25,34,.735,10,37,28,1,3,9,21,,39,91,.429,8,13,.615,19,30,.633,22,49,24,3,3,5,26
77,77,1990-04-10,,DEN,L,113,121,42,90,.467,3,6,.500,26,30,.867,13,47,28,2,4,19,33,,40,93,.430,0,6,.000,41,47,.872,19,49,24,10,7,11,27
78,78,1990-04-12,,PHO,L,114,116,48,96,.500,2,4,.500,16,20,.800,9,29,33,9,5,8,32,,39,76,.513,4,13,.308,34,40,.850,12,42,20,6,6,18,20
79,79,1990-04-14,@,SAS,L,94,105,39,91,.429,4,9,.444,12,19,.632,12,42,28,5,5,17,21,,43,84,.512,0,0,,19,28,.679,11,44,25,14,9,14,21
80,80,1990-04-17,@,HOU,L,97,112,43,83,.518,2,8,.250,9,12,.750,15,37,26,9,6,24,24,,44,88,.500,2,7,.286,22,30,.733,16,41,22,15,5,12,14
81,81,1990-04-19,,SEA,L,118,130,44,89,.494,2,10,.200,28,36,.778,12,36,30,5,6,8,24,,48,89,.539,8,15,.533,26,33,.788,18,48,30,5,1,14,29
82,82,1990-04-21,,POR,L,110,118,40,83,.482,2,7,.286,28,37,.757,11,41,25,3,9,19,25,,49,109,.450,1,6,.167,19,30,.633,23,54,23,11,5,12,32
