Team,Games,Minutes Played,Opponent Field Goals,Opponent Field Goal Attempts,Opponent Field Goal Percentage,Opponent 3-Point Field Goals,Opponent 3-Point Field Goal Attempts,Opponent 3-Point Field Goal Percentage,Opponent 2-Point Field Goals,Opponent 2-Point Field Goal Attempts,Opponent 2-Point Field Goal Percentage,Opponent Free Throws,Opponent Free Throw Attempts,Opponent Free Throw Percentage,Opponent Offensive Rebounds,Opponent Defensive Rebounds,Opponent Total Rebounds,Opponent Assists,Opponent Steals,Opponent Blocks,Opponent Turnovers,Opponent Personal Fouls,Opponent Points
Utah Jazz,82,240.6,38.0,87.4,.434,2.3,7.4,.305,35.7,80.0,.446,21.5,28.6,.754,14.9,27.2,42.1,22.1,9.5,6.2,16.2,25.4,99.7
Detroit Pistons,82,241.8,38.3,85.6,.447,1.9,6.8,.285,36.4,78.9,.461,22.3,28.4,.785,13.8,26.7,40.5,22.6,7.9,4.2,14.9,25.5,100.8
Cleveland Cavaliers,82,240.9,41.3,89.6,.461,2.1,6.2,.339,39.2,83.4,.470,16.6,21.3,.777,14.8,27.8,42.6,24.9,8.4,4.4,17.4,24.0,101.2
Dallas Mavericks,82,241.2,41.7,89.1,.469,2.0,6.3,.322,39.7,82.8,.480,19.2,25.5,.753,15.0,30.5,45.5,26.0,8.0,4.7,14.3,22.8,104.7
Chicago Bulls,82,241.2,41.0,86.6,.474,2.4,7.2,.327,38.6,79.4,.487,20.6,26.7,.773,13.1,28.0,41.2,25.6,8.4,4.2,15.3,21.7,105.0
Milwaukee Bucks,82,240.9,40.3,84.2,.478,2.4,6.5,.368,37.9,77.7,.488,22.4,28.9,.776,13.3,28.5,41.8,25.7,8.6,5.2,18.6,23.6,105.3
Atlanta Hawks,82,241.5,41.0,86.9,.472,1.8,6.2,.288,39.2,80.6,.486,22.3,28.4,.784,15.4,28.4,43.7,24.8,8.4,4.2,18.1,25.7,106.1
Los Angeles Lakers,82,241.5,43.2,92.0,.470,2.4,7.2,.330,40.8,84.8,.481,18.8,25.0,.752,14.4,27.1,41.5,26.3,9.2,5.3,15.4,23.7,107.5
Houston Rockets,82,242.1,41.6,88.9,.468,2.3,6.5,.350,39.3,82.4,.478,22.0,28.9,.761,14.0,29.6,43.6,24.6,9.8,5.4,17.7,24.5,107.5
Boston Celtics,82,241.2,42.4,87.6,.484,1.6,5.6,.290,40.8,82.0,.497,21.7,28.0,.776,12.8,27.1,39.9,25.9,9.3,4.7,14.5,23.8,108.1
Miami Heat,82,242.1,41.3,84.5,.488,1.8,5.3,.343,39.5,79.2,.498,24.6,31.9,.773,14.5,28.9,43.3,25.1,11.3,6.7,18.8,22.3,109.0
Seattle SuperSonics,82,241.2,41.9,86.2,.486,2.1,6.6,.311,39.9,79.6,.501,23.4,30.4,.769,14.5,27.5,42.0,23.9,8.2,5.0,18.9,22.9,109.2
New Jersey Nets,82,241.5,43.4,87.3,.497,1.9,6.2,.309,41.5,81.1,.512,21.3,27.9,.765,12.6,30.2,42.8,26.0,9.1,5.9,16.8,22.4,110.1
Philadelphia 76ers,82,241.2,44.6,89.0,.501,2.1,6.0,.343,42.5,82.9,.513,19.1,24.7,.774,14.0,29.4,43.4,27.8,7.8,5.4,15.5,24.2,110.4
Washington Bullets,82,242.1,42.5,88.2,.482,1.9,6.2,.304,40.6,82.0,.495,23.5,30.6,.769,13.8,31.0,44.8,25.4,8.0,6.4,16.8,23.4,110.4
Phoenix Suns,82,240.9,43.8,94.3,.464,2.2,6.9,.319,41.6,87.4,.475,21.2,28.1,.753,15.3,30.0,45.2,26.4,7.6,5.2,16.7,25.1,110.9
Sacramento Kings,82,241.2,43.8,90.5,.484,2.2,7.0,.316,41.6,83.5,.498,21.3,28.1,.759,14.3,31.8,46.0,25.7,9.3,5.4,15.7,22.2,111.0
Indiana Pacers,82,242.1,42.1,90.2,.467,2.0,6.7,.305,40.1,83.6,.479,24.8,31.8,.781,15.7,28.2,43.9,24.8,10.2,4.7,14.7,24.7,111.1
San Antonio Spurs,82,240.9,42.5,87.2,.488,2.1,6.5,.323,40.4,80.7,.501,25.7,33.1,.776,15.3,30.0,45.3,25.1,11.2,6.6,21.1,23.6,112.8
New York Knicks,82,241.5,44.3,89.7,.494,1.9,6.5,.285,42.5,83.2,.511,22.4,29.1,.767,14.8,28.4,43.2,28.0,9.5,5.3,20.6,23.1,112.9
Charlotte Hornets,82,241.2,43.4,86.7,.500,1.4,4.9,.288,42.0,81.9,.512,24.9,32.1,.776,14.5,32.0,46.5,25.1,8.7,5.4,17.4,21.8,113.0
Portland Trail Blazers,82,241.8,43.6,89.3,.488,2.4,6.7,.363,41.1,82.6,.498,23.6,30.5,.772,14.0,29.2,43.2,25.3,9.0,4.4,19.1,23.9,113.1
Los Angeles Clippers,82,242.1,45.7,94.4,.484,2.4,7.0,.342,43.3,87.3,.496,22.4,29.3,.764,16.4,31.1,47.5,29.1,11.4,6.7,17.6,23.0,116.2
Denver Nuggets,82,242.4,45.1,91.3,.495,1.9,5.4,.352,43.2,85.8,.504,24.1,32.7,.737,13.9,34.9,48.8,26.0,8.1,5.9,19.5,24.4,116.3
Golden State Warriors,82,242.7,45.0,97.6,.462,3.4,10.0,.342,41.6,87.5,.475,23.4,30.5,.766,17.5,32.2,49.7,27.0,10.5,5.9,19.0,23.6,116.9
