Team,Games,Minutes Played,Field Goal Percentage,Average distance (ft.) of FGA,% of FGAs that are 2-Pt FGAs.,% of FGAs that are 0-3 feet from the basket.,% of FGAs that are 3-10 feet from the basket.,% of FGAs that are 10-16 feet from the basket.,% of FGAs that are 2-Pt shotsand 16+ feet from the basket.,% of FGAs that are 3-Pt FGAs.,2-Point Field Goal Percentage,FG% on FGAs that are 0-3 feet from the basket.,FG% on FGAs that are 3-10 feet from the basket.,FG% on FGAs that are 10-16 feet from the basket.,FG% on 2-Pt FGAs that are 16+ feet from the basket.,3-Point Field Goal Percentage,% of 2-Pt FGs that are assisted.,% of all FGAs that are dunk attempts.,FGs that are dunks.,% of all team FGAs that are layup attempts.,Team FGs that are layups.,% of 3-Pt FGs that are assisted.,% of 3PAs from the corner.,3P% on 3PAs from the corner.,Heave attempts (beyond half-court),Heaves made (beyond half-court)
Atlanta Hawks,82,19855,.454,11.5,.835,.339,.140,.096,.261,.165,.473,.602,.414,.342,.386,.356,.572,.062,370,.259,926,.836,.250,.387,17,1
Boston Celtics,82,19755,.475,12.7,.751,.320,.118,.102,.211,.249,.506,.615,.405,.405,.447,.381,.549,.045,267,.270,967,.874,.253,.410,15,0
Charlotte Bobcats,82,19880,.452,12.0,.780,.338,.114,.098,.229,.220,.476,.586,.412,.358,.395,.367,.526,.053,308,.274,954,.888,.351,.372,6,0
Chicago Bulls,82,19805,.435,12.6,.810,.306,.102,.120,.282,.190,.452,.537,.392,.384,.411,.363,.556,.046,284,.239,800,.873,.232,.396,11,0
Cleveland Cavaliers,82,19855,.439,12.7,.769,.321,.105,.106,.238,.231,.463,.602,.366,.357,.365,.358,.498,.041,251,.252,944,.821,.345,.383,9,0
Dallas Mavericks,82,19730,.464,13.0,.785,.264,.108,.170,.243,.215,.495,.611,.398,.438,.453,.352,.503,.039,239,.209,759,.903,.279,.371,19,0
Denver Nuggets,82,19855,.470,11.9,.772,.362,.102,.100,.208,.228,.504,.622,.400,.392,.404,.355,.551,.076,488,.259,1023,.907,.241,.403,32,0
Detroit Pistons,82,19730,.458,13.5,.797,.265,.085,.153,.295,.203,.481,.613,.392,.405,.428,.366,.566,.047,278,.199,738,.842,.259,.366,14,0
Golden State Warriors,82,19780,.459,12.7,.705,.345,.121,.068,.171,.295,.506,.634,.378,.378,.390,.348,.459,.047,319,.281,1236,.815,.245,.390,21,0
Houston Rockets,82,19730,.448,12.7,.745,.315,.127,.096,.206,.255,.485,.593,.410,.404,.403,.342,.522,.040,243,.260,955,.846,.204,.375,12,0
Indiana Pacers,82,19755,.444,14.0,.711,.246,.138,.111,.216,.289,.472,.616,.423,.380,.386,.374,.496,.030,193,.223,921,.927,.188,.398,10,0
Los Angeles Clippers,82,19805,.438,12.9,.833,.261,.128,.153,.291,.167,.460,.592,.428,.387,.395,.324,.571,.034,202,.212,747,.917,.151,.362,16,2
