Team,Age of Player at the start of February 1st of that season.,"Pythagorean wins, i.e., expected wins based on points scored and allowed","Pythagorean losses, i.e., expected losses based on points scored and allowed",Margin of Victory,Strength of Schedule,Simple Rating System,Offensive Rating,Defensive Rating,Pace Factor,Free Throw Attempt Rate,3-Point Attempt Rate,True Shooting Percentage,Effective Field Goal Percentage,Turnover Percentage,Offensive Rebound Percentage,Free Throws Per Field Goal Attempt,Opponent Effective Field Goal Percentage,Opponent Turnover Percentage,Defensive Rebound Percentage,Opponent Free Throws Per Field Goal Attempt,Arena
Boston Celtics,28.0,57,25,6.56,-0.14,6.42,110.9,104.4,99.7,.333,.032,.554,.504,14.6,34.2,.264,.475,13.8,69.7,.225,Boston Garden
Milwaukee Bucks,28.4,52,30,4.16,-0.12,4.04,107.8,103.6,96.9,.338,.033,.541,.497,15.0,33.7,.250,.459,14.7,65.6,.266,MECCA Arena
New York Knicks,27.2,51,31,3.84,-0.05,3.79,107.0,103.1,99.0,.367,.024,.552,.499,16.7,33.4,.284,.491,17.8,68.1,.281,Madison Square Garden (IV)
Detroit Pistons,25.4,50,32,3.59,-0.06,3.52,111.5,108.1,103.8,.322,.018,.532,.482,12.7,36.7,.250,.500,14.8,67.7,.263,Pontiac Silverdome
Los Angeles Lakers,27.5,50,32,3.76,-0.44,3.32,110.9,107.3,103.7,.313,.031,.574,.536,16.1,33.7,.236,.487,14.3,66.6,.232,The Forum
Portland Trail Blazers,25.8,50,32,3.55,-0.42,3.13,111.2,107.7,101.1,.367,.018,.556,.507,15.1,36.4,.277,.518,17.0,67.4,.259,Memorial Coliseum
Philadelphia 76ers,27.7,47,35,2.20,0.20,2.39,106.8,104.6,99.6,.396,.016,.551,.497,16.9,34.6,.299,.484,16.0,65.9,.246,The Spectrum
New Jersey Nets,25.5,44,38,1.10,0.17,1.27,106.1,105.0,103.0,.343,.032,.540,.501,16.1,34.6,.240,.494,17.0,67.8,.292,Brendan Byrne Arena
Utah Jazz,26.8,44,38,1.13,-0.32,0.81,109.0,108.0,104.9,.374,.044,.559,.505,15.2,30.8,.292,.479,13.9,63.4,.229,Salt Palace
Phoenix Suns,27.2,43,39,0.89,-0.24,0.65,108.9,108.0,101.4,.305,.040,.556,.514,15.1,31.4,.232,.501,15.3,68.3,.277,Arizona Veterans Memorial Coliseum
Dallas Mavericks,24.7,42,40,0.43,-0.27,0.15,110.0,109.6,99.0,.325,.025,.547,.503,13.6,31.7,.245,.503,14.4,65.7,.232,Reunion Arena
Seattle SuperSonics,27.1,41,41,-0.17,-0.17,-0.34,107.9,108.1,99.7,.347,.020,.543,.490,14.3,30.7,.271,.492,13.8,66.6,.226,King County Domed Stadium
San Antonio Spurs,27.4,40,42,-0.27,-0.23,-0.50,111.2,111.4,106.5,.337,.034,.556,.511,14.0,33.4,.255,.508,13.7,66.2,.233,HemisFair Arena
Atlanta Hawks,26.6,37,45,-1.29,0.22,-1.08,105.5,106.9,95.3,.355,.016,.529,.476,14.4,31.6,.270,.482,15.1,65.2,.268,Omni Coliseum
Denver Nuggets,27.0,38,44,-1.10,-0.17,-1.27,111.3,112.3,110.5,.337,.032,.553,.498,12.8,29.3,.276,.522,14.6,66.6,.277,McNichols Sports Arena
Kansas City Kings,26.2,37,45,-1.48,-0.15,-1.62,106.5,108.0,102.9,.345,.026,.542,.490,15.3,32.4,.268,.505,16.1,66.9,.266,Kemper Arena
Washington Bullets,26.2,33,49,-2.89,0.53,-2.36,104.2,107.2,97.4,.319,.041,.535,.489,15.5,30.1,.241,.492,13.7,69.7,.239,Capital Centre
Houston Rockets,26.8,33,49,-3.09,-0.04,-3.12,105.3,108.2,104.7,.284,.020,.535,.497,15.6,32.8,.210,.486,14.1,67.5,.285,The Summit
San Diego Clippers,25.5,33,49,-3.26,0.04,-3.21,109.2,112.4,101.1,.331,.017,.541,.498,15.3,37.7,.244,.513,12.9,68.2,.236,San Diego Sports Arena
Golden State Warriors,25.6,32,50,-3.40,0.05,-3.35,105.5,108.8,103.3,.342,.030,.520,.471,14.9,35.6,.254,.519,17.0,64.2,.250,Oakland-Alameda County Coliseum Arena
Cleveland Cavaliers,25.4,30,52,-4.26,0.55,-3.71,104.1,108.5,97.4,.301,.023,.512,.468,14.0,33.5,.224,.490,13.2,70.8,.280,Coliseum at Richfield
Indiana Pacers,24.4,28,54,-4.82,0.57,-4.25,101.8,106.5,102.1,.297,.029,.531,.487,15.9,28.1,.228,.497,16.2,66.8,.255,Market Square Arena
Chicago Bulls,24.4,28,54,-5.18,0.50,-4.69,102.4,107.5,99.8,.360,.017,.526,.475,16.3,32.3,.268,.497,15.6,67.2,.266,Chicago Stadium
