Team,Games,Minutes Played,Field Goals,Field Goal Attempts,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,2-Point Field Goals,2-point Field Goal Attempts,2-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points
Denver Nuggets,82,241.8,48.5,93.4,.520,0.5,1.8,.268,48.0,91.5,.525,28.9,36.3,.796,14.0,29.8,43.8,27.7,8.1,4.5,17.9,26.0,126.5
Los Angeles Lakers,82,242.1,47.8,92.5,.517,0.2,1.1,.138,47.6,91.4,.521,18.9,26.4,.717,15.3,30.5,45.9,28.7,10.3,6.3,17.9,24.4,114.6
San Antonio Spurs,82,240.9,45.1,92.8,.486,0.8,3.1,.254,44.3,89.8,.494,22.1,28.5,.776,15.3,30.9,46.2,27.5,7.3,6.8,15.8,27.0,113.1
Boston Celtics,82,241.2,44.6,89.4,.499,0.6,2.2,.266,44.0,87.2,.505,22.2,30.0,.740,15.3,30.4,45.6,25.9,8.0,6.9,17.7,24.6,112.0
Philadelphia 76ers,82,242.1,44.1,85.0,.518,0.5,1.7,.295,43.6,83.4,.523,22.5,30.1,.747,12.6,29.1,41.7,27.6,10.4,7.6,18.0,26.6,111.2
Detroit Pistons,82,241.8,43.4,90.1,.482,0.6,2.6,.244,42.8,87.5,.489,23.6,31.5,.751,15.8,28.6,44.4,24.7,9.0,6.9,19.9,26.3,111.1
Utah Jazz,82,241.2,44.9,90.8,.494,0.3,1.2,.227,44.6,89.6,.498,20.9,27.8,.751,14.0,28.8,42.8,23.1,8.5,4.4,17.5,26.8,110.9
Golden State Warriors,82,241.2,44.5,89.6,.496,1.1,4.0,.280,43.4,85.7,.506,20.8,29.0,.717,15.6,29.9,45.5,22.2,8.4,4.8,17.4,27.1,110.9
Portland Trail Blazers,82,241.2,44.3,87.6,.505,0.4,1.7,.207,43.9,85.9,.511,21.0,29.1,.720,13.9,28.7,42.6,25.0,8.6,4.5,17.0,24.5,109.8
San Diego Clippers,82,240.9,43.3,86.6,.500,1.2,4.1,.293,42.1,82.5,.511,20.6,28.5,.723,13.8,26.8,40.6,22.9,7.8,3.6,19.1,28.7,108.5
Milwaukee Bucks,82,241.5,43.2,85.5,.505,0.6,2.0,.299,42.6,83.5,.510,21.4,28.4,.753,14.2,29.5,43.7,27.2,9.3,5.5,19.4,27.8,108.4
Seattle SuperSonics,82,241.8,42.7,87.5,.488,0.5,1.9,.248,42.3,85.7,.494,21.3,28.8,.740,13.5,31.0,44.5,25.6,8.4,5.6,16.5,25.1,107.3
Kansas City Kings,82,242.4,44.0,88.8,.495,0.3,1.6,.200,43.6,87.2,.500,18.9,26.3,.719,13.2,27.8,41.0,25.1,9.1,4.9,18.4,28.8,107.1
New Jersey Nets,82,241.2,42.7,88.1,.484,0.4,1.8,.205,42.3,86.4,.490,20.9,28.7,.728,14.6,28.3,42.9,25.6,11.2,5.9,20.1,28.0,106.7
Chicago Bulls,82,242.4,41.1,82.0,.501,0.7,2.6,.254,40.4,79.5,.509,23.8,31.0,.767,13.7,30.8,44.5,24.9,7.1,5.9,20.0,24.5,106.6
New York Knicks,82,241.8,43.0,87.5,.491,0.7,2.6,.271,42.3,84.9,.498,19.5,26.5,.738,14.2,27.7,42.0,25.3,8.8,4.1,18.1,26.8,106.2
Phoenix Suns,82,241.8,42.8,87.1,.491,0.7,2.1,.310,42.1,85.0,.496,19.9,26.3,.758,13.7,30.7,44.4,27.1,9.2,5.2,18.6,24.7,106.2
Houston Rockets,82,241.2,42.7,89.8,.476,0.6,2.1,.284,42.1,87.7,.480,19.8,27.1,.729,17.1,27.9,45.0,24.1,7.9,5.2,16.1,22.8,105.9
Dallas Mavericks,82,240.6,41.3,88.1,.469,0.7,2.3,.289,40.7,85.8,.474,21.2,28.9,.735,14.8,27.2,42.0,25.8,6.9,3.8,16.1,26.7,104.6
Washington Bullets,82,241.8,41.5,87.4,.474,0.7,2.9,.250,40.7,84.5,.482,19.8,25.7,.772,12.8,31.5,44.3,24.2,7.8,4.8,17.0,25.3,103.5
Cleveland Cavaliers,82,241.5,41.5,89.4,.464,0.3,1.7,.182,41.2,87.8,.470,19.9,26.6,.747,14.5,26.5,41.0,22.8,7.7,4.4,16.1,26.7,103.2
Indiana Pacers,82,241.8,40.6,87.4,.465,1.3,3.9,.326,39.4,83.5,.472,19.7,26.5,.741,13.9,28.9,42.8,23.1,9.2,6.0,17.0,24.9,102.2
Atlanta Hawks,82,242.4,39.1,82.6,.474,0.3,1.6,.219,38.8,81.1,.479,22.4,29.1,.768,13.8,28.9,42.7,22.1,7.4,5.9,16.4,27.7,101.0
