Team,Games,Minutes Played,Opponent Field Goals,Opponent Field Goal Attempts,Opponent Field Goal Percentage,Opponent 3-Point Field Goals,Opponent 3-Point Field Goal Attempts,Opponent 3-Point Field Goal Percentage,Opponent 2-Point Field Goals,Opponent 2-Point Field Goal Attempts,Opponent 2-Point Field Goal Percentage,Opponent Free Throws,Opponent Free Throw Attempts,Opponent Free Throw Percentage,Opponent Offensive Rebounds,Opponent Defensive Rebounds,Opponent Total Rebounds,Opponent Assists,Opponent Steals,Opponent Blocks,Opponent Turnovers,Opponent Personal Fouls,Opponent Points
Chicago Bulls,82,242.1,40.0,85.0,.470,1.3,4.5,.293,38.6,80.5,.480,20.4,26.9,.757,12.5,27.7,40.1,25.4,7.3,5.1,15.2,22.9,101.6
Cleveland Cavaliers,82,241.2,41.3,86.6,.476,1.5,4.9,.318,39.7,81.7,.486,19.6,24.9,.788,14.1,27.5,41.6,24.3,8.4,5.5,17.5,24.6,103.7
Detroit Pistons,82,241.2,40.7,87.0,.467,1.4,4.8,.289,39.3,82.2,.478,21.4,28.0,.762,14.0,27.8,41.7,24.0,7.9,5.0,16.2,26.4,104.1
Atlanta Hawks,82,241.2,39.5,84.0,.471,1.7,5.0,.335,37.9,79.0,.480,23.5,30.2,.777,14.1,28.7,42.8,24.1,7.8,4.3,16.1,24.5,104.3
Utah Jazz,82,240.3,39.9,88.8,.449,1.8,5.7,.315,38.1,83.2,.459,23.2,30.2,.770,15.6,29.8,45.4,24.3,9.4,5.8,17.9,24.5,104.8
Dallas Mavericks,82,240.9,42.3,90.1,.470,2.0,6.3,.323,40.3,83.8,.481,18.3,23.9,.766,14.6,27.2,41.9,27.3,7.5,5.3,15.0,24.4,104.9
Indiana Pacers,82,240.3,40.7,86.1,.472,1.4,4.5,.321,39.2,81.6,.481,22.7,29.8,.760,14.1,30.5,44.6,23.6,8.5,5.0,15.5,22.7,105.4
Milwaukee Bucks,82,241.2,40.8,86.1,.473,1.6,5.4,.301,39.2,80.7,.485,22.3,29.4,.760,14.3,29.3,43.6,26.0,7.6,5.5,16.4,23.8,105.5
New York Knicks,82,241.5,39.0,81.8,.477,1.4,4.6,.304,37.7,77.3,.487,26.5,34.2,.776,14.1,27.9,41.9,24.5,8.6,5.5,19.9,24.0,106.0
Washington Bullets,82,242.4,42.2,88.2,.478,1.6,4.8,.328,40.6,83.5,.487,20.4,27.4,.744,15.0,28.8,43.8,26.0,8.4,6.4,16.9,24.0,106.3
Los Angeles Lakers,82,241.5,43.3,91.1,.476,1.6,5.4,.298,41.7,85.7,.487,18.8,24.6,.761,14.3,27.4,41.8,26.8,8.9,4.8,15.2,23.7,107.0
Philadelphia 76ers,82,242.7,42.7,86.1,.496,1.7,5.2,.338,41.0,81.0,.506,20.0,26.4,.758,13.5,27.1,40.7,27.0,8.8,5.4,15.6,25.8,107.1
Houston Rockets,82,240.0,42.1,90.5,.465,1.3,4.8,.275,40.8,85.7,.476,22.0,28.7,.767,15.4,30.6,45.9,23.8,9.0,4.5,17.1,24.5,107.6
Boston Celtics,82,241.2,42.6,88.5,.482,1.3,4.5,.301,41.3,84.1,.491,21.0,27.4,.767,13.7,26.8,40.4,25.1,9.0,4.2,14.3,24.3,107.7
New Jersey Nets,82,241.2,41.9,84.4,.497,1.6,4.4,.361,40.3,79.9,.504,23.1,29.5,.783,12.6,30.0,42.6,24.3,9.9,6.4,17.5,23.7,108.5
Los Angeles Clippers,82,241.5,42.8,89.8,.477,1.5,4.4,.342,41.3,85.3,.484,21.9,28.2,.779,15.1,32.5,47.6,28.0,10.3,5.9,17.7,23.3,109.1
Seattle SuperSonics,82,242.1,40.2,82.9,.485,1.6,4.9,.325,38.6,78.0,.495,27.3,36.5,.749,13.8,28.1,41.9,24.0,7.4,5.2,18.7,23.9,109.3
Portland Trail Blazers,82,240.6,42.6,89.5,.476,1.7,5.6,.305,40.9,83.9,.487,24.7,32.1,.768,14.1,29.3,43.3,26.3,7.9,4.6,17.6,26.0,111.5
Denver Nuggets,82,241.2,44.0,89.7,.490,1.4,4.6,.300,42.6,85.1,.501,23.3,30.6,.762,14.4,33.5,47.9,26.5,7.6,6.2,19.6,24.3,112.7
Phoenix Suns,82,240.6,44.0,88.4,.498,1.6,5.1,.304,42.5,83.3,.510,23.4,30.6,.767,13.5,29.5,42.9,27.1,8.7,5.4,15.8,23.2,113.0
Sacramento Kings,82,241.2,45.3,91.0,.498,1.5,4.5,.324,43.9,86.5,.507,21.6,28.4,.761,14.1,29.6,43.6,26.5,9.6,6.5,14.6,23.8,113.7
Golden State Warriors,82,241.2,44.2,88.3,.501,1.9,5.7,.323,42.4,82.6,.513,25.0,32.9,.758,14.7,30.6,45.3,27.7,9.1,5.3,17.2,22.1,115.3
San Antonio Spurs,82,241.5,47.0,93.6,.502,1.9,5.5,.349,45.0,88.1,.511,22.6,29.1,.776,15.8,30.6,46.4,30.1,8.4,6.5,17.4,24.0,118.5
