Team,Games,Minutes Played,Field Goals,Field Goal Attempts,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,2-Point Field Goals,2-point Field Goal Attempts,2-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points
Denver Nuggets,82,241.5,48.0,97.4,.493,0.9,3.1,.302,47.0,94.2,.499,26.8,32.8,.818,13.8,29.8,43.6,30.3,8.7,4.3,16.4,27.8,123.7
San Antonio Spurs,82,243.7,47.7,94.2,.506,1.0,3.2,.300,46.7,91.0,.514,24.0,31.8,.755,15.0,30.8,45.8,28.8,8.4,6.0,17.6,26.2,120.3
Detroit Pistons,82,242.7,46.3,96.5,.480,0.4,1.7,.227,45.9,94.7,.485,24.1,31.1,.775,17.4,29.7,47.1,27.5,8.5,5.1,16.0,26.5,117.1
Los Angeles Lakers,82,241.2,47.0,88.4,.532,0.7,2.8,.257,46.3,85.7,.540,20.9,27.7,.754,13.4,30.5,43.8,29.9,8.9,5.8,19.2,25.0,115.6
Utah Jazz,82,241.2,44.0,88.3,.498,1.2,3.9,.319,42.7,84.5,.506,25.8,33.0,.781,13.4,30.8,44.1,27.2,8.5,7.4,18.4,24.1,115.0
Portland Trail Blazers,82,241.5,44.3,87.7,.505,0.3,1.6,.194,44.0,86.1,.511,24.2,32.2,.754,15.3,26.8,42.0,25.4,9.9,4.8,18.1,26.0,113.1
Boston Celtics,82,243.4,44.1,88.2,.500,0.7,2.8,.240,43.4,85.4,.508,23.3,29.4,.792,14.1,31.0,45.1,25.9,8.2,5.2,17.3,23.8,112.1
Phoenix Suns,82,241.2,44.8,88.0,.509,0.9,3.5,.254,43.9,84.5,.520,20.4,26.9,.759,13.0,28.0,41.0,27.0,8.5,4.7,17.7,26.2,111.0
San Diego Clippers,82,240.6,44.3,89.3,.496,0.3,1.6,.188,44.0,87.8,.502,21.8,29.6,.736,15.9,29.0,45.0,24.2,6.9,4.7,18.5,24.6,110.7
Houston Rockets,82,240.9,45.5,91.9,.495,0.4,1.9,.195,45.1,90.0,.501,19.3,26.1,.740,14.6,30.3,44.9,26.9,7.6,6.3,19.0,28.3,110.6
Dallas Mavericks,82,243.4,44.1,88.2,.500,0.5,2.2,.228,43.6,86.0,.507,21.6,28.7,.755,13.3,27.6,40.9,26.4,7.1,4.4,15.9,23.2,110.4
Kansas City Kings,82,240.9,42.9,88.2,.486,0.6,2.3,.275,42.2,85.9,.492,23.6,30.4,.777,14.0,27.7,41.7,27.2,8.7,4.7,18.3,26.8,110.0
New Jersey Nets,82,241.5,44.1,88.5,.498,0.6,2.8,.211,43.5,85.7,.507,21.2,30.3,.700,14.9,28.2,43.1,26.2,9.9,6.1,19.6,27.4,110.0
Golden State Warriors,82,241.8,42.9,91.9,.467,0.7,2.8,.243,42.2,89.1,.474,23.4,31.4,.743,17.0,26.5,43.4,22.4,10.1,4.2,18.5,25.7,109.9
Seattle SuperSonics,82,241.2,42.2,86.4,.488,0.3,1.7,.193,41.9,84.7,.494,23.4,30.0,.780,13.0,28.4,41.4,27.2,7.8,4.3,16.6,23.0,108.1
Philadelphia 76ers,82,243.4,41.3,83.3,.495,0.4,1.3,.271,40.9,82.0,.499,24.9,33.0,.754,14.4,29.0,43.5,24.8,9.8,8.0,19.9,24.9,107.8
New York Knicks,82,242.1,41.3,83.4,.495,0.6,2.0,.285,40.7,81.4,.500,23.7,30.6,.775,13.3,27.2,40.5,24.9,9.8,4.4,19.4,27.8,106.9
Milwaukee Bucks,82,242.7,41.9,85.0,.492,0.7,2.8,.254,41.1,82.2,.501,21.3,28.7,.740,13.8,29.1,42.9,25.8,7.8,6.0,17.3,26.4,105.7
Indiana Pacers,82,241.2,42.0,87.0,.483,0.6,2.5,.232,41.5,84.4,.491,19.8,25.8,.766,12.2,29.2,41.5,26.5,10.2,4.9,18.6,25.1,104.5
Chicago Bulls,82,243.7,40.3,85.0,.474,0.2,1.4,.171,40.1,83.6,.479,22.8,30.6,.746,13.9,28.0,42.0,25.5,8.4,5.5,19.2,26.8,103.7
Washington Bullets,82,242.7,40.8,84.2,.484,0.9,3.4,.252,39.9,80.8,.494,20.3,26.8,.756,12.5,29.1,41.6,26.7,6.8,3.9,17.7,24.3,102.7
Cleveland Cavaliers,82,242.1,41.0,88.2,.465,0.5,2.0,.262,40.5,86.2,.470,19.7,26.6,.743,14.8,29.1,43.9,23.5,7.7,4.6,16.2,26.9,102.3
Atlanta Hawks,82,242.1,39.4,83.0,.474,0.3,1.3,.217,39.1,81.7,.478,22.4,29.4,.761,13.6,27.2,40.8,22.3,7.6,6.8,16.2,25.5,101.5
