Team,Games,Minutes Played,Opponent Field Goals,Opponent Field Goal Attempts,Opponent Field Goal Percentage,Opponent 3-Point Field Goals,Opponent 3-Point Field Goal Attempts,Opponent 3-Point Field Goal Percentage,Opponent 2-Point Field Goals,Opponent 2-Point Field Goal Attempts,Opponent 2-Point Field Goal Percentage,Opponent Free Throws,Opponent Free Throw Attempts,Opponent Free Throw Percentage,Opponent Offensive Rebounds,Opponent Defensive Rebounds,Opponent Total Rebounds,Opponent Assists,Opponent Steals,Opponent Blocks,Opponent Turnovers,Opponent Personal Fouls,Opponent Points
Milwaukee Bucks,82,241.5,39.2,85.0,.461,1.0,3.8,.260,38.2,81.3,.470,24.6,32.9,.748,15.1,28.0,43.0,23.2,7.8,4.7,19.0,25.7,104.0
Washington Bullets,82,242.1,42.6,87.5,.487,0.8,2.8,.284,41.8,84.7,.493,19.8,26.5,.747,13.6,32.6,46.2,24.2,7.7,4.8,17.9,22.4,105.8
Seattle SuperSonics,82,240.3,42.9,87.1,.493,1.0,3.1,.312,42.0,84.0,.499,20.8,27.0,.770,13.6,29.0,42.6,27.1,8.9,5.6,16.9,24.6,107.6
Atlanta Hawks,82,242.1,42.7,88.6,.482,0.6,2.6,.217,42.2,86.0,.490,22.0,29.1,.758,16.2,29.4,45.6,25.5,8.2,4.5,18.1,24.0,108.1
Boston Celtics,82,240.3,44.4,93.2,.477,0.9,3.3,.264,43.5,89.9,.484,18.4,23.4,.787,13.5,27.9,41.4,24.9,7.8,3.8,14.9,24.0,108.1
Philadelphia 76ers,82,241.5,42.6,87.3,.488,1.0,3.8,.257,41.6,83.5,.499,22.6,29.2,.775,14.4,26.5,40.9,26.1,9.2,4.8,18.7,26.9,108.8
Dallas Mavericks,82,242.1,44.2,87.8,.504,1.2,3.9,.308,43.0,83.9,.513,19.4,25.4,.763,13.0,30.1,43.1,25.8,7.0,5.2,16.3,25.2,109.0
Utah Jazz,82,240.9,43.1,92.7,.464,0.9,3.4,.257,42.2,89.3,.472,22.1,29.0,.762,16.6,32.3,48.8,25.2,9.8,5.4,19.6,25.3,109.1
New Jersey Nets,82,240.9,42.9,85.9,.499,1.0,3.2,.302,41.9,82.7,.507,22.5,29.9,.753,13.2,29.3,42.5,24.1,8.3,4.3,18.2,23.6,109.2
Houston Rockets,82,241.8,42.7,88.7,.481,1.1,3.1,.349,41.6,85.6,.486,23.0,29.6,.778,14.1,27.1,41.2,25.8,9.4,5.1,18.2,23.2,109.5
Chicago Bulls,82,241.5,42.9,87.9,.488,1.1,3.6,.312,41.8,84.4,.496,22.6,29.2,.774,13.9,27.6,41.4,24.9,8.1,5.5,16.1,24.9,109.6
New York Knicks,82,241.8,40.6,82.1,.495,0.8,2.8,.293,39.8,79.3,.502,27.8,36.7,.759,14.9,29.3,44.1,26.1,8.1,5.4,19.4,24.9,109.8
Phoenix Suns,82,241.5,44.0,89.1,.493,0.8,2.7,.290,43.2,86.4,.500,21.4,28.0,.765,13.7,29.5,43.2,26.6,9.4,5.0,17.9,24.6,110.1
Los Angeles Lakers,82,240.9,44.7,93.2,.480,1.0,3.6,.283,43.7,89.5,.488,20.5,27.4,.748,15.2,25.3,40.6,28.2,9.2,4.5,16.6,23.2,110.9
Cleveland Cavaliers,82,241.2,43.3,90.4,.478,0.9,3.1,.277,42.4,87.3,.485,24.0,31.1,.769,14.8,29.9,44.6,27.0,7.5,5.2,16.5,25.6,111.3
Los Angeles Clippers,82,240.6,45.6,93.0,.490,0.9,3.2,.281,44.7,89.8,.497,19.6,25.8,.758,15.2,27.8,43.0,27.6,9.4,5.1,15.1,23.0,111.6
Portland Trail Blazers,82,242.4,45.1,91.4,.493,0.7,2.8,.254,44.4,88.6,.501,21.2,27.7,.766,15.5,28.5,44.0,27.3,8.9,5.6,19.6,26.3,112.1
Detroit Pistons,82,241.8,45.1,90.9,.496,1.0,3.0,.313,44.2,87.9,.502,22.3,29.3,.760,13.5,31.3,44.8,25.7,7.8,6.2,18.1,24.6,113.5
San Antonio Spurs,82,241.2,44.4,89.6,.496,0.9,3.0,.298,43.6,86.7,.503,24.1,31.1,.776,13.9,27.6,41.5,27.8,9.1,5.8,18.2,26.3,113.9
Indiana Pacers,82,241.2,44.2,89.4,.495,0.8,2.4,.320,43.5,87.0,.500,25.2,33.0,.764,13.4,31.5,44.9,27.3,9.5,6.4,17.4,25.3,114.5
Kansas City Kings,82,240.9,46.4,91.0,.510,0.8,3.2,.251,45.6,87.8,.519,23.9,31.0,.769,14.2,27.6,41.9,28.6,9.3,6.2,17.4,26.9,117.5
Denver Nuggets,82,241.8,46.0,90.0,.512,0.8,3.1,.252,45.3,86.9,.521,24.7,32.3,.765,14.4,32.0,46.5,26.3,8.2,7.2,21.3,26.6,117.6
Golden State Warriors,82,242.1,46.8,87.4,.536,0.7,2.7,.259,46.1,84.7,.545,23.4,30.9,.758,13.4,30.7,44.2,28.5,7.9,5.7,19.3,26.6,117.7
