Team,Games,Minutes Played,Field Goals,Field Goal Attempts,Field Goal Percentage,2-Point Field Goals,2-point Field Goal Attempts,2-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points
San Antonio Spurs,82,241.8,47.9,94.6,.506,47.9,94.6,.506,23.5,29.5,.795,13.4,31.9,45.3,28.2,10.1,6.2,20.1,25.3,119.3
Phoenix Suns,82,241.2,46.9,91.7,.512,46.9,91.7,.512,21.5,28.0,.768,13.2,29.0,42.2,30.5,11.2,4.1,21.5,23.7,115.4
Washington Bullets,82,241.2,46.6,96.0,.485,46.6,96.0,.485,21.8,29.6,.735,16.0,33.8,49.7,26.5,7.5,4.9,17.3,22.0,114.9
Milwaukee Bucks,82,242.4,47.6,94.8,.503,47.6,94.8,.503,18.8,24.6,.762,14.1,28.9,43.0,31.2,10.5,5.3,19.2,25.7,114.1
Houston Rockets,82,241.2,45.4,91.4,.497,45.4,91.4,.497,22.5,28.4,.792,15.3,30.5,45.9,28.1,7.7,3.5,18.4,24.4,113.4
San Diego Clippers,82,240.6,45.4,94.0,.483,45.4,94.0,.483,22.4,30.1,.743,17.0,29.4,46.4,18.8,8.6,4.8,19.8,25.9,113.1
Kansas City Kings,82,242.1,45.9,93.2,.492,45.9,93.2,.492,21.3,29.2,.730,14.5,29.3,43.8,27.3,10.1,4.8,19.9,29.5,113.1
Los Angeles Lakers,82,241.2,46.7,90.2,.517,46.7,90.2,.517,19.6,25.5,.769,11.6,31.2,42.8,28.5,9.7,6.1,19.1,22.6,112.9
Denver Nuggets,82,240.3,42.9,89.2,.481,42.9,89.2,.481,25.0,34.6,.720,15.9,31.7,47.6,26.4,8.2,5.1,20.3,25.7,110.7
Detroit Pistons,82,241.2,45.2,95.1,.475,45.2,95.1,.475,19.6,27.3,.717,15.9,29.0,44.9,25.5,10.3,6.7,19.5,26.1,110.0
Philadelphia 76ers,82,241.5,43.7,89.5,.488,43.7,89.5,.488,22.1,29.4,.753,14.0,33.1,47.1,27.5,9.5,7.3,21.6,25.3,109.5
Atlanta Hawks,82,242.1,42.7,90.4,.473,42.7,90.4,.473,23.7,30.9,.766,16.8,28.5,45.4,23.6,9.8,7.3,18.6,29.6,109.1
Indiana Pacers,82,240.3,43.6,91.8,.475,43.6,91.8,.475,21.5,28.3,.759,14.9,30.9,45.8,24.5,8.4,5.1,18.7,25.5,108.6
Portland Trail Blazers,82,241.2,43.2,89.5,.483,43.2,89.5,.483,22.0,28.8,.765,15.3,29.7,45.0,23.7,9.5,6.2,20.2,26.7,108.4
New Orleans Jazz,82,240.3,42.9,91.6,.468,42.9,91.6,.468,22.5,29.4,.767,15.0,32.6,47.7,25.4,9.3,6.8,21.5,23.7,108.3
Boston Celtics,82,240.0,43.0,89.6,.480,43.0,89.6,.480,22.2,28.3,.784,13.6,29.2,42.9,24.3,8.7,3.5,20.9,24.1,108.2
New Jersey Nets,82,240.9,42.2,91.7,.460,42.2,91.7,.460,23.2,31.9,.729,15.1,28.9,44.0,23.3,10.4,7.5,22.7,28.4,107.7
New York Knicks,82,241.2,44.8,92.1,.487,44.8,92.1,.487,18.0,25.7,.700,14.6,29.6,44.3,25.9,8.5,4.8,19.6,26.3,107.7
Seattle SuperSonics,82,240.9,42.7,91.3,.468,42.7,91.3,.468,21.1,28.0,.754,16.0,31.6,47.6,24.1,8.4,4.9,19.3,23.3,106.6
Cleveland Cavaliers,82,240.0,43.4,92.7,.468,43.4,92.7,.468,19.8,25.6,.770,15.0,27.5,42.5,21.9,8.4,4.1,16.8,24.7,106.5
Golden State Warriors,82,241.2,44.2,90.9,.487,44.2,90.9,.487,16.7,22.8,.730,14.3,30.6,44.9,25.2,9.4,5.1,18.3,24.7,105.1
Chicago Bulls,82,241.2,42.4,86.7,.489,42.4,86.7,.489,19.9,26.6,.747,14.9,31.0,46.0,26.5,7.0,4.0,22.1,24.0,104.7
