Team,Games,Minutes Played,Opponent Field Goals,Opponent Field Goal Attempts,Opponent Field Goal Percentage,Opponent 3-Point Field Goals,Opponent 3-Point Field Goal Attempts,Opponent 3-Point Field Goal Percentage,Opponent 2-Point Field Goals,Opponent 2-Point Field Goal Attempts,Opponent 2-Point Field Goal Percentage,Opponent Free Throws,Opponent Free Throw Attempts,Opponent Free Throw Percentage,Opponent Offensive Rebounds,Opponent Defensive Rebounds,Opponent Total Rebounds,Opponent Assists,Opponent Steals,Opponent Blocks,Opponent Turnovers,Opponent Personal Fouls,Opponent Points
New York Knicks,82,240.9,33.9,78.7,.431,3.1,10.1,.307,30.9,68.6,.450,20.5,28.5,.719,12.4,27.4,39.8,20.5,8.3,4.1,17.3,23.1,91.5
San Antonio Spurs,82,241.2,37.4,83.9,.446,3.5,10.6,.333,33.9,73.3,.462,16.5,22.9,.719,13.3,26.3,39.5,21.6,7.7,4.2,12.4,21.8,94.8
Chicago Bulls,82,241.2,36.9,79.8,.463,3.1,9.5,.323,33.9,70.3,.482,17.9,24.2,.740,12.0,27.3,39.3,22.4,8.9,4.6,16.3,21.0,94.9
Atlanta Hawks,82,240.9,38.6,84.8,.455,3.4,10.6,.315,35.2,74.2,.475,15.7,21.1,.742,14.1,28.8,42.9,23.1,7.8,4.1,17.9,21.0,96.2
Houston Rockets,82,241.2,38.4,87.4,.440,3.1,10.3,.306,35.3,77.1,.458,16.8,22.8,.736,13.9,29.7,43.6,23.2,9.4,3.8,14.9,21.3,96.8
Seattle SuperSonics,82,240.6,35.7,78.8,.453,4.0,11.5,.345,31.7,67.2,.472,21.5,29.0,.741,13.2,26.7,39.9,22.0,8.4,5.1,20.3,23.0,96.9
Cleveland Cavaliers,82,242.1,38.2,82.2,.464,3.1,8.9,.354,35.0,73.3,.478,17.6,24.0,.735,12.9,28.5,41.4,24.5,7.7,5.6,15.8,21.9,97.1
Indiana Pacers,82,240.9,36.3,80.7,.450,3.3,9.9,.335,33.0,70.7,.466,21.6,29.5,.730,13.8,26.3,40.1,23.2,10.1,4.7,16.3,24.2,97.5
Utah Jazz,82,241.8,36.3,81.0,.448,3.5,11.8,.299,32.7,69.2,.473,21.6,29.8,.725,13.4,28.4,41.8,22.0,7.2,5.6,16.1,23.4,97.7
Denver Nuggets,82,240.9,37.4,85.4,.438,2.5,8.7,.290,34.8,76.6,.455,21.5,28.6,.750,13.6,28.4,42.1,21.3,8.8,6.1,15.2,23.9,98.8
Miami Heat,82,241.5,37.0,81.0,.457,3.6,10.9,.331,33.4,70.1,.477,23.0,30.8,.748,13.1,27.6,40.7,22.2,8.4,5.3,16.0,23.7,100.7
New Jersey Nets,82,241.8,39.8,86.9,.458,2.9,9.0,.318,37.0,77.9,.475,18.5,24.9,.743,13.9,30.8,44.8,23.4,8.7,7.1,15.2,23.2,101.0
Orlando Magic,82,240.6,39.8,86.9,.458,3.6,10.3,.349,36.2,76.6,.473,18.6,25.0,.745,14.6,28.1,42.7,25.6,9.2,5.4,15.0,22.5,101.8
Phoenix Suns,82,240.3,41.2,87.0,.474,3.5,10.5,.328,37.8,76.5,.494,17.5,24.4,.720,13.2,27.4,40.6,26.3,9.1,5.3,15.3,22.8,103.4
Milwaukee Bucks,82,240.3,39.7,80.8,.491,3.5,9.6,.362,36.2,71.2,.509,20.5,27.9,.737,13.2,30.4,43.7,25.5,9.4,5.1,17.3,21.7,103.4
