Team,Age of Player at the start of February 1st of that season.,"Pythagorean wins, i.e., expected wins based on points scored and allowed","Pythagorean losses, i.e., expected losses based on points scored and allowed",Margin of Victory,Strength of Schedule,Simple Rating System,Offensive Rating,Defensive Rating,Pace Factor,Free Throw Attempt Rate,3-Point Attempt Rate,True Shooting Percentage,Effective Field Goal Percentage,Turnover Percentage,Offensive Rebound Percentage,Free Throws Per Field Goal Attempt,Opponent Effective Field Goal Percentage,Opponent Turnover Percentage,Defensive Rebound Percentage,Opponent Free Throws Per Field Goal Attempt,Arena
Oklahoma City Thunder,26.0,64,18,9.21,-0.06,9.15,112.4,102.6,93.3,.338,.244,.580,.527,14.4,26.7,.280,.469,13.5,73.4,.197,Chesapeake Energy Arena
Miami Heat,30.3,62,20,7.87,-0.84,7.03,112.3,103.7,90.7,.297,.285,.588,.552,13.7,22.2,.224,.487,14.8,73.0,.200,AmericanAirlines Arena
San Antonio Spurs,28.6,58,24,6.40,0.27,6.67,108.3,101.6,94.2,.258,.264,.568,.531,14.0,20.5,.204,.480,13.7,74.9,.179,AT&amp;T Center
Los Angeles Clippers,28.8,59,23,6.45,-0.02,6.43,110.6,103.6,91.1,.286,.265,.557,.526,13.9,28.8,.203,.492,15.4,73.5,.229,STAPLES Center
Denver Nuggets,26.1,55,27,5.09,0.28,5.37,110.4,105.1,95.1,.308,.217,.549,.515,13.6,31.4,.216,.493,14.3,71.8,.193,Pepsi Center
Memphis Grizzlies,27.0,54,28,4.15,0.18,4.32,104.9,100.3,88.4,.261,.166,.514,.472,13.3,31.0,.202,.475,15.2,74.3,.209,FedEx Forum
New York Knicks,30.2,53,29,4.23,-0.50,3.73,111.1,106.3,89.8,.258,.354,.550,.515,11.7,25.6,.196,.508,14.8,74.7,.216,Madison Square Garden (IV)
Houston Rockets,24.4,50,32,3.48,0.22,3.69,109.7,106.1,96.1,.308,.349,.564,.525,14.9,26.4,.232,.502,13.5,75.2,.196,Toyota Center
Indiana Pacers,25.7,52,29,4.02,-0.69,3.34,104.3,99.8,90.2,.293,.245,.521,.479,14.3,30.3,.219,.453,12.9,74.6,.197,Bankers Life Fieldhouse
Los Angeles Lakers,30.7,44,38,1.16,0.32,1.48,107.8,106.6,94.4,.345,.303,.548,.512,13.9,27.0,.239,.496,11.9,74.3,.163,STAPLES Center
Golden State Warriors,25.3,44,38,0.89,0.42,1.32,106.4,105.5,94.5,.255,.239,.545,.506,14.0,25.4,.201,.486,12.4,75.5,.211,Oracle Arena
Brooklyn Nets,28.6,46,36,1.78,-0.53,1.25,108.2,106.2,88.8,.299,.269,.536,.498,14.0,30.9,.219,.503,13.1,73.7,.174,Barclays Center
Utah Jazz,26.3,41,41,-0.09,0.38,0.30,106.7,106.8,90.9,.281,.206,.533,.492,13.8,28.8,.214,.501,14.0,73.2,.226,EnergySolutions Arena
Chicago Bulls,28.0,42,40,0.32,-0.33,-0.02,103.5,103.2,89.3,.259,.189,.512,.470,13.6,29.4,.201,.477,13.2,73.6,.206,United Center
Atlanta Hawks,27.1,42,40,0.40,-0.48,-0.08,104.8,104.4,92.6,.244,.286,.546,.517,14.2,22.2,.174,.496,14.2,73.6,.181,Philips Arena
Dallas Mavericks,29.5,39,43,-0.60,0.36,-0.24,105.9,106.5,94.1,.242,.236,.544,.506,13.0,21.8,.192,.492,13.3,73.1,.227,American Airlines Center
Boston Celtics,29.1,40,41,-0.22,-0.40,-0.62,103.1,103.3,91.7,.263,.215,.542,.503,14.1,20.1,.204,.482,14.2,73.3,.216,TD Garden
Milwaukee Bucks,26.4,37,45,-1.50,-0.33,-1.83,103.6,105.2,94.7,.236,.232,.510,.476,12.7,27.9,.174,.492,14.4,71.3,.201,BMO Harris Bradley Center
