Team,Games,Minutes Played,Opponent Field Goals,Opponent Field Goal Attempts,Opponent Field Goal Percentage,Opponent 3-Point Field Goals,Opponent 3-Point Field Goal Attempts,Opponent 3-Point Field Goal Percentage,Opponent 2-Point Field Goals,Opponent 2-Point Field Goal Attempts,Opponent 2-Point Field Goal Percentage,Opponent Free Throws,Opponent Free Throw Attempts,Opponent Free Throw Percentage,Opponent Offensive Rebounds,Opponent Defensive Rebounds,Opponent Total Rebounds,Opponent Assists,Opponent Steals,Opponent Blocks,Opponent Turnovers,Opponent Personal Fouls,Opponent Points
Philadelphia 76ers,82,242.1,40.3,89.5,.451,0.6,2.4,.240,39.7,87.0,.457,22.6,30.3,.744,15.7,27.9,43.6,24.8,10.0,4.6,20.0,24.9,103.8
Boston Celtics,82,241.2,41.1,89.0,.462,0.4,1.7,.216,40.8,87.3,.467,21.4,27.8,.769,14.5,26.5,41.0,23.0,9.0,4.3,18.0,25.1,104.0
Phoenix Suns,82,240.9,41.1,88.1,.466,0.8,2.5,.330,40.2,85.5,.470,21.5,29.1,.739,14.1,27.9,42.0,24.0,11.1,4.9,21.4,25.8,104.5
Washington Bullets,82,241.2,42.9,91.4,.470,0.5,2.1,.210,42.5,89.2,.476,19.4,26.4,.735,14.7,32.2,46.9,25.1,9.0,5.7,17.2,23.0,105.6
Seattle SuperSonics,82,241.2,42.1,90.5,.465,0.5,1.9,.268,41.6,88.6,.470,21.0,28.3,.740,15.2,28.7,44.0,24.9,9.1,4.7,16.4,24.9,105.7
Milwaukee Bucks,82,240.9,40.4,88.0,.459,0.4,2.4,.176,40.0,85.6,.467,24.7,32.9,.749,15.4,26.9,42.4,24.8,9.0,4.9,20.4,25.0,105.9
Detroit Pistons,82,240.9,42.7,83.8,.509,0.4,1.5,.244,42.3,82.2,.514,20.3,27.0,.750,13.3,29.2,42.5,24.8,9.7,7.1,21.9,25.5,106.0
Indiana Pacers,82,240.6,42.2,86.2,.489,0.5,2.2,.229,41.7,84.0,.496,21.4,27.9,.767,15.2,29.4,44.5,25.8,8.5,5.4,20.2,25.2,106.2
New York Knicks,82,241.8,43.4,86.5,.501,0.5,2.1,.250,42.8,84.4,.508,19.1,25.4,.751,14.0,30.0,44.0,25.5,8.4,5.5,20.2,24.3,106.3
Kansas City Kings,82,241.8,41.8,86.8,.481,0.4,1.9,.203,41.4,84.9,.487,23.0,30.5,.756,13.9,30.6,44.5,22.6,8.7,4.7,18.5,24.6,106.9
Chicago Bulls,82,241.2,43.0,87.9,.489,0.6,2.7,.233,42.4,85.2,.497,20.4,27.0,.755,14.0,25.6,39.5,23.8,9.6,5.4,18.3,26.0,107.0
Utah Jazz,82,240.6,41.8,85.6,.489,0.5,1.8,.306,41.3,83.8,.493,22.9,30.1,.760,14.1,29.8,43.8,24.2,7.3,5.0,15.9,22.6,107.1
Los Angeles Lakers,82,241.5,43.7,93.9,.465,0.5,2.2,.228,43.2,91.7,.471,19.5,26.3,.741,16.8,27.7,44.5,27.8,9.2,4.4,18.0,22.8,107.3
Houston Rockets,82,241.5,44.1,89.5,.493,0.6,2.1,.287,43.5,87.4,.498,19.1,25.7,.744,14.4,28.9,43.2,26.7,8.4,4.5,17.4,24.1,107.9
Atlanta Hawks,82,243.0,41.5,83.7,.495,0.4,1.9,.211,41.1,81.9,.502,24.7,32.2,.766,14.7,28.3,43.0,23.6,9.1,6.8,20.5,26.9,108.0
San Diego Clippers,82,240.6,42.8,84.8,.505,0.4,1.9,.216,42.4,82.9,.511,22.2,29.7,.747,13.3,29.0,42.3,25.6,8.3,4.8,18.9,24.5,108.1
San Antonio Spurs,82,241.5,43.7,92.5,.472,0.5,2.0,.268,43.1,90.4,.477,21.5,29.1,.740,14.8,26.5,41.4,26.9,8.5,5.9,17.3,26.8,109.4
Portland Trail Blazers,82,242.1,43.7,89.6,.488,0.4,1.8,.228,43.3,87.8,.493,22.0,29.0,.759,15.2,29.5,44.7,25.7,9.8,5.1,19.2,23.6,109.8
Dallas Mavericks,82,241.2,44.2,86.1,.513,0.4,1.7,.263,43.7,84.4,.518,21.1,28.0,.754,14.3,30.5,44.8,25.6,8.7,5.9,17.5,26.7,109.9
Cleveland Cavaliers,82,241.2,44.0,87.5,.503,0.6,2.0,.310,43.4,85.4,.508,22.0,29.2,.752,14.1,30.5,44.6,26.4,8.3,5.5,18.0,23.9,110.6
Golden State Warriors,82,240.6,44.3,87.9,.504,0.5,2.0,.231,43.8,85.9,.510,22.0,29.4,.748,13.9,27.0,40.8,27.1,8.7,4.7,16.9,25.5,111.0
New Jersey Nets,82,241.5,44.0,87.3,.505,0.3,1.6,.215,43.7,85.7,.510,24.5,32.5,.755,12.9,30.5,43.4,26.1,9.9,6.1,20.0,25.5,113.0
Denver Nuggets,82,243.4,49.5,97.8,.506,0.5,2.0,.272,49.0,95.8,.511,22.7,30.6,.743,16.1,32.7,48.8,30.8,8.6,6.7,19.0,29.1,122.3
