Team,Age of Player at the start of February 1st of that season.,"Pythagorean wins, i.e., expected wins based on points scored and allowed","Pythagorean losses, i.e., expected losses based on points scored and allowed",Margin of Victory,Strength of Schedule,Simple Rating System,Offensive Rating,Defensive Rating,Pace Factor,Free Throw Attempt Rate,3-Point Attempt Rate,True Shooting Percentage,Effective Field Goal Percentage,Turnover Percentage,Offensive Rebound Percentage,Free Throws Per Field Goal Attempt,Opponent Effective Field Goal Percentage,Opponent Turnover Percentage,Defensive Rebound Percentage,Opponent Free Throws Per Field Goal Attempt,Arena
Chicago Bulls,29.9,70,12,12.24,-0.44,11.80,115.2,101.8,91.1,.291,.196,.555,.517,13.1,36.9,.217,.482,16.1,71.1,.222,United Center
Seattle SuperSonics,29.6,61,21,7.79,-0.40,7.40,110.3,102.1,93.8,.379,.249,.574,.526,16.2,29.7,.288,.479,16.7,69.5,.252,KeyArena at Seattle Center
Utah Jazz,29.5,59,23,6.59,-0.34,6.25,113.3,106.1,90.0,.359,.158,.566,.517,14.1,31.6,.276,.489,15.1,71.7,.295,Delta Center
San Antonio Spurs,29.4,58,24,6.30,-0.33,5.98,110.2,103.5,93.3,.342,.200,.558,.516,13.6,27.5,.252,.472,13.9,70.0,.216,Alamodome
Orlando Magic,27.7,56,26,5.56,-0.16,5.40,112.9,106.9,91.8,.336,.248,.562,.529,13.2,29.0,.232,.491,14.0,68.8,.223,Orlando Arena
Los Angeles Lakers,27.1,53,29,4.45,-0.24,4.21,111.4,106.6,92.4,.306,.203,.555,.515,13.3,30.1,.228,.491,14.9,66.8,.205,Great Western Forum
Indiana Pacers,29.4,50,32,3.24,-0.14,3.11,110.8,107.2,89.3,.389,.157,.560,.509,15.5,33.0,.294,.491,14.7,69.3,.271,Market Square Arena
Cleveland Cavaliers,27.5,49,33,2.59,-0.09,2.49,109.9,106.7,82.3,.296,.264,.551,.510,13.7,28.6,.226,.506,16.3,70.2,.242,Gund Arena
Detroit Pistons,26.8,49,33,2.50,-0.05,2.45,107.9,105.1,87.7,.360,.221,.551,.504,14.6,28.0,.271,.483,13.7,71.7,.229,The Palace of Auburn Hills
New York Knicks,30.4,48,34,2.32,-0.08,2.24,106.0,103.5,91.0,.306,.201,.550,.509,14.9,25.5,.232,.476,14.8,71.1,.251,Madison Square Garden (IV)
