Team,Age of Player at the start of February 1st of that season.,"Pythagorean wins, i.e., expected wins based on points scored and allowed","Pythagorean losses, i.e., expected losses based on points scored and allowed",Margin of Victory,Strength of Schedule,Simple Rating System,Offensive Rating,Defensive Rating,Pace Factor,Free Throw Attempt Rate,3-Point Attempt Rate,True Shooting Percentage,Effective Field Goal Percentage,Turnover Percentage,Offensive Rebound Percentage,Free Throws Per Field Goal Attempt,Opponent Effective Field Goal Percentage,Opponent Turnover Percentage,Defensive Rebound Percentage,Opponent Free Throws Per Field Goal Attempt,Arena
Boston Celtics,27.3,57,25,6.38,-0.03,6.35,109.8,103.5,101.5,.335,.025,.545,.502,14.7,35.8,.248,.472,14.6,67.6,.220,Boston Garden
Philadelphia 76ers,28.1,56,26,5.73,0.00,5.74,109.6,103.9,100.6,.354,.020,.566,.521,15.5,30.5,.265,.480,16.5,65.0,.261,The Spectrum
Milwaukee Bucks,27.3,55,27,5.48,-0.10,5.38,107.7,102.3,100.0,.332,.023,.553,.509,16.5,35.1,.250,.471,15.9,67.3,.253,MECCA Arena
Los Angeles Lakers,26.8,53,29,4.87,-0.50,4.37,110.2,105.5,103.1,.285,.012,.551,.518,14.7,35.8,.204,.493,14.8,66.3,.187,The Forum
Seattle SuperSonics,26.4,52,30,4.13,-0.45,3.69,106.4,102.3,100.0,.329,.021,.535,.491,14.1,31.3,.243,.464,14.4,67.2,.214,King County Domed Stadium
Phoenix Suns,26.4,50,32,3.45,-0.40,3.05,105.8,102.4,99.5,.302,.024,.538,.495,15.9,32.2,.229,.470,14.6,68.5,.233,Arizona Veterans Memorial Coliseum
San Antonio Spurs,26.1,47,35,2.30,-0.52,1.79,109.9,107.6,102.5,.307,.033,.537,.490,13.0,34.0,.238,.487,13.7,68.8,.256,HemisFair Arena
Washington Bullets,26.0,43,39,0.88,0.19,1.06,103.3,102.5,99.4,.294,.033,.524,.478,14.7,29.4,.227,.468,13.9,69.9,.228,Capital Centre
New Jersey Nets,25.1,43,39,0.68,0.18,0.87,103.0,102.3,103.1,.326,.020,.529,.487,16.6,33.7,.237,.486,18.3,67.0,.281,Brendan Byrne Arena
Atlanta Hawks,26.5,43,39,0.54,0.27,0.81,105.1,104.6,95.1,.352,.019,.529,.476,14.6,32.2,.271,.473,15.6,67.6,.282,Omni Coliseum
Golden State Warriors,25.1,44,38,1.04,-0.24,0.80,108.8,107.7,101.4,.324,.044,.541,.502,14.5,34.8,.233,.493,14.1,68.8,.256,Oakland-Alameda County Coliseum Arena
Portland Trail Blazers,24.7,43,39,0.60,-0.21,0.39,108.8,108.2,100.5,.332,.019,.547,.507,14.4,32.5,.239,.502,15.0,65.9,.223,Memorial Coliseum
Denver Nuggets,27.0,42,40,0.52,-0.40,0.13,114.3,113.9,109.8,.389,.019,.578,.522,14.1,31.8,.310,.528,13.9,64.3,.213,McNichols Sports Arena
Houston Rockets,28.3,41,41,-0.04,-0.36,-0.39,108.3,108.3,97.2,.302,.024,.520,.479,13.7,37.8,.220,.500,14.3,66.1,.209,The Summit
Detroit Pistons,24.4,39,43,-0.91,0.28,-0.63,105.8,106.6,104.3,.349,.029,.534,.485,16.0,34.8,.262,.512,16.4,66.9,.224,Pontiac Silverdome
Indiana Pacers,27.0,36,46,-1.87,0.38,-1.49,102.7,104.6,98.7,.304,.044,.516,.472,14.6,30.5,.225,.494,15.9,66.3,.221,Market Square Arena
Chicago Bulls,26.5,36,46,-2.02,0.45,-1.57,106.6,108.6,99.0,.378,.032,.557,.505,17.3,33.6,.290,.499,13.2,69.0,.207,Chicago Stadium
New York Knicks,28.0,34,48,-2.67,0.52,-2.15,106.0,108.6,99.5,.302,.030,.535,.495,15.4,33.1,.223,.508,15.4,66.9,.255,Madison Square Garden (IV)
Kansas City Kings,24.0,33,49,-3.10,-0.15,-3.25,104.2,107.2,101.8,.296,.018,.533,.497,15.5,29.9,.213,.504,16.5,66.0,.287,Kemper Arena
Dallas Mavericks,24.4,29,53,-4.43,-0.06,-4.48,105.9,110.4,98.5,.328,.026,.519,.473,13.7,33.9,.241,.510,14.5,66.8,.266,Reunion Arena
Utah Jazz,24.8,27,55,-5.66,0.03,-5.63,106.2,111.7,103.9,.306,.013,.538,.496,14.5,30.6,.230,.513,14.1,65.3,.244,Salt Palace
San Diego Clippers,25.4,23,59,-7.39,0.34,-7.05,106.6,113.8,101.4,.330,.048,.547,.507,16.2,33.2,.238,.529,13.9,68.0,.280,San Diego Sports Arena
Cleveland Cavaliers,26.1,20,62,-8.51,0.74,-7.77,103.3,111.8,99.3,.297,.019,.510,.466,13.7,32.0,.222,.515,14.7,65.9,.271,Coliseum at Richfield
