Team,Age of Player at the start of February 1st of that season.,"Pythagorean wins, i.e., expected wins based on points scored and allowed","Pythagorean losses, i.e., expected losses based on points scored and allowed",Margin of Victory,Strength of Schedule,Simple Rating System,Offensive Rating,Defensive Rating,Pace Factor,Free Throw Attempt Rate,3-Point Attempt Rate,True Shooting Percentage,Effective Field Goal Percentage,Turnover Percentage,Offensive Rebound Percentage,Free Throws Per Field Goal Attempt,Opponent Effective Field Goal Percentage,Opponent Turnover Percentage,Defensive Rebound Percentage,Opponent Free Throws Per Field Goal Attempt,Arena
Dallas Mavericks,28.1,62,20,7.78,0.12,7.90,110.7,102.3,92.5,.257,.239,.543,.498,10.9,25.4,.213,.473,14.8,70.9,.221,American Airlines Center
Sacramento Kings,28.3,59,23,6.50,0.18,6.68,105.9,99.1,95.4,.262,.184,.535,.499,13.3,25.6,.196,.446,13.6,70.6,.204,ARCO Arena (II)
San Antonio Spurs,28.4,57,25,5.41,0.23,5.65,105.6,99.7,90.0,.348,.202,.541,.497,15.1,28.8,.253,.453,14.2,71.3,.199,SBC Center
New Jersey Nets,27.3,56,26,5.22,-0.80,4.42,103.8,98.1,91.6,.333,.158,.518,.468,13.8,28.7,.252,.460,15.7,73.1,.225,Continental Airlines Arena
Detroit Pistons,29.0,52,30,3.68,-0.71,2.97,104.1,99.9,86.8,.322,.237,.523,.473,13.3,25.9,.248,.461,13.9,74.0,.225,The Palace of Auburn Hills
Portland Trail Blazers,29.2,49,33,2.61,0.36,2.97,105.5,102.6,89.4,.300,.177,.531,.489,14.5,30.2,.223,.483,14.9,72.3,.194,Rose Garden Arena
Indiana Pacers,25.9,51,31,3.49,-0.70,2.79,104.6,100.8,91.6,.344,.169,.522,.469,13.7,29.0,.263,.458,14.3,72.3,.228,Conseco Fieldhouse
Utah Jazz,30.9,48,34,2.39,0.37,2.76,105.5,102.8,89.3,.380,.104,.537,.486,16.0,32.5,.283,.468,15.2,70.2,.256,Delta Center
Los Angeles Lakers,28.1,48,34,2.33,0.38,2.71,107.2,104.7,92.5,.311,.199,.528,.486,13.3,30.2,.228,.477,13.4,72.7,.241,STAPLES Center
Minnesota Timberwolves,28.2,47,35,2.07,0.39,2.46,106.1,103.8,91.9,.268,.118,.528,.488,12.9,28.2,.206,.472,12.7,72.9,.203,Target Center
Houston Rockets,25.9,46,36,1.48,0.42,1.89,104.3,102.6,88.8,.316,.196,.522,.474,14.8,30.3,.243,.462,12.6,72.4,.209,Compaq Center
Philadelphia 76ers,28.3,48,34,2.30,-0.55,1.76,105.0,102.5,91.4,.339,.119,.520,.466,13.7,30.3,.263,.488,16.2,72.7,.243,First Union Center
Phoenix Suns,25.2,44,38,1.13,0.43,1.57,103.7,102.5,91.5,.285,.170,.514,.473,13.7,29.7,.211,.470,14.8,70.3,.222,America West Arena
New Orleans Hornets,29.1,47,35,2.11,-0.59,1.52,103.9,101.6,89.4,.285,.161,.511,.465,13.9,31.7,.219,.464,14.0,73.1,.226,New Orleans Arena
Seattle SuperSonics,26.9,41,41,-0.12,0.49,0.37,103.7,103.9,88.0,.270,.196,.512,.472,12.8,28.1,.201,.484,14.3,71.8,.210,KeyArena at Seattle Center
Milwaukee Bucks,29.3,42,40,0.23,-0.48,-0.24,108.8,108.6,90.4,.287,.229,.543,.500,12.2,25.6,.222,.494,13.5,69.9,.237,Bradley Center
Orlando Magic,26.9,41,41,0.13,-0.53,-0.39,105.2,105.0,93.1,.307,.235,.526,.478,13.3,27.0,.239,.486,15.1,71.1,.250,TD Waterhouse Centre
Golden State Warriors,24.4,38,44,-1.13,0.54,-0.60,108.3,109.5,94.2,.343,.178,.526,.472,13.9,35.0,.267,.482,12.2,67.9,.220,The Arena in Oakland
Boston Celtics,26.9,40,42,-0.39,-0.36,-0.75,101.2,101.6,90.9,.306,.331,.514,.470,13.4,23.6,.227,.471,15.1,72.5,.242,FleetCenter
Washington Wizards,28.4,38,44,-1.01,-0.46,-1.47,103.0,104.1,88.2,.325,.127,.513,.460,13.0,27.3,.253,.477,13.8,71.6,.212,MCI Center
New York Knicks,30.2,37,45,-1.35,-0.26,-1.61,104.7,106.2,90.7,.241,.235,.528,.486,13.4,24.4,.196,.485,13.7,71.8,.261,Madison Square Garden (IV)
Memphis Grizzlies,24.9,32,50,-3.23,0.63,-2.60,103.9,107.3,92.7,.287,.190,.526,.487,14.2,27.0,.212,.491,13.4,68.7,.197,Pyramid Arena
Los Angeles Clippers,25.3,29,53,-4.12,0.68,-3.45,102.3,106.8,91.3,.335,.182,.516,.467,14.8,29.1,.252,.481,13.1,70.2,.222,STAPLES Center
Atlanta Hawks,27.2,31,51,-3.56,-0.31,-3.87,102.3,106.1,91.0,.313,.177,.527,.476,15.7,27.9,.248,.469,12.1,70.4,.222,Philips Arena
Miami Heat,26.5,25,57,-5.05,-0.08,-5.13,96.7,102.4,87.8,.259,.169,.483,.439,13.8,26.8,.198,.470,14.1,73.9,.257,AmericanAirlines Arena
Chicago Bulls,25.2,27,55,-5.13,-0.17,-5.31,100.2,105.6,93.5,.300,.148,.512,.471,15.4,27.7,.217,.470,13.3,69.5,.263,United Center
Toronto Raptors,27.6,24,58,-5.87,-0.23,-6.10,100.5,107.0,89.9,.282,.179,.497,.458,13.6,28.2,.203,.489,13.1,70.7,.226,Air Canada Centre
Denver Nuggets,24.1,17,65,-8.28,0.87,-7.41,92.2,101.3,91.0,.283,.126,.469,.428,17.1,31.3,.198,.477,16.5,73.3,.290,Pepsi Center
Cleveland Cavaliers,23.5,16,66,-9.62,0.04,-9.59,96.5,106.7,94.0,.298,.133,.491,.444,16.4,31.0,.223,.484,13.0,73.2,.252,Gund Arena
