Team,Games,Minutes Played,Opponent Field Goals,Opponent Field Goal Attempts,Opponent Field Goal Percentage,Opponent 3-Point Field Goals,Opponent 3-Point Field Goal Attempts,Opponent 3-Point Field Goal Percentage,Opponent 2-Point Field Goals,Opponent 2-Point Field Goal Attempts,Opponent 2-Point Field Goal Percentage,Opponent Free Throws,Opponent Free Throw Attempts,Opponent Free Throw Percentage,Opponent Offensive Rebounds,Opponent Defensive Rebounds,Opponent Total Rebounds,Opponent Assists,Opponent Steals,Opponent Blocks,Opponent Turnovers,Opponent Personal Fouls,Opponent Points
New York Knicks,82,243.0,34.4,80.7,.426,2.8,9.2,.305,31.6,71.6,.442,23.8,31.5,.755,12.6,28.4,40.9,20.2,8.0,4.7,16.6,24.5,95.4
Chicago Bulls,82,241.8,38.3,80.8,.474,3.0,8.4,.361,35.3,72.4,.487,19.3,24.8,.779,12.7,27.6,40.3,23.4,7.3,4.4,16.7,21.1,98.9
Houston Rockets,82,241.2,39.7,86.9,.457,3.0,8.9,.332,36.7,78.0,.471,17.5,22.9,.763,14.2,28.0,42.2,24.0,8.7,4.0,15.0,21.9,99.8
Cleveland Cavaliers,82,241.8,41.1,88.2,.466,2.8,8.5,.329,38.3,79.7,.481,16.3,21.2,.766,13.6,29.0,42.6,25.7,7.4,4.5,14.7,22.3,101.3
Seattle SuperSonics,82,241.2,38.3,81.8,.469,3.3,9.9,.337,35.0,71.9,.487,21.3,28.0,.759,13.1,27.1,40.2,22.4,8.0,5.0,18.5,22.6,101.3
New Jersey Nets,82,241.2,39.4,84.7,.465,2.5,7.5,.325,37.0,77.2,.479,20.3,27.4,.741,13.4,28.6,42.0,21.8,9.5,5.1,15.9,22.9,101.6
Detroit Pistons,82,241.2,40.5,84.2,.481,3.2,9.4,.339,37.3,74.8,.499,17.8,24.2,.736,13.4,29.8,43.2,25.0,7.6,4.4,14.9,22.0,102.0
Boston Celtics,82,241.2,39.4,85.1,.463,2.6,7.9,.332,36.8,77.2,.476,21.3,27.7,.771,13.3,29.0,42.3,24.0,7.8,4.7,14.4,20.4,102.8
San Antonio Spurs,82,242.1,40.1,87.5,.458,3.3,9.1,.361,36.8,78.4,.470,19.3,25.0,.772,13.2,29.1,42.3,23.2,8.0,4.5,13.8,24.4,102.8
Utah Jazz,82,240.9,39.7,85.0,.467,3.3,10.2,.325,36.4,74.8,.487,21.3,28.6,.744,13.7,28.2,41.9,23.5,7.9,5.7,15.7,24.0,104.0
Orlando Magic,82,242.4,40.3,88.5,.456,3.0,9.2,.329,37.3,79.3,.471,20.5,28.1,.729,14.2,27.7,41.9,25.5,8.7,4.9,13.6,24.1,104.2
Miami Heat,82,244.0,39.4,82.8,.476,3.2,9.5,.339,36.2,73.3,.494,22.7,29.5,.770,12.6,29.6,42.1,24.0,8.0,5.2,15.9,25.0,104.7
Portland Trail Blazers,82,242.7,40.7,86.9,.468,3.4,9.9,.342,37.3,77.0,.485,20.6,27.1,.760,12.5,30.8,43.3,25.1,7.9,5.5,17.1,25.5,105.4
Los Angeles Lakers,82,241.8,41.9,86.8,.483,3.0,8.9,.337,38.9,77.9,.500,18.6,25.0,.746,14.1,29.4,43.5,26.0,8.4,4.7,16.3,22.8,105.5
Minnesota Timberwolves,82,242.1,40.5,83.1,.488,2.5,7.0,.360,38.0,76.0,.500,22.3,29.4,.758,13.7,28.4,42.1,26.1,9.0,6.0,15.0,22.9,105.9
Indiana Pacers,82,240.9,39.8,84.8,.469,2.6,8.6,.306,37.1,76.2,.487,23.9,32.1,.743,14.5,28.6,43.1,24.2,8.5,4.7,14.4,24.1,106.1
