Team,Games,Minutes Played,Field Goal Percentage,Average distance (ft.) of FGA,% of FGAs that are 2-Pt FGAs.,% of FGAs that are 0-3 feet from the basket.,% of FGAs that are 3-10 feet from the basket.,% of FGAs that are 10-16 feet from the basket.,% of FGAs that are 2-Pt shotsand 16+ feet from the basket.,% of FGAs that are 3-Pt FGAs.,2-Point Field Goal Percentage,FG% on FGAs that are 0-3 feet from the basket.,FG% on FGAs that are 3-10 feet from the basket.,FG% on FGAs that are 10-16 feet from the basket.,FG% on 2-Pt FGAs that are 16+ feet from the basket.,3-Point Field Goal Percentage,% of 2-Pt FGs that are assisted.,% of all FGAs that are dunk attempts.,FGs that are dunks.,% of all team FGAs that are layup attempts.,Team FGs that are layups.,% of 3-Pt FGs that are assisted.,% of 3PAs from the corner.,3P% on 3PAs from the corner.,Heave attempts (beyond half-court),Heaves made (beyond half-court)
Atlanta Hawks,82,19880,.444,11.7,.837,.356,.097,.090,.294,.163,.467,.572,.385,.398,.387,.329,.518,.047,273,.284,940,.833,.253,.373,8,0
Boston Celtics,82,19855,.443,12.0,.801,.317,.152,.102,.230,.199,.462,.585,.379,.368,.388,.367,.499,.032,189,.268,915,.930,.271,.414,12,0
Charlotte Bobcats,82,20005,.446,11.8,.807,.335,.129,.095,.249,.193,.467,.574,.381,.352,.410,.357,.565,.040,251,.272,950,.921,.352,.384,14,1
Chicago Bulls,82,19780,.457,12.7,.814,.302,.100,.118,.295,.186,.473,.567,.386,.407,.432,.388,.562,.041,259,.240,805,.810,.223,.420,11,0
Cleveland Cavaliers,82,19880,.447,12.1,.789,.323,.129,.123,.214,.211,.473,.622,.358,.373,.375,.352,.519,.045,282,.236,911,.846,.342,.363,12,2
Dallas Mavericks,82,19755,.467,13.0,.782,.269,.104,.163,.246,.218,.491,.606,.401,.452,.430,.381,.469,.035,210,.216,762,.880,.328,.377,14,0
Denver Nuggets,82,19780,.465,11.4,.788,.370,.104,.100,.214,.212,.500,.632,.393,.392,.373,.336,.550,.074,461,.263,1001,.924,.251,.318,16,0
Detroit Pistons,82,19880,.454,12.4,.799,.291,.110,.182,.216,.201,.481,.602,.408,.404,.421,.344,.561,.052,307,.213,736,.822,.318,.352,13,1
Golden State Warriors,82,19755,.463,12.3,.721,.338,.135,.077,.172,.279,.504,.654,.362,.359,.386,.356,.525,.048,325,.269,1139,.866,.339,.386,15,0
Houston Rockets,82,19855,.445,13.2,.710,.276,.145,.104,.185,.290,.475,.578,.431,.385,.406,.372,.518,.022,142,.233,824,.800,.269,.399,7,1
Indiana Pacers,82,19780,.438,12.6,.788,.272,.158,.146,.213,.212,.462,.589,.416,.379,.392,.346,.522,.033,201,.225,796,.898,.269,.366,11,2
Los Angeles Clippers,82,19730,.456,12.2,.857,.252,.157,.194,.255,.143,.474,.619,.454,.406,.394,.348,.572,.026,158,.208,760,.933,.181,.380,16,0
Los Angeles Lakers,82,20030,.466,12.4,.741,.326,.122,.096,.196,.259,.505,.611,.429,.428,.415,.353,.537,.049,308,.256,941,.837,.229,.392,14,0
Memphis Grizzlies,82,19980,.465,11.7,.789,.343,.139,.100,.207,.211,.491,.595,.425,.394,.410,.367,.505,.070,402,.252,823,.836,.163,.446,17,0
Miami Heat,82,19855,.464,12.4,.755,.304,.147,.094,.211,.245,.503,.642,.432,.393,.402,.343,.514,.054,315,.228,830,.856,.263,.366,12,0
Milwaukee Bucks,82,19855,.465,11.4,.781,.360,.124,.113,.183,.219,.495,.600,.430,.419,.381,.356,.512,.040,244,.291,1106,.844,.260,.376,5,0
Minnesota Timberwolves,82,20005,.461,12.8,.833,.267,.127,.133,.305,.167,.483,.608,.426,.432,.419,.353,.576,.037,214,.211,766,.896,.259,.369,24,1
New Jersey Nets,82,19880,.457,12.8,.737,.332,.089,.077,.240,.263,.490,.585,.422,.396,.413,.363,.609,.060,347,.244,809,.916,.273,.393,11,0
New Orleans/Oklahoma City Hornets,82,19880,.445,11.5,.812,.307,.170,.119,.216,.188,.464,.602,.404,.344,.382,.362,.456,.049,285,.235,850,.855,.217,.388,8,0
New York Knicks,82,20005,.457,10.8,.784,.389,.142,.073,.180,.216,.487,.600,.411,.328,.368,.346,.475,.051,302,.303,1054,.797,.261,.364,17,0
