Team,Games,Minutes Played,Opponent Field Goals,Opponent Field Goal Attempts,Opponent Field Goal Percentage,Opponent 3-Point Field Goals,Opponent 3-Point Field Goal Attempts,Opponent 3-Point Field Goal Percentage,Opponent 2-Point Field Goals,Opponent 2-Point Field Goal Attempts,Opponent 2-Point Field Goal Percentage,Opponent Free Throws,Opponent Free Throw Attempts,Opponent Free Throw Percentage,Opponent Offensive Rebounds,Opponent Defensive Rebounds,Opponent Total Rebounds,Opponent Assists,Opponent Steals,Opponent Blocks,Opponent Turnovers,Opponent Personal Fouls,Opponent Points
Detroit Pistons,82,241.5,37.1,83.0,.447,2.3,6.8,.333,34.8,76.2,.457,21.8,28.6,.762,12.7,27.8,40.5,21.5,7.4,3.7,15.2,25.3,98.3
Minnesota Timberwolves,82,242.1,37.6,77.9,.482,1.6,4.8,.330,36.0,73.2,.492,22.7,29.5,.768,12.8,28.3,41.1,22.9,7.0,6.0,16.7,21.3,99.4
Utah Jazz,82,241.8,38.6,84.7,.455,2.1,6.9,.309,36.5,77.9,.468,22.7,29.9,.761,13.4,27.0,40.4,23.0,9.0,5.5,15.1,23.3,102.0
Dallas Mavericks,82,242.1,40.1,85.5,.469,2.1,7.2,.298,38.0,78.4,.484,19.8,26.4,.753,13.9,29.2,43.2,23.9,7.9,4.7,15.1,22.3,102.2
San Antonio Spurs,82,240.6,39.9,86.5,.461,2.8,7.6,.370,37.0,78.9,.470,20.3,26.5,.767,13.7,27.3,41.0,24.0,9.3,5.1,17.3,23.4,102.8
Cleveland Cavaliers,82,242.4,41.7,87.0,.479,1.9,6.1,.312,39.8,80.9,.492,17.6,23.1,.761,13.8,29.9,43.7,26.1,8.3,4.6,15.8,23.1,102.9
Los Angeles Lakers,82,242.1,41.2,88.4,.467,2.1,6.3,.337,39.1,82.0,.477,19.3,25.7,.750,13.8,27.4,41.1,24.5,8.2,5.2,14.6,23.3,103.9
Philadelphia 76ers,82,241.5,41.7,86.8,.480,2.6,7.0,.370,39.1,79.8,.490,19.3,25.0,.771,13.6,28.7,42.3,26.3,7.8,4.6,15.0,23.7,105.2
Houston Rockets,82,241.5,41.5,89.3,.464,2.0,6.8,.293,39.5,82.5,.478,20.4,27.5,.741,14.3,30.0,44.3,24.5,9.6,4.8,17.4,22.2,105.3
Seattle SuperSonics,82,242.7,39.7,81.8,.486,2.2,6.3,.342,37.5,75.4,.498,24.3,30.9,.786,12.3,26.9,39.2,22.7,7.7,5.0,15.9,21.9,105.9
