,,,,,,,,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2000-10-31,,PHO,W,96,94,32,79,.405,4,8,.500,28,38,.737,14,55,18,11,5,21,22,,36,91,.396,6,21,.286,16,20,.800,11,44,25,12,3,16,28
2,2,2000-11-02,@,DEN,L,97,101,38,95,.400,4,12,.333,17,28,.607,16,51,21,7,14,15,29,,32,79,.405,7,15,.467,30,38,.789,9,42,23,4,9,14,24
3,3,2000-11-04,,SAS,L,105,117,43,105,.410,7,16,.438,12,22,.545,21,46,22,9,7,7,22,,41,82,.500,7,11,.636,28,38,.737,15,53,24,3,7,16,19
4,4,2000-11-08,@,SAC,L,84,115,33,79,.418,1,4,.250,17,25,.680,9,46,20,5,3,31,18,,48,96,.500,8,20,.400,11,18,.611,8,44,34,14,6,15,21
5,5,2000-11-10,,SAC,L,107,114,39,91,.429,4,12,.333,25,36,.694,18,55,21,7,1,20,32,,38,84,.452,5,18,.278,33,47,.702,10,38,29,7,6,15,26
6,6,2000-11-12,,ORL,L,99,105,40,80,.500,2,13,.154,17,26,.654,13,49,27,8,5,30,29,,41,94,.436,5,12,.417,18,21,.857,13,39,29,17,10,17,24
7,7,2000-11-14,@,CLE,L,86,96,27,81,.333,5,12,.417,27,39,.692,13,41,19,12,6,13,22,,38,78,.487,1,7,.143,19,26,.731,13,55,25,7,6,20,30
8,8,2000-11-15,@,MIN,L,90,92,34,90,.378,5,13,.385,17,22,.773,13,40,22,18,3,11,18,,37,79,.468,5,14,.357,13,16,.813,10,50,22,9,10,23,20
9,9,2000-11-17,@,IND,W,92,90,34,79,.430,1,7,.143,23,25,.920,15,46,20,6,9,15,20,,35,91,.385,7,17,.412,13,15,.867,17,45,23,10,7,10,19
10,10,2000-11-19,@,NYK,L,71,88,29,84,.345,3,14,.214,10,19,.526,13,41,17,5,3,10,14,,34,74,.459,6,15,.400,14,17,.824,8,42,21,10,6,9,19
11,11,2000-11-21,,CHI,W,89,77,35,83,.422,1,5,.200,18,26,.692,18,53,20,5,8,15,15,,29,80,.363,3,11,.273,16,20,.800,12,42,27,11,5,16,21
12,12,2000-11-22,@,LAL,L,91,111,35,93,.376,4,10,.400,17,19,.895,18,41,19,10,0,19,25,,44,78,.564,9,16,.563,14,23,.609,10,46,26,12,11,24,20
13,13,2000-11-24,@,PHO,L,74,80,32,86,.372,4,10,.400,6,12,.500,12,50,16,6,10,15,23,,31,93,.333,1,10,.100,17,24,.708,17,55,20,7,6,11,14
14,14,2000-11-25,,MIN,W,114,93,43,75,.573,2,8,.250,26,45,.578,12,46,34,11,7,12,24,,34,88,.386,5,20,.250,20,24,.833,17,41,23,6,4,16,35
15,15,2000-11-29,@,LAC,L,83,106,30,80,.375,3,9,.333,20,28,.714,15,37,18,5,3,15,24,,40,77,.519,6,14,.429,20,28,.714,10,42,26,9,6,12,24
16,16,2000-11-30,,IND,W,99,95,36,76,.474,5,16,.313,22,32,.688,12,44,16,9,9,16,22,,38,91,.418,6,16,.375,13,24,.542,21,54,22,12,1,15,21
17,17,2000-12-02,,DAL,L,78,97,30,91,.330,2,13,.154,16,25,.640,20,52,21,10,3,13,19,,38,84,.452,9,22,.409,12,18,.667,12,56,26,11,7,18,21
18,18,2000-12-03,@,SEA,L,102,118,42,91,.462,3,15,.200,15,21,.714,15,37,30,6,5,12,23,,43,76,.566,4,8,.500,28,32,.875,10,42,26,10,8,12,22
19,19,2000-12-06,,LAL,W,125,122,49,94,.521,6,12,.500,21,30,.700,14,37,34,12,7,18,25,,50,92,.543,5,16,.313,17,21,.810,16,43,33,10,9,20,27
20,20,2000-12-08,,TOR,L,92,108,36,87,.414,3,11,.273,17,27,.630,18,36,23,6,4,20,25,,42,88,.477,3,9,.333,21,25,.840,23,52,28,7,2,21,22
21,21,2000-12-09,@,UTA,L,114,125,45,90,.500,5,18,.278,19,26,.731,16,36,24,10,3,16,30,,44,81,.543,3,8,.375,34,44,.773,16,42,31,9,8,15,23
22,22,2000-12-12,,POR,L,93,101,36,89,.404,6,15,.400,15,22,.682,22,49,23,6,4,18,25,,39,79,.494,3,10,.300,20,25,.800,12,42,31,9,5,14,17
23,23,2000-12-14,,HOU,L,95,98,40,100,.400,1,9,.111,14,17,.824,21,46,26,9,3,9,19,,35,72,.486,5,14,.357,23,29,.793,10,44,27,7,4,21,18
24,24,2000-12-16,,MIA,L,85,93,35,76,.461,0,13,.000,15,19,.789,9,37,19,11,3,19,26,,31,71,.437,5,19,.263,26,34,.765,10,41,26,12,1,15,22
25,25,2000-12-19,,MIN,W,120,99,44,85,.518,3,11,.273,29,38,.763,16,42,29,15,7,11,17,,41,91,.451,4,13,.308,13,17,.765,21,47,26,5,6,17,31
26,26,2000-12-22,@,SAS,L,87,105,33,93,.355,2,9,.222,19,23,.826,20,50,15,10,3,14,18,,40,82,.488,6,20,.300,19,24,.792,12,49,24,7,9,16,18
27,27,2000-12-23,@,HOU,W,95,87,35,79,.443,5,11,.455,20,26,.769,11,43,19,12,2,17,16,,37,84,.440,4,16,.250,9,12,.750,13,44,20,5,8,17,19
28,28,2000-12-27,,PHI,L,110,118,43,87,.494,9,17,.529,15,19,.789,12,35,25,9,1,11,21,,45,85,.529,6,13,.462,22,25,.880,19,46,18,7,3,16,19
29,29,2000-12-29,,UTA,W,100,89,41,77,.532,4,11,.364,14,24,.583,12,44,25,9,2,12,20,,35,82,.427,8,15,.533,11,15,.733,14,40,28,5,1,15,23
30,30,2000-12-30,@,VAN,W,102,101,36,80,.450,0,8,.000,30,42,.714,18,45,20,9,1,20,19,,41,84,.488,1,8,.125,18,22,.818,11,35,30,7,5,20,30
31,31,2001-01-03,,DEN,L,100,111,40,96,.417,3,14,.214,17,19,.895,15,50,30,11,5,14,20,,42,91,.462,9,26,.346,18,25,.720,15,51,28,7,4,14,15
