,,,,,,,,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,1996-11-01,,LAC,L,85,97,27,75,.360,7,18,.389,24,29,.828,12,39,20,8,3,20,17,,41,86,.477,4,8,.500,11,15,.733,16,49,21,7,2,20,27
2,2,1996-11-03,@,VAN,W,105,95,38,79,.481,8,19,.421,21,27,.778,12,48,21,7,5,22,14,,38,90,.422,8,22,.364,11,16,.688,16,44,30,13,8,15,25
3,3,1996-11-05,,POR,L,93,111,35,78,.449,2,13,.154,21,29,.724,13,41,26,4,3,20,25,,45,86,.523,7,17,.412,14,21,.667,15,41,28,12,3,18,27
4,4,1996-11-07,,NYK,L,100,105,34,72,.472,7,19,.368,25,27,.926,10,21,29,10,3,20,31,,37,66,.561,4,14,.286,27,30,.900,9,34,28,8,0,28,26
5,5,1996-11-08,@,DEN,L,91,94,33,74,.446,5,14,.357,20,22,.909,6,37,18,7,10,21,20,,36,82,.439,2,11,.182,20,26,.769,13,40,26,9,6,18,19
6,6,1996-11-12,@,SEA,L,102,121,39,81,.481,11,19,.579,13,19,.684,12,36,23,4,1,19,20,,49,86,.570,8,18,.444,15,24,.625,9,32,34,11,6,9,21
7,7,1996-11-14,,MIL,W,95,86,39,77,.506,1,10,.100,16,23,.696,9,34,24,7,8,11,14,,37,82,.451,2,12,.167,10,11,.909,15,44,21,6,3,16,21
8,8,1996-11-16,@,HOU,L,103,115,43,95,.453,3,15,.200,14,18,.778,19,39,24,17,3,17,18,,43,74,.581,10,21,.476,19,23,.826,10,44,28,11,5,28,15
9,9,1996-11-17,@,SAS,W,102,92,36,71,.507,8,17,.471,22,27,.815,9,40,21,9,7,14,23,,38,88,.432,4,24,.167,12,19,.632,17,40,24,9,8,12,22
10,10,1996-11-19,,LAL,L,109,112,41,80,.513,14,26,.538,13,18,.722,10,37,32,3,3,15,22,,46,80,.575,8,15,.533,12,23,.522,9,36,34,9,6,13,22
11,11,1996-11-21,@,UTA,L,104,109,32,82,.390,6,21,.286,34,43,.791,15,44,14,7,6,17,32,,40,83,.482,3,14,.214,26,36,.722,16,49,28,9,5,22,33
12,12,1996-11-23,,HOU,L,115,120,44,75,.587,11,17,.647,16,20,.800,2,34,32,6,5,20,31,,38,89,.427,9,30,.300,35,47,.745,18,46,27,14,2,13,25
13,13,1996-11-26,,MIA,L,88,107,35,91,.385,3,15,.200,15,16,.938,21,44,24,12,6,14,22,,38,75,.507,12,22,.545,19,23,.826,10,37,26,7,12,16,15
14,14,1996-11-28,,NJN,W,124,118,41,86,.477,6,12,.500,36,47,.766,17,49,28,2,3,9,31,,38,91,.418,5,19,.263,37,45,.822,20,45,22,8,6,8,31
15,15,1996-11-29,@,POR,L,93,119,29,70,.414,5,14,.357,30,37,.811,10,27,17,9,4,13,21,,45,86,.523,10,23,.435,19,27,.704,20,50,22,7,3,16,32
16,16,1996-12-01,,POR,W,98,70,28,75,.373,7,15,.467,35,40,.875,19,57,17,10,11,18,28,,24,79,.304,8,22,.364,14,23,.609,13,38,13,7,11,18,28
17,17,1996-12-03,,DEN,W,114,99,43,81,.531,7,16,.438,21,26,.808,12,38,28,10,6,14,18,,37,78,.474,12,30,.400,13,19,.684,10,33,26,8,5,18,25
18,18,1996-12-04,@,PHO,L,87,118,31,87,.356,1,12,.083,24,28,.857,13,39,17,9,5,13,27,,41,79,.519,6,12,.500,30,39,.769,11,50,36,9,4,16,22
19,19,1996-12-06,,IND,L,71,86,24,71,.338,0,15,.000,23,33,.697,13,43,14,9,4,15,20,,35,83,.422,3,15,.200,13,20,.650,16,48,24,8,3,20,25
20,20,1996-12-08,,SAS,W,114,88,46,82,.561,9,14,.643,13,16,.813,13,39,31,9,5,15,27,,31,74,.419,2,13,.154,24,35,.686,15,35,19,8,5,16,14
