,,,,,,,,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,1999-02-06,,HOU,L,84,86,33,78,.423,5,13,.385,13,22,.591,14,43,23,15,2,13,27,,27,60,.450,7,14,.500,25,33,.758,8,38,13,6,2,21,19
2,2,1999-02-07,,DAL,L,99,102,38,104,.365,2,10,.200,21,31,.677,27,64,24,4,8,17,35,,33,78,.423,8,18,.444,28,43,.651,13,47,21,7,7,20,32
3,3,1999-02-09,@,SEA,L,71,90,25,71,.352,5,13,.385,16,30,.533,13,42,14,8,4,20,31,,33,72,.458,4,7,.571,20,35,.571,13,43,24,14,5,18,24
4,4,1999-02-10,,SEA,L,82,89,32,72,.444,6,19,.316,12,19,.632,10,38,18,13,4,21,26,,33,77,.429,7,20,.350,16,24,.667,12,40,26,15,2,17,21
5,5,1999-02-12,,UTA,L,81,97,33,77,.429,1,8,.125,14,25,.560,13,43,23,9,6,18,33,,36,80,.450,1,5,.200,24,28,.857,12,44,25,10,3,16,22
6,6,1999-02-14,,POR,W,105,100,40,106,.377,6,22,.273,19,29,.655,27,61,28,10,4,10,25,,36,90,.400,5,16,.313,23,27,.852,14,57,22,2,8,18,24
7,7,1999-02-15,,MIN,W,101,99,36,75,.480,6,19,.316,23,36,.639,15,46,24,8,6,17,21,,38,86,.442,3,5,.600,20,24,.833,15,41,25,9,3,15,26
8,8,1999-02-17,,CHH,W,96,87,39,95,.411,4,15,.267,14,23,.609,25,55,29,11,4,12,20,,36,76,.474,1,8,.125,14,19,.737,7,39,21,6,4,19,19
9,9,1999-02-19,,DAL,W,84,79,35,89,.393,2,11,.182,12,19,.632,13,50,23,9,3,9,26,,26,78,.333,2,6,.333,25,34,.735,11,50,15,4,9,11,17
10,10,1999-02-20,@,POR,L,84,90,33,78,.423,4,10,.400,14,23,.609,11,35,16,11,5,14,32,,29,82,.354,5,15,.333,27,39,.692,21,55,20,6,6,16,22
11,11,1999-02-23,@,LAC,W,94,89,37,82,.451,2,11,.182,18,24,.750,13,45,23,9,9,15,25,,36,78,.462,1,3,.333,16,22,.727,10,32,11,7,3,15,20
12,12,1999-02-26,,PHO,W,94,90,33,73,.452,7,15,.467,21,38,.553,15,57,24,5,3,16,26,,31,90,.344,5,18,.278,23,32,.719,17,46,28,10,3,5,25
13,13,1999-02-28,@,PHO,L,89,102,35,90,.389,6,24,.250,13,20,.650,19,54,16,5,5,12,29,,34,72,.472,5,13,.385,29,35,.829,4,40,25,5,7,9,13
14,14,1999-03-02,@,MIN,L,78,89,30,76,.395,6,15,.400,12,17,.706,8,38,21,10,5,17,27,,29,78,.372,1,6,.167,30,39,.769,18,49,20,6,5,14,20
15,15,1999-03-03,@,MIL,L,78,106,27,81,.333,3,8,.375,21,34,.618,22,48,12,8,3,18,27,,36,76,.474,7,12,.583,27,33,.818,12,48,25,9,7,14,28
