,,,,,,,,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,1997-10-31,@,MIN,L,113,129,49,107,.458,4,14,.286,11,16,.688,21,48,24,7,11,11,22,,49,90,.544,6,10,.600,25,31,.806,11,47,38,6,15,11,18
2,2,1997-11-01,@,IND,L,83,96,33,90,.367,1,4,.250,16,25,.640,18,50,11,9,6,17,27,,35,89,.393,3,11,.273,23,31,.742,19,57,27,6,9,16,18
3,3,1997-11-04,@,TOR,L,86,104,35,88,.398,1,10,.100,15,29,.517,23,58,26,4,3,25,24,,42,89,.472,0,7,.000,20,31,.645,10,43,30,13,14,9,25
4,4,1997-11-05,@,NJN,L,96,112,35,86,.407,5,16,.313,21,32,.656,12,45,16,6,5,17,30,,41,90,.456,3,9,.333,27,44,.614,17,55,32,8,7,10,24
5,5,1997-11-08,,MIN,L,90,97,35,100,.350,2,14,.143,18,26,.692,27,63,13,3,3,13,23,,37,86,.430,4,9,.444,19,26,.731,11,46,28,10,7,10,20
6,6,1997-11-09,@,LAL,L,97,132,41,104,.394,1,7,.143,14,26,.538,20,44,26,8,5,13,31,,49,91,.538,7,16,.438,27,41,.659,12,54,35,12,11,11,20
7,7,1997-11-12,,DET,L,71,102,29,79,.367,1,9,.111,12,19,.632,12,36,18,8,5,15,24,,35,73,.479,3,5,.600,29,35,.829,10,48,26,12,3,15,22
8,8,1997-11-15,,POR,L,87,99,31,81,.383,2,6,.333,23,29,.793,6,36,18,8,11,9,19,,36,84,.429,5,15,.333,22,29,.759,17,57,17,7,7,16,24
9,9,1997-11-19,@,SAS,L,87,108,36,89,.404,1,9,.111,14,20,.700,14,39,24,9,7,12,26,,37,72,.514,8,19,.421,26,37,.703,13,49,24,6,10,17,17
10,10,1997-11-20,@,DAL,W,101,97,38,91,.418,3,12,.250,22,28,.786,22,66,17,6,5,21,26,,37,96,.385,12,27,.444,11,18,.611,15,42,23,11,7,13,23
11,11,1997-11-22,@,HOU,L,84,90,34,89,.382,2,14,.143,14,21,.667,17,54,17,7,9,13,22,,33,87,.379,7,23,.304,17,24,.708,14,49,19,6,5,11,22
12,12,1997-11-25,,NJN,L,87,101,36,88,.409,3,9,.333,12,13,.923,22,50,23,11,4,20,20,,38,81,.469,4,9,.444,21,26,.808,12,42,31,16,3,13,18
13,13,1997-11-28,@,UTA,L,82,111,31,92,.337,4,11,.364,16,18,.889,15,38,17,9,4,15,18,,43,81,.531,3,7,.429,22,28,.786,9,51,36,9,9,18,17
14,14,1997-11-29,,HOU,L,100,107,38,90,.422,5,10,.500,19,24,.792,24,52,22,8,5,23,36,,31,69,.449,6,18,.333,39,49,.796,10,39,17,11,2,16,22
