,,,,,,,,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
32,32,2013-01-02,,LAC,W,115,94,42,84,.500,12,23,.522,19,22,.864,13,53,29,11,4,20,27,,29,80,.363,8,29,.276,28,39,.718,11,38,24,14,4,14,18
33,33,2013-01-05,@,LAC,L,89,115,32,72,.444,5,20,.250,20,26,.769,5,30,19,4,8,16,17,,47,90,.522,10,28,.357,11,15,.733,9,41,29,12,4,7,21
34,34,2013-01-09,,MEM,L,87,94,33,71,.465,7,17,.412,14,20,.700,6,38,23,8,2,15,21,,40,88,.455,2,17,.118,12,16,.750,13,43,27,11,2,10,17
35,35,2013-01-11,,POR,W,103,97,41,86,.477,6,15,.400,15,18,.833,8,47,28,10,5,11,16,,35,92,.380,15,43,.349,12,19,.632,17,52,18,5,3,13,14
36,36,2013-01-13,@,DEN,L,105,116,43,83,.518,13,24,.542,6,8,.750,6,39,28,3,5,18,24,,43,90,.478,9,27,.333,21,27,.778,14,44,27,11,2,8,16
37,37,2013-01-16,,MIA,L,75,92,29,80,.363,3,12,.250,14,18,.778,11,52,17,5,2,21,21,,36,90,.400,8,29,.276,12,18,.667,13,51,24,11,5,11,22
38,38,2013-01-18,@,SAS,L,88,95,36,84,.429,4,16,.250,12,14,.857,7,42,23,4,2,9,21,,36,80,.450,5,22,.227,18,20,.900,7,46,19,2,4,10,12
39,39,2013-01-19,@,NOH,W,116,112,38,77,.494,10,22,.455,30,35,.857,10,33,25,10,1,14,19,,45,79,.570,9,24,.375,13,23,.565,11,37,30,11,6,16,26
40,40,2013-01-21,,LAC,W,106,99,39,75,.520,12,22,.545,16,18,.889,6,39,25,4,2,17,21,,38,83,.458,11,30,.367,12,22,.545,10,39,32,10,5,14,16
41,41,2013-01-23,,OKC,W,104,99,37,84,.440,6,23,.261,24,27,.889,11,40,20,10,3,15,21,,36,78,.462,5,16,.313,22,27,.815,9,39,20,9,7,19,20
42,42,2013-01-25,@,CHI,L,87,103,27,78,.346,4,19,.211,29,33,.879,10,37,12,6,5,11,19,,41,88,.466,9,20,.450,12,18,.667,16,56,22,4,8,15,26
43,43,2013-01-26,@,MIL,L,102,109,39,93,.419,13,28,.464,11,11,1.000,12,50,25,8,4,15,25,,41,101,.406,13,30,.433,14,20,.700,22,58,24,7,7,12,15
44,44,2013-01-28,@,TOR,W,114,102,46,86,.535,6,15,.400,16,20,.800,13,49,22,4,8,13,19,,38,87,.437,6,19,.316,20,23,.870,11,37,28,7,4,10,18
45,45,2013-01-29,@,CLE,W,108,95,45,84,.536,11,16,.688,7,10,.700,7,39,31,8,9,14,23,,36,84,.429,4,18,.222,19,25,.760,12,36,27,8,4,11,13
46,46,2013-01-31,,DAL,W,100,97,36,84,.429,7,20,.350,21,25,.840,12,46,26,6,4,12,21,,36,81,.444,8,25,.320,17,24,.708,12,47,25,8,5,15,18
47,47,2013-02-02,,PHO,W,113,93,45,89,.506,9,19,.474,14,20,.700,14,47,34,5,3,13,24,,35,86,.407,5,15,.333,18,24,.750,15,48,22,7,1,12,21
48,48,2013-02-05,@,HOU,L,109,140,41,86,.477,3,15,.200,24,30,.800,11,40,21,2,5,12,26,,46,91,.505,23,40,.575,25,35,.714,14,48,35,6,2,8,24
49,49,2013-02-06,@,OKC,L,98,119,38,93,.409,10,20,.500,12,16,.750,13,49,25,7,4,19,15,,48,95,.505,8,23,.348,15,20,.750,10,50,29,12,16,12,12
