,,,,,,,,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2009-10-28,,HOU,L,107,108,44,89,.494,4,11,.364,15,23,.652,13,41,25,7,8,16,22,,40,86,.465,12,26,.462,16,20,.800,13,41,30,14,7,18,22
2,2,2009-10-30,@,PHO,L,101,123,36,85,.424,6,13,.462,23,28,.821,9,38,16,7,3,22,30,,45,84,.536,12,22,.545,21,34,.618,9,47,30,7,7,23,25
3,3,2009-11-04,,MEM,W,113,105,47,87,.540,7,12,.583,12,17,.706,7,35,29,10,4,13,28,,39,80,.488,3,9,.333,24,36,.667,13,46,24,8,4,17,20
4,4,2009-11-06,,LAC,L,90,118,29,84,.345,7,22,.318,25,33,.758,15,41,18,7,2,19,27,,44,76,.579,6,13,.462,24,32,.750,7,44,28,11,9,16,29
5,5,2009-11-08,@,SAC,L,107,120,42,83,.506,6,18,.333,17,28,.607,7,34,20,4,6,14,28,,43,87,.494,5,18,.278,29,38,.763,15,52,21,8,4,14,22
6,6,2009-11-09,,MIN,W,146,105,52,91,.571,12,23,.522,30,38,.789,11,38,36,22,9,12,19,,42,94,.447,5,20,.250,16,20,.800,21,53,23,7,6,28,31
7,7,2009-11-11,@,IND,L,94,108,37,92,.402,4,15,.267,16,24,.667,9,42,18,10,7,13,23,,38,85,.447,7,14,.500,25,34,.735,16,57,18,5,12,18,25
8,8,2009-11-13,@,NYK,W,121,107,49,84,.583,6,18,.333,17,23,.739,6,37,17,12,4,15,21,,42,86,.488,8,22,.364,15,19,.789,12,37,21,7,4,21,21
9,9,2009-11-14,@,MIL,L,125,129,46,82,.561,8,20,.400,25,28,.893,2,31,23,9,3,11,24,,48,91,.527,14,24,.583,19,30,.633,15,46,21,5,4,14,22
10,10,2009-11-17,@,CLE,L,108,114,41,88,.466,9,24,.375,17,22,.773,12,37,24,7,2,14,17,,46,79,.582,9,20,.450,13,17,.765,6,34,24,10,7,16,18
11,11,2009-11-18,@,BOS,L,95,109,37,80,.463,6,17,.353,15,19,.789,8,35,22,10,1,21,21,,42,80,.525,8,19,.421,17,27,.630,10,36,25,7,3,18,20
12,12,2009-11-20,,POR,W,108,94,40,84,.476,7,13,.538,21,27,.778,11,37,21,15,6,16,28,,33,79,.418,4,19,.211,24,30,.800,17,45,18,7,6,23,23
13,13,2009-11-24,@,DAL,W,111,103,42,88,.477,10,21,.476,17,21,.810,10,46,20,15,2,21,22,,38,82,.463,4,15,.267,23,25,.920,9,41,26,12,6,18,20
14,14,2009-11-25,@,SAS,L,104,118,40,86,.465,3,11,.273,21,26,.808,6,34,15,6,8,16,23,,44,85,.518,5,18,.278,25,32,.781,8,41,30,10,6,14,21
15,15,2009-11-28,,LAL,L,97,130,36,92,.391,4,17,.235,21,24,.875,10,46,22,4,3,13,21,,51,94,.543,11,22,.500,17,24,.708,7,49,30,8,7,8,18
16,16,2009-11-30,,IND,W,126,107,45,80,.563,8,19,.421,28,34,.824,4,36,25,15,1,22,26,,38,86,.442,3,21,.143,28,34,.824,14,43,19,10,5,24,28
17,17,2009-12-01,@,DEN,L,107,135,41,94,.436,6,26,.231,19,24,.792,10,33,15,7,6,14,24,,52,95,.547,3,14,.214,28,32,.875,18,57,30,5,9,15,24
18,18,2009-12-03,,HOU,L,109,111,41,91,.451,11,23,.478,16,20,.800,10,37,29,10,5,17,25,,40,82,.488,8,23,.348,23,29,.793,13,49,28,11,13,23,21
19,19,2009-12-05,,ORL,L,118,126,42,89,.472,4,15,.267,30,36,.833,10,32,24,9,2,15,28,,39,74,.527,12,26,.462,36,41,.878,7,38,25,8,4,16,29
